body,seed,offset,response,survival,food,extracted,converted,births,living_family,path10,rotation10,force10,finite
compact,42,0,0.226347,37.1417,2.72139,0,0,1,0,5.69878,-0.984382,13.894,1
compact,43,4,0.226347,31.775,1.4715,0,0,0,0,5.21182,0.000672893,12.5801,1
compact,44,8,0.226347,20.5667,0,0,0,0,0,4.31032,-1.61564,11.6975,1
long,42,0,0,53.1,6.89305,0,0,0,0,3.16251,-0.202963,14.7901,1
long,43,4,0,56.6417,7.02464,0,0,0,0,3.32735,-0.00656191,14.7805,1
long,44,8,0,64.7,4.992,0,0,0,0,2.67194,-0.628934,14.175,1
asymmetric,42,0,0.226347,54.0333,5.904,0,0,1,0,4.75782,0.0776435,14.1748,1
asymmetric,43,4,0.226347,51.9083,3.888,0,0,0,0,4.82526,0.794391,12.8634,1
asymmetric,44,8,0.226347,91.4917,11.46,0,0,1,0,3.20313,0.748638,13.1713,1
branched,42,0,0.226347,40.3917,4.86087,0,0,1,0,2.66457,0.053232,14.2466,1
branched,43,4,0.226347,47.1333,3.91104,0,0,0,0,3.90338,0.522209,12.1331,1
branched,44,8,0.226347,120,16.056,0,0,0,1,1.96969,0.229006,12.5684,1
many-motor,42,0,0.339521,66.0917,8.46378,0,0,0,0,8.06336,-0.789975,36.8367,1
many-motor,43,4,0.339521,30.6167,3.24,0,0,0,0,8.04425,-0.0799556,36.1496,1
many-motor,44,8,0.339521,24.3583,0.288,0,0,0,0,6.14089,-0.824773,34.8042,1
minimal-motor,42,0,0.113174,83.8333,7.6728,0,0,1,0,3.79848,-0.0966398,7.39503,1
minimal-motor,43,4,0.113174,86.4583,7.8,0,0,5,3,4.89126,0.344347,5.87769,1
minimal-motor,44,8,0.113174,23.7417,0,0,0,0,0,3.0407,-0.681806,5.88537,1
multiple-sensors,42,0,0.376737,29.3333,2.68662,0,0,1,0,4.88321,-0.53103,16.1593,1
multiple-sensors,43,4,0.376737,38.6167,3.96,0,0,0,0,4.89145,0.0310223,14.3671,1
multiple-sensors,44,8,0.376737,21.4167,0,0,0,0,0,2.79566,-0.639736,12.526,1
opposed-motors,42,0,0.226347,38.8417,2.208,0,0,1,0,4.42326,0.163144,14.2741,1
opposed-motors,43,4,0.226347,23.5167,0.96,0,0,1,0,4.18641,0.319485,12.9824,1
opposed-motors,44,8,0.226347,84.8583,15.048,0,0,6,0,3.51839,0.32519,13.0943,1
storage,42,0,0,37.8833,2.34238,0,0,0,0,5.01146,-1.45891,14.7901,1
storage,43,4,0,85.1083,11.5195,0,0,1,1,4.6937,0.777957,14.749,1
storage,44,8,0,30.55,0.144,0,0,0,0,4.4566,-1.00067,13.8718,1
hunter,42,0,0,25.9,2.35015,0,0,0,0,3.38891,-0.117507,11.4334,1
hunter,43,4,0,42.8417,3.53994,1.44156,1.20856,0,0,3.54767,0.0524309,11.4334,1
hunter,44,8,0,23.1,0.00128567,0.854408,0.657568,0,0,2.53514,-0.453487,11.4334,1
awkward-spinner,42,0,0,78.1167,13.7718,0,0,1,0,2.46827,-0.103063,14.7901,1
awkward-spinner,43,4,0,84.9083,10.7464,0,0,0,0,4.10688,0.619118,14.7805,1
awkward-spinner,44,8,0,100.642,13.608,0,0,0,0,2.17368,-0.0321116,14.2989,1
no-motor,42,0,0,120,15.2092,0,0,4,5,0.619676,-0.437193,0,1
no-motor,43,4,0,118.267,7.56,0,0,1,1,0.878817,-0.0974124,0,1
no-motor,44,8,0,71.6917,2.184,0,0,0,0,0.436793,-0.133208,0,1
