body,seed,offset,response,survival,food,extracted,converted,births,living_family,path10,rotation10,force10,finite
compact,42,0,2.50172,120,13.4686,0,0,6,5,2.39702,-0.0329572,5.39399,1
compact,43,4,2.50172,41.2583,2.16,0,0,2,0,1.42864,-0.588362,2.56134,1
compact,44,8,2.50172,25.025,0,0,0,0,0,2.02692,-0.220948,5.61358,1
long,42,0,1.6878,86.7167,12.5136,0,0,1,1,1.85184,0.148677,5.98939,1
long,43,4,1.6878,64.175,7.14388,0,0,0,0,0.959088,-0.204954,3.05287,1
long,44,8,1.6878,71.175,6.336,0,0,0,0,1.17278,-0.00599402,6.15556,1
asymmetric,42,0,1.77674,42.3917,4.50003,0,0,1,0,2.3115,0.479305,5.9258,1
asymmetric,43,4,1.77674,120,15.36,0,0,1,1,1.72897,0.0776526,2.47453,1
asymmetric,44,8,1.77674,120,17.2991,0,0,1,1,1.86051,0.872165,7.1503,1
branched,42,0,1.42114,76.325,9.61295,0,0,1,0,1.2953,0.0796897,5.24023,1
branched,43,4,1.42114,64.6417,5.95304,0,0,0,0,1.60373,0.210906,3.27848,1
branched,44,8,1.42114,37,0.552005,0,0,0,0,1.29553,0.186952,6.53692,1
many-motor,42,0,2.59851,37.7167,3.47329,0,0,1,0,3.59191,-0.0624803,14.8639,1
many-motor,43,4,2.59851,47.8083,5.46568,0,0,0,0,3.65864,0.0478259,16.4559,1
many-motor,44,8,2.59851,34.4833,0.912,0,0,0,0,3.11545,-0.268527,16.6063,1
minimal-motor,42,0,0.116443,93.4417,10.9023,0,0,24,14,3.02039,1.38998,2.67938,1
minimal-motor,43,4,0.116443,26.8,0.48,0,0,1,0,2.8524,0.0145537,2.09013,1
minimal-motor,44,8,0.116443,27.475,0,0,0,0,0,1.53929,-0.297682,2.78484,1
multiple-sensors,42,0,1.28089,48.9583,6.11499,0,0,1,0,1.63337,-0.0389034,3.33449,1
multiple-sensors,43,4,1.28089,27.05,0.24,0,0,0,0,2.02404,-0.167243,5.4553,1
multiple-sensors,44,8,1.28089,31.975,1.032,0,0,0,0,1.33387,-0.0832443,4.99332,1
opposed-motors,42,0,1.88973,120,10.1113,0,0,1,2,1.22496,0.0836374,1.47274,1
opposed-motors,43,4,1.88973,26.7167,1.08,0,0,1,0,3.87583,0.349884,11.807,1
opposed-motors,44,8,1.88973,94.0333,5.6363,0,0,0,0,1.39379,0.239665,2.6078,1
storage,42,0,2.36971,120,16.3974,0,0,2,3,1.56421,-0.114936,5.38636,1
storage,43,4,2.36971,120,13.6429,0,0,2,3,1.24252,-0.489285,3.59571,1
storage,44,8,2.36971,120,16.5129,0,0,0,1,1.87224,0.283193,5.9425,1
hunter,42,0,0,38.2917,4.46098,0.413032,0.346274,1,0,1.63905,-0.168522,5.84153,1
hunter,43,4,0,21.575,0.36,0,0,0,0,2.14891,-0.214258,5.82625,1
hunter,44,8,0,27.15,0.121539,0.651942,0.482778,0,0,1.49213,-0.31821,6.00956,1
awkward-spinner,42,0,1.85773,120,24.126,0,0,2,3,1.27327,0.203508,2.89687,1
awkward-spinner,43,4,1.85773,67.1917,7.04922,0,0,0,0,1.96384,0.215341,6.85647,1
awkward-spinner,44,8,1.85773,120,14.3086,0,0,0,1,0.982331,0.0777826,6.46473,1
no-motor,42,0,0,120,15.2092,0,0,4,5,0.619676,-0.437193,0,1
no-motor,43,4,0,118.267,7.56,0,0,1,1,0.878817,-0.0974124,0,1
no-motor,44,8,0,71.6917,2.184,0,0,0,0,0.436793,-0.133208,0,1
