body,seed,offset,response,survival,food,extracted,converted,births,living_family,path10,rotation10,force10,finite
Skiff,42,0,3.7649,83.35,11.688,0,0,17,13,6.15669,-2.76962,10.0783,1
Skiff,43,4,3.7649,23.975,0.6,0,0,0,0,3.98326,-2.49708,9.1558,1
Skiff,44,8,3.7649,55.6583,6,0,0,5,1,3.23729,0.910739,9.16308,1
Thread,42,0,3.92757,120,33.0191,0,0,5,4,3.11623,2.66056,16.5171,1
Thread,43,4,3.92757,119.058,29.4614,0,0,3,3,1.01765,-0.00506126,0.258415,1
Thread,44,8,3.92757,94.3,16.0403,0,0,0,0,2.80676,0.707487,17.1863,1
Whorl,42,0,0,120,27.9196,0,0,5,4,1.2892,2.77249,13.7201,1
Whorl,43,4,0,50.7,4.2,0,0,0,0,1.24873,2.97441,13.7201,1
Whorl,44,8,0,120,7.56003,0,0,0,1,1.15519,2.94904,13.7201,1
Husk,42,0,0,120,15.3068,0,0,1,2,0.28468,-0.0539341,0,1
Husk,43,4,0,120,10.7868,0,0,0,1,0.690713,-0.089122,0,1
Husk,44,8,0,111.367,3.85159,0,0,0,0,0,0,0,1
