body,seed,offset,response,survival,food,extracted,converted,births,living_family,path10,rotation10,force10,finite
compact,42,0,0.141636,99.1,8.82718,0,0,1,0,1.7923,-0.391652,3.54227,1
compact,43,4,0.141636,23.8833,0.36,0,0,3,1,2.4164,0.0970222,4.80665,1
compact,44,8,0.141636,25.0167,0,0,0,0,0,2.12607,-0.702967,5.42645,1
long,42,0,0.123356,84.0333,11.4405,0,0,1,0,1.22528,-0.180965,3.84299,1
long,43,4,0.123356,120,9.95327,0,0,0,1,1.33796,0.00354707,5.04305,1
long,44,8,0.123356,68.4083,5.832,0,0,0,0,1.13266,-0.0765479,5.56665,1
asymmetric,42,0,0.125815,53,5.63592,0,0,1,0,1.71055,-0.295012,3.76357,1
asymmetric,43,4,0.125815,110.767,10.392,0,0,1,0,1.98398,0.240072,4.59417,1
asymmetric,44,8,0.125815,112.333,9.67674,0,0,0,0,1.40431,0.346334,4.95146,1
branched,42,0,0.111948,68.1833,10.1569,0,0,1,0,1.22783,0.0376594,3.95959,1
branched,43,4,0.111948,68.8333,6.48,0,0,0,0,1.97446,0.362168,5.0286,1
branched,44,8,0.111948,33.2,0.408,0,0,0,0,1.18028,0.0823259,5.45654,1
many-motor,42,0,0.272164,49.0833,6.10464,0,0,1,0,2.91543,-0.125868,12.8645,1
many-motor,43,4,0.272164,45.2583,3.87913,0,0,0,0,3.71332,-0.00721269,16.4692,1
many-motor,44,8,0.272164,31.275,0.312,0,0,0,0,3.10533,-0.457875,16.4814,1
minimal-motor,42,0,0.080063,53.8167,3.96,0,0,5,2,2.79822,1.27098,1.64974,1
minimal-motor,43,4,0.080063,26.325,0.48,0,0,1,1,3.16983,0.0677937,2.66942,1
minimal-motor,44,8,0.080063,27.1833,0,0,0,0,0,1.50401,-0.287565,2.70405,1
multiple-sensors,42,0,0.177496,63.3417,8.59618,0,0,1,0,1.20813,-0.328983,2.81928,1
multiple-sensors,43,4,0.177496,37.5083,2.16,0,0,0,0,1.43345,-0.0282453,3.15689,1
multiple-sensors,44,8,0.177496,30.475,0.864,0,0,0,0,1.36952,-0.20348,5.33751,1
opposed-motors,42,0,0.141636,51.8583,3.97818,0,0,1,0,1.2544,0.0245901,3.54227,1
opposed-motors,43,4,0.141636,52.9167,2.66414,0,0,3,2,1.67205,0.194601,4.05323,1
opposed-motors,44,8,0.141636,64.5,4.14585,0,0,3,3,1.67664,0.201413,4.89537,1
storage,42,0,0.129263,68.35,5.1185,0,0,1,0,1.69826,-0.531939,3.71186,1
storage,43,4,0.129263,96.6417,6.528,0,0,0,0,1.70037,0.232486,5.03285,1
storage,44,8,0.129263,38.3917,0.264,0,0,0,0,1.94029,-0.229034,5.33254,1
hunter,42,0,0,36.9417,4.5307,0.445426,0.37149,1,0,1.62834,-0.133519,5.73522,1
hunter,43,4,0,32.125,2.04,0.502117,0.349761,0,0,1.95324,0.153854,5.82625,1
hunter,44,8,0,37.0583,1.1835,0.923247,0.735968,0,0,1.57318,-0.176727,5.58591,1
awkward-spinner,42,0,0.123281,120,28.1592,0,0,3,3,1.10953,0.083456,3.8381,1
awkward-spinner,43,4,0.123281,65.5667,6.93354,0,0,0,0,1.56458,0.256851,5.0868,1
awkward-spinner,44,8,0.123281,81.1833,7.584,0,0,0,0,0.89745,0.096295,5.22583,1
no-motor,42,0,0,120,15.2092,0,0,4,5,0.619676,-0.437193,0,1
no-motor,43,4,0,118.267,7.56,0,0,1,1,0.878817,-0.0974124,0,1
no-motor,44,8,0,71.6917,2.184,0,0,0,0,0.436793,-0.133208,0,1
