body,seed,offset,response,survival,food,extracted,converted,births,living_family,path10,rotation10,force10,finite
compact,42,0,0.332459,81.7167,5.58124,0,0,2,0,0.949538,-0.24951,1.00721,1
compact,43,4,0.332459,30.9333,0.96,0,0,3,3,2.27258,0.0901426,4.43715,1
compact,44,8,0.332459,25.1,0,0,0,0,0,2.10611,-0.697208,5.35243,1
long,42,0,0,120,31.9581,0,0,2,3,0.83198,-0.150598,1.00721,1
long,43,4,0,120,22.8313,0,0,0,1,0.761909,-0.0460616,1.02204,1
long,44,8,0,120,17.016,0,0,0,1,0.937784,-0.127632,2.06559,1
asymmetric,42,0,0.332459,120,12.4038,0,0,1,1,1.30093,-0.51038,1.00721,1
asymmetric,43,4,0.332459,47.1,1.92,0,0,0,0,1.71154,0.244019,3.95516,1
asymmetric,44,8,0.332459,120,7.944,0,0,0,1,1.33707,0.338024,4.38819,1
branched,42,0,0.332459,120,21.1705,0,0,2,1,0.987875,-0.105608,1.00721,1
branched,43,4,0.332459,49.6333,3.12,0,0,0,0,1.84833,0.334702,4.61631,1
branched,44,8,0.332459,33.3667,0.384,0,0,0,0,1.16889,0.0805579,5.31631,1
many-motor,42,0,0.498688,47.0083,6.1152,0,0,1,0,2.20327,-0.101991,10.2502,1
many-motor,43,4,0.498688,48.05,4.35063,0,0,0,0,3.69898,0.00244524,16.6212,1
many-motor,44,8,0.498688,32.0833,0.432,0,0,0,0,3.13028,-0.462384,16.6886,1
minimal-motor,42,0,0.166229,95.2833,6.48,0,0,13,4,2.01246,1.02561,0.503606,1
minimal-motor,43,4,0.166229,26.4,0.48,0,0,1,0,3.15164,0.0638983,2.63768,1
minimal-motor,44,8,0.166229,27.2583,0,0,0,0,0,1.49528,-0.285208,2.67533,1
multiple-sensors,42,0,0.631781,120,19.1769,0,0,2,3,0.897305,-0.130629,0.00571645,1
multiple-sensors,43,4,0.631781,49.3667,3.72,0,0,0,0,0.759402,-0.0660596,0.186089,1
multiple-sensors,44,8,0.631781,42.9333,2.35216,0,0,0,0,1.32225,-0.175733,4.79248,1
opposed-motors,42,0,0.332459,120,10.4676,0,0,5,6,0.98753,-0.485595,1.00721,1
opposed-motors,43,4,0.332459,73.5417,4.296,0,0,1,0,1.42514,0.163637,2.91176,1
opposed-motors,44,8,0.332459,60.2833,2.76,0,0,0,0,1.61695,0.208732,4.32605,1
storage,42,0,0,118.467,11.0984,0,0,1,0,0.762532,-0.32883,1.00721,1
storage,43,4,0,75.1167,3.768,0,0,0,0,1.01472,-0.172544,1.07117,1
storage,44,8,0,61.2833,1.968,0,0,0,0,1.14623,-0.0473547,2.65587,1
hunter,42,0,0,40.075,5.38593,0.623597,0.521636,1,0,1.72567,-0.103824,5.82625,1
hunter,43,4,0,46.4333,3.98608,2.11375,1.70647,0,0,2.11905,0.111955,5.82625,1
hunter,44,8,0,30.1167,0.652865,0.935395,0.751393,0,0,1.56068,-0.220762,5.82625,1
awkward-spinner,42,0,0,120,24.1728,0,0,2,3,0.881931,-0.0275392,1.00721,1
awkward-spinner,43,4,0,120,18.0959,0,0,0,1,0.774088,0.0576132,1.02204,1
awkward-spinner,44,8,0,106.425,10.0781,0,0,0,0,0.647551,0.0831715,1.81131,1
no-motor,42,0,0,120,15.2092,0,0,4,5,0.619676,-0.437193,0,1
no-motor,43,4,0,118.267,7.56,0,0,1,1,0.878817,-0.0974124,0,1
no-motor,44,8,0,71.6917,2.184,0,0,0,0,0.436793,-0.133208,0,1
