seconds,id,parent,generation,kind,cells,changed
6,1,0,1,0,5,0
56.6083,2,1,2,6,5,1
62.6083,4,2,3,5,5,1
70.7,6,1,2,0,5,0
99.1667,3,0,1,1,5,1
125.583,11,3,2,1,5,1
185.575,13,0,1,5,5,1
191.575,18,13,2,5,5,1
205.192,20,0,1,10,11,1
217.208,22,0,1,1,5,1
229.225,24,0,1,1,5,1
232.933,21,20,2,5,11,1
241.242,26,0,1,0,5,0
255.658,29,0,1,12,7,1
279.808,35,18,3,6,5,1
293.033,32,0,1,5,5,1
297.833,39,32,2,9,4,1
305.658,27,20,2,8,12,1
327.767,42,0,1,5,5,1
330.433,40,22,2,0,5,1
330.442,37,35,4,5,5,1
336.442,50,37,5,5,5,1
339.783,51,0,1,1,5,1
369.658,53,51,2,6,5,1
382.633,57,50,6,7,5,1
389.808,63,57,7,5,5,1
390.483,60,53,3,5,5,1
396.483,66,60,4,5,5,1
422.033,65,63,8,12,8,1
485.517,67,57,7,0,5,1
516.217,74,20,2,6,11,1
