example,seconds,x,y,absorbed,births,starvation,damage,capacity_steps
original,1,0.420524,0.0432062,0,0,0,0,0
original,2,0.796536,0.19053,0,0,0,0,0
original,3,1.12525,0.511443,0,0,0,0,0
original,4,1.34593,0.862098,0,0,0,0,0
original,5,1.49329,1.08939,0.24,0,0,0,0
original,6,1.74044,1.32408,0.72,0,0,0,0
original,7,2.06653,1.74733,1.08,1,0,0,0
original,8,2.36036,1.92868,1.32,1,0,0,0
original,9,2.63532,2.03935,2.28,1,0,0,0
original,10,3.03627,2.00575,3.24,1,0,0,0
original,11,3.43444,1.78609,4.08,1,0,0,0
original,12,3.75186,1.39503,4.44,1,0,0,0
turned,1,0.420322,0.0437866,0,0,0,0,0
turned,2,0.796153,0.191584,0,0,0,0,0
turned,3,1.12275,0.513616,0,0,0,0,0
turned,4,1.23526,0.896347,0,0,0,0,0
turned,5,1.16284,1.12613,0.12,0,0,0,0
turned,6,1.11536,1.25856,0.6,0,0,0,0
turned,7,1.20147,1.34109,0.72,0,0,0,0
turned,8,1.26824,1.27544,0.84,0,0,0,0
turned,9,1.0506,1.34101,1.56,0,0,0,0
turned,10,0.773316,1.74773,2.64,0,0,0,0
turned,11,0.6907,2.12578,3,0,0,0,0
turned,12,0.779701,2.5111,3.12,0,0,0,0
no-motor,1,0.27807,0.0357791,0,0,0,0,0
no-motor,2,0.291505,0.0492575,0,0,0,0,0
no-motor,3,0.302773,0.0673787,0,0,0,0,0
no-motor,4,0.302852,0.0839471,0,0,0,0,0
no-motor,5,0.306207,0.0945375,0,0,0,0,0
no-motor,6,0.308585,0.101979,0,0,0,0,0
no-motor,7,0.307714,0.107723,0,0,0,0,0
no-motor,8,0.30528,0.112134,0,0,0,0,0
no-motor,9,0.305727,0.114918,0,0,0,0,0
no-motor,10,0.306316,0.116839,0,0,0,0,0
no-motor,11,0.305264,0.118367,0,0,0,0,0
no-motor,12,0.304668,0.119431,0,0,0,0,0
