seconds,mature,cells,births,deaths,cell_deaths,generation,lineages,motes,absorbed,attacked,digested,energy_error,cap,mature_generation,mutated_births,structural_births,meta_births
0,4,25,0,0,0,0,4,160,0,0,0,0,0,0,0,0,0
30,10,78,6,0,0,3,4,1196,65.2978,0,0,-4.52336e-08,0,2,5,1,0
60,15,116,12,2,7,3,4,1807,152.556,0,0,-2.60542e-07,0,2,10,1,0
90,24,182,24,10,34,5,4,1405,300.35,0,0,-2.16528e-08,0,4,17,1,0
120,34,212,40,20,76,5,4,836,490.518,0,0,3.63019e-07,1,5,30,2,0
150,31,195,46,35,138,7,4,915,639.376,0,0,2.2218e-07,1,6,36,2,0
180,28,195,54,55,196,7,4,1020,803.551,0,0,-3.22766e-07,1,6,42,3,0
210,30,204,64,69,245,8,4,898,964.817,0,0,-5.95297e-07,1,7,51,4,0
240,34,218,74,78,286,9,4,849,1134.12,0,0,-1.24237e-06,1,8,58,4,0
270,31,209,83,93,360,9,4,1021,1290.05,0,0,-1.65013e-06,1,8,63,5,0
300,34,211,96,109,431,10,5,1030,1451.13,3.15208,0,-1.68136e-06,1,9,73,6,0
330,25,180,99,129,502,10,4,1181,1586.55,3.15208,0,-1.81335e-06,1,9,76,6,0
360,20,173,104,145,571,10,3,1350,1716.71,3.15208,0,-1.99196e-06,1,9,81,6,0
390,23,174,114,157,635,10,2,1225,1870.08,3.15208,0,-2.76622e-06,1,9,89,6,0
420,23,149,126,180,737,10,2,1357,2006.07,3.15208,0,-3.37084e-06,1,9,98,7,0
450,22,153,137,196,811,10,3,1343,2156.72,3.87424,0,-3.80455e-06,1,9,106,9,0
480,26,165,154,221,900,12,3,1311,2302.37,7.79056,0,-4.47688e-06,1,11,117,10,0
510,28,169,167,239,972,12,4,1287,2457.16,9.164,0,-4.44213e-06,1,12,129,11,0
540,30,188,182,261,1047,13,2,976,2628.34,9.164,0,-4.87889e-06,1,12,142,11,1
570,28,185,192,285,1116,13,2,898,2787.63,9.164,0,-5.09564e-06,1,12,149,12,1
600,28,153,206,312,1225,15,3,1191,2924.29,9.164,0,-5.50543e-06,1,14,161,14,1
630,31,200,219,331,1275,16,3,1046,3092.93,9.164,0,-6.19484e-06,1,15,172,14,1
660,27,180,229,356,1367,17,3,973,3249.17,9.164,0,-6.91476e-06,1,16,180,14,1
690,35,192,246,375,1440,17,6,999,3417.13,9.164,0,-6.71614e-06,1,16,195,17,1
720,30,186,257,403,1534,17,5,893,3594.15,9.164,0,-6.88054e-06,1,16,202,17,1
750,28,179,268,428,1616,19,5,930,3758.88,9.164,0,-6.97949e-06,1,18,213,17,1
780,23,166,280,458,1712,19,6,1133,3901.68,9.164,0,-6.51723e-06,1,18,222,19,1
810,27,185,291,472,1769,20,7,1132,4060.39,9.164,0,-6.31978e-06,1,19,230,20,1
840,25,169,300,493,1841,21,7,1090,4217.98,9.164,0,-6.94939e-06,1,20,238,20,1
870,19,150,304,509,1902,22,7,1266,4351.23,9.164,0,-6.96661e-06,1,21,241,20,1
900,27,172,320,524,1978,23,6,1278,4504.49,12.5003,0,-7.13296e-06,1,22,255,21,1
930,26,155,332,547,2069,23,5,1360,4633.67,12.5003,0,-7.25882e-06,1,22,265,24,1
960,26,162,342,566,2134,23,4,1397,4782.1,16.1785,0,-7.60485e-06,1,22,271,25,1
990,22,153,352,592,2223,23,5,1336,4920.65,16.1785,0,-7.97919e-06,1,22,279,29,1
1020,32,178,371,611,2292,25,4,1268,5070.03,16.1785,0,-8.5607e-06,1,24,293,29,1
1050,34,184,386,632,2363,25,3,1176,5231.45,16.1785,0,-8.65844e-06,1,24,305,30,1
1080,37,201,399,653,2432,25,3,1026,5402.08,16.1785,0,-8.7104e-06,1,24,315,31,1
1110,37,194,415,677,2515,25,3,888,5573.19,16.1785,0,-8.94663e-06,1,24,327,32,1
1140,35,194,430,707,2603,26,4,864,5741.75,16.1785,0,-9.29574e-06,1,25,338,33,1
1170,33,185,443,732,2690,26,5,980,5902.71,16.1785,0,-9.18697e-06,1,25,348,35,1
1200,32,176,458,759,2782,26,5,1067,6059.44,16.1785,0,-9.04292e-06,1,25,356,37,1
1230,27,151,468,786,2874,26,3,1166,6202.94,16.1785,0,-9.23883e-06,1,25,365,38,1
1260,25,134,479,809,2953,27,2,1340,6335.56,16.1785,0,-9.38267e-06,1,26,375,38,1
1290,40,194,502,824,3004,29,2,1163,6499.18,16.1785,0,-9.45201e-06,1,28,393,39,1
1320,35,169,517,861,3107,30,3,1106,6658.81,16.1785,0,-9.64129e-06,1,29,404,41,1
1350,36,186,532,882,3179,30,4,988,6828.28,16.1785,0,-9.9528e-06,1,29,417,42,1
1380,35,177,547,912,3267,30,3,964,6986.54,16.1785,0,-1.01147e-05,1,29,429,42,1
1410,30,145,560,947,3370,31,1,1142,7134.5,16.1785,0,-1.01107e-05,1,30,438,42,1
1440,28,146,573,973,3443,31,1,1268,7279.34,16.1785,0,-1.06175e-05,1,30,447,42,1
1470,32,167,590,993,3519,32,3,1108,7441.65,16.1785,0,-1.0487e-05,1,31,463,44,1
1500,33,173,607,1022,3608,33,5,998,7600.25,16.1785,0,-1.08464e-05,1,32,476,46,1
1530,34,177,620,1044,3678,33,4,1068,7757.63,16.1785,0,-1.10953e-05,1,32,487,47,1
1560,38,186,639,1072,3763,34,5,922,7929.04,16.1785,0,-1.09351e-05,1,33,505,50,1
1590,38,188,653,1096,3836,34,5,867,8101.74,16.1785,0,-1.10141e-05,1,33,518,50,1
1620,33,184,663,1120,3909,34,4,956,8258.01,16.1785,0,-1.11008e-05,1,33,527,52,1
1650,32,173,678,1148,4007,34,5,1010,8416.53,16.1785,0,-1.17163e-05,1,33,539,54,1
1680,33,164,698,1182,4114,34,3,1125,8580.46,16.1785,0,-1.22248e-05,1,34,553,56,1
1710,39,189,715,1201,4176,35,4,902,8764.1,16.1785,0,-1.24919e-05,1,35,566,59,1
1740,34,196,729,1232,4273,36,5,906,8927.22,16.1785,0,-1.26925e-05,1,35,575,61,1
1770,32,168,745,1264,4390,37,3,996,9085.09,16.1785,0,-1.28696e-05,1,36,588,62,1
1799.99,39,194,765,1285,4460,37,2,827,9274.12,16.1785,0,-1.32409e-05,1,36,606,63,1
