seconds,region,resource_energy,harvested,mature,cells,mean_body,lineages,motors,sensors
0,0,0,0,1,5,5,1,0,0
0,1,0,0,1,4,4,1,2,1
0,2,0,0,1,9,9,1,2,1
0,3,0,0,1,7,7,1,3,0
30,0,0,0,2,10,5,1,0,0
30,1,0,0,2,8,4,1,4,2
30,2,0,0,3,26,8.66667,1,6,3
30,3,0,0,3,21,7,1,9,0
60,0,0,0,2,10,5,1,0,0
60,1,0,0,7,28,4,1,14,7
60,2,0,0,3,24,8,2,6,2
60,3,0,0,3,23,7.66667,2,8,1
90,0,0,0,3,15,5,1,0,0
90,1,0,0,10,43,4.3,2,21,9
90,2,0,0,3,24,8,2,6,2
90,3,0,0,8,54,6.75,3,20,4
120,0,0,0,12,54,4.5,3,16,7
120,1,0,0,11,47,4.27273,2,23,10
120,2,0,0,4,31,7.75,2,9,2
120,3,0,0,7,51,7.28571,3,15,6
150,0,0,0,14,62,4.42857,3,17,8
150,1,0,0,7,25,3.57143,1,12,6
150,2,0,0,3,24,8,2,6,2
150,3,0,0,7,56,8,3,15,6
180,0,0,0,8,41,5.125,3,5,1
180,1,0,0,9,36,4,1,17,10
180,2,0,0,5,42,8.4,2,10,4
180,3,0,0,6,41,6.83333,3,12,5
210,0,0,0,11,58,5.27273,4,11,4
210,1,0,0,8,37,4.625,2,15,9
210,2,0,0,5,42,8.4,2,10,4
210,3,0,0,6,42,7,3,13,5
240,0,0,0,17,82,4.82353,4,23,10
240,1,0,0,7,33,4.71429,2,13,8
240,2,0,0,3,23,7.66667,2,7,3
240,3,0,0,7,47,6.71429,3,11,6
270,0,0,0,13,63,4.84615,3,16,8
270,1,0,0,8,37,4.625,2,15,9
270,2,0,0,5,41,8.2,2,11,5
270,3,0,0,5,35,7,3,8,4
300,0,0,0,13,55,4.23077,3,18,8
300,1,0,0,11,54,4.90909,2,22,11
300,2,0,0,5,40,8,1,8,5
300,3,0,0,5,37,7.4,3,10,4
330,0,0,0,9,42,4.66667,3,14,8
330,1,0,0,11,68,6.18182,2,21,11
330,2,0,0,2,13,6.5,2,1,1
330,3,0,0,3,16,5.33333,3,6,2
360,0,0,0,7,36,5.14286,3,12,6
360,1,0,0,7,33,4.71429,2,14,7
360,2,0,0,3,23,7.66667,2,4,2
360,3,0,0,3,24,8,1,6,3
390,0,0,0,7,28,4,1,14,7
390,1,0,0,11,59,5.36364,2,22,11
390,2,0,0,1,6,6,1,2,1
390,3,0,0,4,33,8.25,1,8,4
420,0,0,0,10,39,3.9,1,18,10
420,1,0,0,5,22,4.4,2,8,4
420,2,0,0,3,24,8,1,6,3
420,3,0,0,5,32,6.4,2,8,4
450,0,0,0,7,28,4,1,14,7
450,1,0,0,7,28,4,1,14,7
450,2,0,0,2,13,6.5,2,2,2
450,3,0,0,6,49,8.16667,2,12,6
480,0,0,0,11,44,4,1,22,11
480,1,0,0,4,16,4,1,8,4
480,2,0,0,6,35,5.83333,3,7,5
480,3,0,0,5,22,4.4,2,7,5
510,0,0,0,9,35,3.88889,2,18,8
510,1,0,0,10,40,4,1,20,10
510,2,0,0,5,33,6.6,2,3,3
510,3,0,0,4,16,4,1,7,4
540,0,0,0,9,36,4,1,18,9
540,1,0,0,8,32,4,1,16,8
540,2,0,0,6,40,6.66667,2,8,5
540,3,0,0,7,28,4,1,14,7
570,0,0,0,6,24,4,1,12,6
570,1,0,0,9,36,4,1,17,9
570,2,0,0,4,28,7,2,5,3
570,3,0,0,9,36,4,1,17,9
600,0,0,0,6,27,4.5,2,12,6
600,1,0,0,10,41,4.1,1,19,10
600,2,0,0,5,31,6.2,2,7,4
600,3,0,0,7,27,3.85714,1,12,7
630,0,0,0,10,44,4.4,2,20,10
630,1,0,0,5,20,4,1,9,5
630,2,0,0,6,35,5.83333,2,9,5
630,3,0,0,10,39,3.9,1,18,10
660,0,0,0,9,45,5,3,18,9
660,1,0,0,10,40,4,1,20,10
660,2,0,0,4,22,5.5,2,5,3
660,3,0,0,4,16,4,1,8,4
690,0,0,0,10,39,3.9,4,16,9
690,1,0,0,11,43,3.90909,1,21,11
690,2,0,0,4,28,7,2,6,3
690,3,0,0,10,43,4.3,3,20,10
720,0,0,0,7,29,4.14286,3,12,6
720,1,0,0,9,36,4,1,18,9
720,2,0,0,5,31,6.2,3,10,5
720,3,0,0,9,39,4.33333,3,18,9
750,0,0,0,6,28,4.66667,2,12,6
750,1,0,0,11,46,4.18182,2,22,11
750,2,0,0,3,22,7.33333,2,6,3
750,3,0,0,8,34,4.25,3,16,8
780,0,0,0,4,20,5,1,8,4
780,1,0,0,7,30,4.28571,2,14,7
780,2,0,0,6,39,6.5,2,12,6
780,3,0,0,6,34,5.66667,4,14,7
810,0,0,0,5,25,5,1,10,5
810,1,0,0,8,35,4.375,3,16,9
810,2,0,0,6,37,6.16667,3,12,6
810,3,0,0,8,50,6.25,4,20,10
840,0,0,0,10,50,5,2,20,10
840,1,0,0,5,29,5.8,4,12,7
840,2,0,0,5,26,5.2,3,10,5
840,3,0,0,5,30,6,3,11,6
870,0,0,0,4,20,5,1,8,4
870,1,0,0,4,20,5,2,8,5
870,2,0,0,4,26,6.5,2,8,4
870,3,0,0,7,39,5.57143,4,15,8
900,0,0,0,8,41,5.125,2,16,9
900,1,0,0,8,39,4.875,2,16,8
900,2,0,0,6,30,5,3,12,6
900,3,0,0,5,25,5,2,10,5
930,0,0,0,2,10,5,1,4,2
930,1,0,0,11,51,4.63636,3,22,9
930,2,0,0,6,26,4.33333,3,12,6
930,3,0,0,7,35,5,2,14,7
960,0,0,0,4,20,5,1,8,4
960,1,0,0,8,36,4.5,3,18,7
960,2,0,0,9,38,4.22222,3,17,9
960,3,0,0,5,26,5.2,2,10,5
990,0,0,0,10,44,4.4,2,19,10
990,1,0,0,1,4,4,1,2,0
990,2,0,0,5,22,4.4,3,11,5
990,3,0,0,6,32,5.33333,2,13,6
1020,0,0,0,7,33,4.71429,3,14,7
1020,1,0,0,8,35,4.375,2,16,8
1020,2,0,0,8,34,4.25,3,16,8
1020,3,0,0,9,47,5.22222,2,19,9
1050,0,0,0,5,22,4.4,2,10,5
1050,1,0,0,9,41,4.55556,3,18,9
1050,2,0,0,8,32,4,2,15,7
1050,3,0,0,12,56,4.66667,2,24,12
1080,0,0,0,7,31,4.42857,2,14,7
1080,1,0,0,7,30,4.28571,2,14,7
1080,2,0,0,10,40,4,2,19,10
1080,3,0,0,13,58,4.46154,2,26,13
1110,0,0,0,9,42,4.66667,2,18,9
1110,1,0,0,10,42,4.2,2,20,10
1110,2,0,0,9,36,4,2,17,9
1110,3,0,0,9,36,4,2,16,8
1140,0,0,0,9,39,4.33333,2,18,9
1140,1,0,0,10,43,4.3,3,21,9
1140,2,0,0,7,29,4.14286,3,13,7
1140,3,0,0,9,38,4.22222,2,19,9
1170,0,0,0,10,41,4.1,3,21,9
1170,1,0,0,4,17,4.25,3,8,3
1170,2,0,0,6,27,4.5,2,14,6
1170,3,0,0,13,52,4,3,25,12
1200,0,0,0,7,29,4.14286,2,14,8
1200,1,0,0,8,32,4,2,16,7
1200,2,0,0,8,36,4.5,2,17,8
1200,3,0,0,9,37,4.11111,2,18,9
1230,0,0,0,9,36,4,1,18,9
1230,1,0,0,8,34,4.25,2,18,8
1230,2,0,0,4,19,4.75,2,9,4
1230,3,0,0,6,23,3.83333,1,11,5
1260,0,0,0,11,44,4,1,22,10
1260,1,0,0,3,12,4,1,6,3
1260,2,0,0,4,16,4,2,7,4
1260,3,0,0,7,29,4.14286,2,14,6
1290,0,0,0,12,48,4,1,24,12
1290,1,0,0,10,40,4,1,20,10
1290,2,0,0,9,33,3.66667,2,12,9
1290,3,0,0,9,36,4,2,17,7
1320,0,0,0,11,43,3.90909,1,21,11
1320,1,0,0,5,20,4,1,10,5
1320,2,0,0,9,31,3.44444,1,13,9
1320,3,0,0,10,43,4.3,3,21,10
1350,0,0,0,5,20,4,1,10,5
1350,1,0,0,11,43,3.90909,2,22,10
1350,2,0,0,7,23,3.28571,1,9,7
1350,3,0,0,13,55,4.23077,3,27,13
1380,0,0,0,13,52,4,1,26,13
1380,1,0,0,13,51,3.92308,2,26,12
1380,2,0,0,3,10,3.33333,1,4,3
