seconds,id,lineage,generation,cell,parent,x,y,role,vx,vy,hue,mature
0,0,1,0,0,-1,-12.6863,-8.50447,1,0,0,0.7,1
0,0,1,0,1,0,-11.8796,-8.35766,8,0,0,0.7,1
0,0,1,0,2,0,-13.2168,-7.87934,8,0,0,0.7,1
0,0,1,0,3,0,-12.8726,-9.18784,8,0,0,0.7,1
0,0,1,0,4,1,-11.1417,-8.22339,0,0,0,0.7,1
0,1,2,0,0,-1,10.7439,-7.56717,1,0,0,0.09,1
0,1,2,0,1,0,11.5379,-8.24671,4,0,0,0.09,1
0,1,2,0,2,1,11.3989,-6.85426,3,0,0,0.09,1
0,1,2,0,3,1,10.2256,-8.22636,3,0,0,0.09,1
0,2,3,0,0,-1,-11.438,12.4677,1,0,0,0.34,1
0,2,3,0,1,0,-12.2071,13.1042,4,0,0,0.34,1
0,2,3,0,2,1,-12.1092,11.7954,3,0,0,0.34,1
0,2,3,0,3,1,-10.8997,12.99,3,0,0,0.34,1
0,2,3,0,4,0,-10.5596,11.5784,0,0,0,0.34,1
0,2,3,0,5,4,-9.88042,10.4923,0,0,0,0.34,1
0,2,3,0,6,5,-8.80281,9.7997,0,0,0,0.34,1
0,2,3,0,7,6,-8.12364,8.7136,0,0,0,0.34,1
0,2,3,0,8,7,-6.98348,8.02237,0,0,0,0.34,1
0,3,4,0,0,-1,0.856787,4.46751,1,0,0,0.57,1
0,3,4,0,1,0,1.75717,5.09942,8,0,0,0.57,1
0,3,4,0,2,1,2.62051,5.57952,3,0,0,0.57,1
0,3,4,0,3,0,-0.140657,4.9313,8,0,0,0.57,1
0,3,4,0,4,3,-0.988107,5.43893,3,0,0,0.57,1
0,3,4,0,5,0,0.953853,3.3718,8,0,0,0.57,1
0,3,4,0,6,5,0.93796,2.38407,3,0,0,0.57,1
30,0,1,0,0,-1,-12.626,-8.58053,1,-0.00956775,0.0632801,0.7,1
30,0,1,0,1,0,-11.8667,-8.2165,8,-0.059385,0.0635482,0.7,1
30,0,1,0,2,0,-13.2874,-7.93311,8,-0.0248041,-0.226876,0.7,1
30,0,1,0,3,0,-12.5255,-9.30679,8,-0.237925,0.111149,0.7,1
30,0,1,0,4,1,-11.1901,-7.85807,0,0.0885701,-0.126844,0.7,1
30,1,2,0,0,-1,11.1517,-7.34997,1,0.189637,0.363423,0.09,1
30,1,2,0,1,0,11.8538,-6.49122,4,0.266162,0.33123,0.09,1
30,1,2,0,2,1,10.4279,-6.3245,3,0.271276,0.27019,0.09,1
30,1,2,0,3,1,12.0436,-7.81677,3,0.0934675,0.326609,0.09,1
30,2,3,0,0,-1,-5.76439,16.0724,1,-0.0835572,0.101136,0.34,1
30,2,3,0,1,0,-5.26916,16.9869,4,-0.14111,0.131586,0.34,1
30,2,3,0,2,1,-6.4939,16.5437,3,-0.193882,0.255131,0.34,1
30,2,3,0,3,1,-4.78419,15.786,3,-0.01945,0.176075,0.34,1
30,2,3,0,4,0,-6.65567,15.1216,0,-0.00404302,0.0173912,0.34,1
30,2,3,0,5,4,-7.89357,14.4019,0,0.00731255,-0.163747,0.34,1
30,2,3,0,6,5,-9.0339,13.8163,0,-0.0616624,-0.188193,0.34,1
30,2,3,0,7,6,-10.2593,13.8165,0,-0.150719,-0.0929289,0.34,1
30,2,3,0,8,7,-11.2856,13.0244,0,-0.312829,0.0726566,0.34,1
30,3,4,0,0,-1,-2.70673,1.33536,1,0.010667,-0.224249,0.57,1
30,3,4,0,1,0,-3.81438,1.16026,8,0.0703358,-0.655047,0.57,1
30,3,4,0,2,1,-4.8135,1.09964,3,0.087282,-1.02344,0.57,1
30,3,4,0,3,0,-2.04926,0.425968,8,0.403656,0.0608185,0.57,1
30,3,4,0,4,3,-1.51628,-0.41773,3,0.798919,0.315076,0.57,1
30,3,4,0,5,0,-2.43936,2.42196,8,-0.415246,-0.120387,0.57,1
30,3,4,0,6,5,-2.16285,3.38255,3,-0.793326,-0.0111622,0.57,1
30,4,1,1,0,-1,-13.5095,-8.73136,1,-0.0163983,0.101516,0.699,0
