lineage,parent_lineage,first_mature_observation,last_mature_observation,observations,max_generation,max_cells
1,4294967295,0,300,21,1,5
2,4294967295,0,1799.99,1791,39,6
3,4294967295,0,150,11,2,9
4,4294967295,0,390,38,6,7
5,3,30,60,2,1,10
8,2,210,210,1,4,5
10,2,240,270,2,5,5
11,2,270,330,10,9,3
13,2,240,330,5,6,5
16,2,360,360,1,8,4
17,2,390,390,1,8,3
18,2,540,540,1,11,2
23,2,600,630,2,11,3
25,2,630,660,2,14,5
27,2,660,660,1,16,3
31,2,810,810,1,17,9
32,2,840,870,4,15,3
34,2,930,930,1,20,5
38,2,1080,1230,10,22,5
44,2,1200,1200,1,30,6
48,2,1290,1320,2,27,5
52,2,1440,1500,3,25,9
56,2,1530,1530,1,32,5
57,2,1530,1560,2,30,5
58,2,1560,1650,5,30,5
63,2,1710,1710,1,31,5
