seconds,id,lineage,generation,cells,genome_nodes,modules,branches,width,height,speed,heading,motors,sensors,storage,attackers,neural_rate,geometry_rate,property_rate,role_rate,insert_rate,erase_rate,duplication_rate,deletion_rate,copy_rate,move_rate,constructor_rate,meta_rate,neural_magnitude,geometry_magnitude,property_magnitude,acquired_energy,extracted_energy,converted_energy,age,parent,parent_lineage,defenders,memory,senders,receivers,paid_thrust
0,0,1,0,5,5,1,1,2.07512,1.3085,0,0.179999,0,0,13.2,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
0,1,2,0,4,4,1,1,1.31228,1.39245,0,-0.70792,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
0,2,3,0,9,9,1,2,5.22364,5.08182,0,2.4503,2,1,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
0,3,4,0,7,3,2,1,3.60862,3.19545,0,0.611955,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
30,0,1,0,5,5,1,1,2.09731,1.44872,0.0538515,0.447085,0,0,13.2,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,4.32,0,0,29.9996,4294967295,4294967295,0,0,0,0,0
30,1,2,0,4,4,1,1,1.61562,1.49226,0.382519,0.885374,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,4.87699,0,0,29.9996,4294967295,4294967295,0,0,0,0,0.901286
30,2,3,0,9,9,1,2,6.5014,3.96256,0.112053,1.07452,2,1,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,7.12314,0,0,29.9996,4294967295,4294967295,0,0,0,0,0.82904
30,3,4,0,7,3,2,1,3.29722,3.80028,0.238044,-2.98481,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,9,0,0,29.9996,4294967295,4294967295,0,0,0,0,1.37201
30,5,2,1,4,4,1,1,2.10371,1.12757,0.403425,1.14429,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,6.28301,0,0,29.9913,1,2,0,0,0,0,0.524126
30,6,5,1,10,10,1,2,5.78391,6.30746,0.376621,-2.85252,2,1,12,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,6.43686,0,0,29.9913,2,3,0,0,0,0,2.00066
30,7,4,1,7,3,2,1,3.51109,3.54916,0.152426,0.974053,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,8.4,0,0,29.9913,3,4,0,0,0,0,1.37201
30,8,2,2,4,4,1,1,1.78771,1.27616,0.5063,1.99637,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,1.68,0,0,24.8164,5,2,0,0,0,0,1.19672
30,9,4,2,7,3,2,1,3.31458,3.11823,0.444347,1.26354,0,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,1.56,0,0,20.3081,7,4,0,0,3,0,0
60,0,1,0,5,5,1,1,1.97082,1.3252,0.00775707,-0.0678593,0,0,13.2,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,9.20657,0,0,60.0056,4294967295,4294967295,0,0,0,0,0
60,2,3,0,9,9,1,2,7.91843,1.67002,0.421851,-0.92239,2,1,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,15.8831,0,0,60.0056,4294967295,4294967295,0,0,0,0,2.55427
60,3,4,0,7,3,2,1,3.26129,3.81751,0.244274,2.96417,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,12,0,0,60.0056,4294967295,4294967295,0,0,0,0,1.37201
