second,family,mature,births,max_generation,changed_births,late_births
0,0,1,0,0,0,0
0,1,1,0,0,0,0
0,2,1,0,0,0,0
0,3,1,0,0,0,0
10,0,1,0,0,0,0
10,1,1,0,0,0,0
10,2,2,1,1,0,0
10,3,1,0,0,0,0
20,0,2,1,1,1,0
20,1,2,1,1,1,0
20,2,2,1,1,0,0
20,3,1,0,0,0,0
30,0,2,1,1,1,0
30,1,2,1,1,1,0
30,2,2,1,1,0,0
30,3,1,0,0,0,0
40,0,3,2,1,2,0
40,1,2,1,1,1,0
40,2,2,1,1,0,0
40,3,1,0,0,0,0
50,0,2,2,1,2,0
50,1,2,1,1,1,0
50,2,2,1,1,0,0
50,3,2,1,1,1,0
60,0,0,2,1,2,0
60,1,0,1,1,1,0
60,2,1,1,1,0,0
60,3,2,1,1,1,0
70,0,0,2,1,2,0
70,1,0,1,1,1,0
70,2,1,1,1,0,0
70,3,2,1,1,1,0
80,0,0,2,1,2,0
80,1,0,1,1,1,0
80,2,1,1,1,0,0
80,3,2,1,1,1,0
90,0,0,2,1,2,0
90,1,0,1,1,1,0
90,2,2,2,1,1,0
90,3,2,1,1,1,0
100,0,0,2,1,2,0
100,1,0,1,1,1,0
100,2,3,3,2,2,0
100,3,2,1,1,1,0
110,0,0,2,1,2,0
110,1,0,1,1,1,0
110,2,3,3,2,2,0
110,3,3,2,1,1,0
120,0,0,2,1,2,0
120,1,0,1,1,1,0
120,2,3,3,2,2,0
120,3,3,2,1,1,0
130,0,0,2,1,2,0
130,1,0,1,1,1,0
130,2,3,3,2,2,0
130,3,4,3,1,2,0
140,0,0,2,1,2,0
140,1,0,1,1,1,0
140,2,3,3,2,2,0
140,3,4,3,1,2,0
150,0,0,2,1,2,0
150,1,0,1,1,1,0
150,2,4,4,2,2,0
150,3,4,3,1,2,0
160,0,0,2,1,2,0
160,1,0,1,1,1,0
160,2,3,4,2,2,0
160,3,4,3,1,2,0
170,0,0,2,1,2,0
170,1,0,1,1,1,0
170,2,3,4,2,2,0
170,3,4,3,1,2,0
180,0,0,2,1,2,0
180,1,0,1,1,1,0
180,2,2,4,2,2,0
180,3,4,3,1,2,0
190,0,0,2,1,2,0
190,1,0,1,1,1,0
190,2,2,4,2,2,0
190,3,4,3,1,2,0
200,0,0,2,1,2,0
200,1,0,1,1,1,0
200,2,1,4,2,2,0
200,3,4,3,1,2,0
210,0,0,2,1,2,0
210,1,0,1,1,1,0
210,2,1,4,2,2,0
210,3,4,3,1,2,0
220,0,0,2,1,2,0
220,1,0,1,1,1,0
220,2,1,4,2,2,0
220,3,5,4,2,3,0
230,0,0,2,1,2,0
230,1,0,1,1,1,0
230,2,1,4,2,2,0
230,3,5,4,2,3,0
240,0,0,2,1,2,0
240,1,0,1,1,1,0
240,2,0,4,2,2,0
