id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,8,4,0,1,4294967295,267,-1
1,1,0,1,2,9,0,1,4294967295,202,-1
2,2,0,1,1,7,0,1,4294967295,551,-1
3,3,0,1,6,5,0,1,4294967295,879,-1
4,0,1,1,5,4,1,1,0,189,13
5,1,1,1,3,9,1,1,1,1799,12
6,2,1,1,2,7,1,1,2,630,70
7,3,1,1,0,5,1,1,3,255,64
8,1,2,1,0,9,1,1,5,160,38
9,1,1,1,1,9,0,1,1,338,71
10,0,2,1,1,4,1,1,4,91,42
11,0,1,1,2,4,1,1,0,322,46
12,1,3,0,0,9,1,1,8,160,-1
13,0,3,1,0,4,1,1,10,86,58
14,1,2,1,1,9,1,1,5,311,84
15,0,2,1,1,4,1,1,4,97,53
16,0,1,1,4,4,1,1,0,413,57
17,0,3,1,1,4,1,1,15,203,66
18,0,2,1,0,4,1,1,16,132,76
19,0,4,0,0,4,1,0,13,86,-1
20,0,2,1,1,4,1,1,4,142,64
21,0,2,1,7,4,1,1,11,712,86
22,0,1,1,4,4,1,1,0,284,68
23,0,3,1,0,3,1,0,20,221,78
24,0,4,1,0,4,1,1,17,125,72
25,0,2,1,4,4,1,1,22,332,79
26,2,2,1,4,7,1,1,6,800,78
27,0,2,1,0,4,1,0,4,180,89
28,3,1,1,0,5,1,1,3,734,136
29,0,5,0,0,4,1,1,24,94,-1
30,0,3,0,0,4,1,1,15,97,-1
31,0,1,1,0,4,1,1,0,106,79
32,0,3,0,0,4,1,1,18,132,-1
33,1,2,1,0,9,1,1,9,1799,105
34,1,1,0,0,9,1,1,1,202,-1
35,0,4,0,0,3,1,0,23,138,-1
36,2,1,0,0,10,1,0,2,215,-1
37,3,2,0,0,5,1,1,7,255,-1
38,0,3,1,1,4,1,1,25,197,120
39,0,2,0,0,4,1,1,31,106,-1
40,2,3,1,0,7,1,1,26,287,98
41,0,2,1,1,4,1,1,16,208,91
42,1,3,1,0,9,1,1,14,380,95
43,0,3,0,0,4,1,1,20,142,-1
45,0,3,1,0,4,1,1,21,182,95
46,0,4,0,0,4,1,1,17,134,-1
48,0,1,1,0,3,1,0,0,204,132
49,0,2,1,0,4,1,1,11,164,99
51,0,2,0,0,4,1,1,16,128,-1
52,0,2,1,3,4,1,1,4,353,131
54,0,2,0,0,4,1,1,11,154,-1
55,0,3,1,7,4,1,1,21,479,138
58,0,2,1,4,4,1,1,22,376,132
59,0,3,0,0,4,1,0,27,180,-1
61,0,4,1,0,4,1,1,38,249,141
63,0,3,1,3,4,1,1,41,313,141
64,0,4,0,0,4,1,0,45,182,-1
67,0,2,1,2,4,1,1,16,363,151
68,0,3,0,0,4,1,1,49,164,-1
69,0,1,1,3,4,1,1,0,482,209
70,0,4,0,0,3,1,0,23,216,-1
71,0,3,0,0,4,1,1,21,178,-1
72,0,2,1,3,4,1,1,22,383,162
74,0,2,0,0,4,1,1,4,189,-1
75,3,1,1,3,5,1,1,3,988,184
76,0,2,0,0,4,1,1,11,322,-1
77,0,4,0,0,4,1,1,17,203,-1
78,0,2,1,0,4,1,1,22,325,222
79,0,3,1,1,4,1,1,25,258,184
81,0,3,0,0,4,1,1,41,208,-1
83,0,3,1,0,4,1,1,52,271,188
84,0,4,1,1,4,1,1,55,504,192
85,0,2,0,0,3,1,0,48,204,-1
87,0,3,1,1,4,1,1,58,386,202
