id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,1,4,0,1,4294967295,50,-1
1,1,0,1,1,9,0,1,4294967295,132,-1
2,2,0,1,4,7,0,1,4294967295,1799,-1
3,3,0,1,9,4,0,1,4294967295,1799,-1
4,0,1,1,2,4,1,1,0,121,5
5,1,1,1,2,9,1,1,1,139,11
6,2,1,1,3,7,0,1,2,1799,19
7,3,1,1,0,4,0,1,3,327,62
8,1,2,1,1,9,1,1,5,120,50
9,0,2,1,3,4,1,1,4,186,34
10,2,2,1,1,7,0,1,6,348,55
11,2,1,1,3,7,1,1,2,402,40
12,1,1,0,0,9,1,1,1,61,-1
13,0,2,1,0,4,1,1,4,157,67
14,2,2,1,3,7,1,1,11,1799,61
15,0,3,1,1,4,1,1,9,166,64
16,2,1,1,4,7,1,1,2,1799,55
18,1,3,1,1,9,1,1,8,201,62
19,2,3,1,0,7,0,1,10,329,87
20,1,2,1,0,9,1,1,5,1799,76
21,2,2,1,1,7,1,1,6,1799,266
22,2,3,1,1,7,1,1,14,1799,69
23,2,1,1,0,7,1,1,2,1799,258
24,2,2,1,1,7,1,1,16,344,94
25,1,1,0,0,9,1,0,1,132,-1
26,2,2,1,0,7,1,1,11,302,97
27,1,4,1,0,9,1,1,18,352,104
28,3,1,1,1,4,0,1,3,466,82
29,1,3,0,0,9,1,1,8,120,-1
30,0,3,1,1,4,1,1,9,172,115
31,0,2,0,0,4,1,1,4,121,-1
32,2,3,0,0,7,1,1,14,123,-1
33,1,3,0,0,9,1,0,20,99,-1
34,2,4,1,0,4,1,0,22,262,88
35,1,2,0,0,9,1,1,5,139,-1
36,3,2,0,0,4,1,1,7,327,-1
37,2,4,0,0,7,1,1,19,329,-1
38,3,1,1,4,4,1,1,3,907,103
39,0,4,1,1,4,1,1,15,170,108
40,2,4,0,0,7,1,1,22,171,-1
41,0,3,0,0,4,1,1,13,157,-1
42,0,4,0,0,4,1,1,15,159,-1
43,2,2,1,0,7,1,1,16,1799,188
45,0,4,1,8,4,1,1,30,356,126
46,0,3,1,6,4,1,1,9,439,134
47,0,5,1,0,4,1,1,39,159,127
48,2,2,0,0,7,1,1,11,273,-1
49,0,5,1,3,4,1,1,45,516,180
50,2,3,0,0,15,1,0,10,348,-1
51,1,4,0,0,9,1,1,18,201,-1
52,3,1,1,3,4,0,1,3,1047,156
53,0,4,0,0,4,1,1,30,172,-1
55,0,3,0,0,4,1,1,9,186,-1
56,3,2,0,0,4,0,1,28,201,-1
57,3,2,1,9,4,1,1,38,1799,164
58,0,4,1,0,4,1,1,46,252,166
60,2,5,0,0,4,1,0,34,262,-1
62,2,3,1,0,7,1,1,24,1799,186
63,3,1,1,0,4,0,1,3,645,209
64,3,2,1,0,4,1,1,38,459,222
65,2,4,0,0,7,1,1,22,238,-1
67,0,5,0,0,4,1,1,58,252,-1
68,0,5,1,1,4,1,1,45,504,194
69,0,5,1,3,4,1,1,45,1799,206
71,2,2,1,0,7,1,1,16,1799,276
72,0,6,1,0,4,1,1,49,361,206
73,3,3,1,0,4,1,1,57,620,218
74,2,3,1,0,7,1,1,14,1799,305
75,0,5,1,0,4,1,1,45,1799,243
77,3,1,1,0,4,1,1,3,1799,784
78,3,2,1,0,4,0,1,28,416,262
81,3,2,1,1,4,1,1,38,627,267
82,0,5,1,0,4,1,1,45,478,271
85,0,4,1,0,4,1,1,46,414,278
86,0,5,1,0,4,1,1,45,1614,282
89,0,5,1,0,4,1,1,45,596,308
90,0,4,1,0,4,1,1,46,384,312
93,3,2,1,0,4,1,1,38,458,350
96,0,5,1,0,4,1,1,45,355,334
97,2,2,1,0,7,1,1,11,1799,340
98,2,3,1,0,7,1,1,14,1799,421
100,3,3,1,14,3,1,0,81,1799,347
101,0,4,1,0,4,1,1,46,1501,351
103,3,3,1,0,4,1,1,57,1799,353
106,2,2,0,0,7,1,1,11,402,-1
107,2,2,1,0,15,1,0,6,1799,595
108,0,6,1,0,4,1,0,68,817,357
110,0,6,1,0,4,1,1,69,1799,361
112,0,4,1,0,4,1,1,46,1033,372
114,3,3,1,0,4,1,1,57,1799,369
116,0,4,1,0,4,1,1,46,848,409
119,2,2,1,0,7,1,1,16,1654,410
120,2,3,1,0,7,1,1,21,624,414
123,0,6,1,0,4,1,1,49,738,423
124,3,3,1,0,4,1,1,57,460,425
125,3,4,1,7,3,1,0,100,1799,442
132,0,6,1,0,4,1,1,49,598,464
133,3,2,1,0,5,1,0,52,834,469
134,3,3,1,0,4,1,1,57,1799,468
137,0,6,1,0,4,1,1,69,554,475
138,3,4,1,0,3,1,0,100,560,478
140,0,6,0,0,4,1,1,49,516,-1
142,3,4,1,0,3,1,0,100,590,507
144,3,4,1,3,3,1,0,100,1799,525
145,3,2,1,0,4,1,1,52,1799,525
146,3,4,1,2,3,1,0,100,1799,560
149,3,2,1,0,4,0,1,52,1799,585
150,3,5,1,0,3,1,0,144,790,587
152,3,5,1,0,3,1,0,125,1799,647
154,3,5,1,0,3,1,0,144,1799,607
156,3,3,1,0,4,1,1,57,1799,605
157,3,4,1,0,3,1,0,100,1799,627
160,3,5,1,0,3,1,0,146,1799,629
161,3,3,1,0,4,1,1,57,1799,629
164,0,6,1,0,4,1,1,69,1799,656
167,3,4,1,0,3,1,0,100,1799,664
168,3,5,1,0,3,1,0,146,1799,713
170,3,4,1,0,3,1,0,100,1799,741
171,3,4,1,0,3,1,0,100,1799,792
172,3,4,1,0,3,1,0,100,852,820
174,3,5,1,0,3,1,0,125,1799,825
176,3,3,1,0,4,1,1,57,1799,843
178,3,4,1,0,3,1,0,100,1169,859
180,3,3,1,0,3,1,0,57,1799,856
181,3,4,1,0,3,1,0,100,1799,910
183,3,5,1,0,3,1,0,125,1799,914
185,3,4,1,0,3,1,0,100,1799,1036
188,3,1,1,0,4,0,1,3,1788,1056
189,3,4,1,0,3,1,0,100,1455,1172
190,3,5,1,0,3,1,0,125,1799,1459
192,3,5,1,0,3,1,0,125,1799,1504
193,3,5,1,0,3,1,0,125,1799,1617
195,3,5,1,0,3,1,0,144,1799,1622
196,3,5,1,0,3,1,0,125,1799,1658
199,3,1,1,0,4,1,1,3,1799,1663
202,3,1,1,0,4,1,1,3,1799,1797
