second,family,mature,births,max_generation,changed_births,late_births
0,0,1,0,0,0,0
0,1,1,0,0,0,0
0,2,1,0,0,0,0
0,3,1,0,0,0,0
10,0,2,1,1,1,0
10,1,1,0,0,0,0
10,2,1,0,0,0,0
10,3,1,0,0,0,0
20,0,2,1,1,1,0
20,1,2,1,1,1,0
20,2,1,0,0,0,0
20,3,1,0,0,0,0
30,0,2,1,1,1,0
30,1,2,1,1,1,0
30,2,2,1,1,1,0
30,3,1,0,0,0,0
40,0,3,2,1,1,0
40,1,2,1,1,1,0
40,2,2,1,1,1,0
40,3,2,1,1,1,0
50,0,4,3,1,1,0
50,1,3,2,2,2,0
50,2,2,1,1,1,0
50,3,2,1,1,1,0
60,0,5,4,1,2,0
60,1,4,3,3,3,0
60,2,2,2,2,2,0
60,3,2,1,1,1,0
70,0,7,6,2,3,0
70,1,5,4,4,4,0
70,2,2,2,2,2,0
70,3,2,1,1,1,0
80,0,9,9,3,4,0
80,1,5,4,4,4,0
80,2,3,3,3,3,0
80,3,2,1,1,1,0
90,0,10,10,3,5,0
90,1,8,7,5,7,0
90,2,3,3,3,3,0
90,3,2,1,1,1,0
100,0,10,12,3,6,0
100,1,10,9,6,9,0
100,2,3,3,3,3,0
100,3,2,1,1,1,0
110,0,11,14,3,7,0
110,1,10,10,6,10,0
110,2,4,4,3,4,0
110,3,2,1,1,1,0
120,0,8,14,3,7,0
120,1,10,10,6,10,0
120,2,4,4,3,4,0
120,3,2,1,1,1,0
130,0,8,15,3,8,0
130,1,9,11,6,11,0
130,2,4,4,3,4,0
130,3,2,1,1,1,0
140,0,11,18,3,9,0
140,1,8,11,6,11,0
140,2,5,5,4,5,0
140,3,2,1,1,1,0
150,0,10,18,3,9,0
150,1,8,12,6,12,0
150,2,5,5,4,5,0
150,3,2,1,1,1,0
160,0,12,21,3,10,0
160,1,10,14,6,14,0
160,2,4,5,4,5,0
160,3,2,1,1,1,0
170,0,11,21,3,10,0
170,1,9,14,6,14,0
170,2,5,6,4,6,0
170,3,2,1,1,1,0
180,0,11,21,3,10,0
180,1,9,14,6,14,0
180,2,3,6,4,6,0
180,3,2,1,1,1,0
190,0,8,22,3,11,0
190,1,11,16,6,16,0
190,2,3,6,4,6,0
190,3,1,1,1,1,0
200,0,7,24,3,13,0
200,1,13,18,6,18,0
200,2,3,6,4,6,0
200,3,1,1,1,1,0
210,0,8,25,3,14,0
210,1,11,18,6,18,0
210,2,2,6,4,6,0
210,3,1,1,1,1,0
220,0,7,27,4,16,0
220,1,11,19,6,19,0
220,2,2,6,4,6,0
220,3,1,1,1,1,0
230,0,8,28,4,17,0
230,1,11,20,6,20,0
230,2,2,6,4,6,0
230,3,1,1,1,1,0
240,0,9,29,4,18,0
240,1,10,21,6,21,0
240,2,2,6,4,6,0
