catalog,seed,profile,seed_out,profile_out,name,mature,births,max_generation,changed_births,late_births,physical_cells
promoted,17,0,17,0,Skiff,38,803,29,799,449,195
promoted,17,0,17,0,Thread,0,7,4,4,0,0
promoted,17,0,17,0,Whorl,0,30,11,29,0,0
promoted,17,0,17,0,Husk,0,1,1,0,0,0
promoted,17,1,17,1,Skiff,9,467,41,467,239,45
promoted,17,1,17,1,Thread,0,1,1,0,0,0
promoted,17,1,17,1,Whorl,0,2,1,2,0,0
promoted,17,1,17,1,Husk,0,3,3,0,0,0
promoted,17,2,17,2,Skiff,10,72,8,54,0,40
promoted,17,2,17,2,Thread,0,6,2,5,0,0
promoted,17,2,17,2,Whorl,5,10,3,10,0,35
promoted,17,2,17,2,Husk,46,82,8,64,18,164
promoted,43,0,43,0,Skiff,0,1,1,1,0,0
promoted,43,0,43,0,Thread,19,316,25,316,198,183
promoted,43,0,43,0,Whorl,0,18,5,14,0,0
promoted,43,0,43,0,Husk,0,17,4,7,0,0
promoted,43,1,43,1,Skiff,0,29,11,29,0,0
promoted,43,1,43,1,Thread,0,11,5,10,0,0
promoted,43,1,43,1,Whorl,0,9,5,8,1,0
promoted,43,1,43,1,Husk,0,0,0,0,0,0
promoted,43,2,43,2,Skiff,4,30,6,30,0,16
promoted,43,2,43,2,Thread,1,5,4,5,0,8
promoted,43,2,43,2,Whorl,14,21,4,18,0,98
promoted,43,2,43,2,Husk,35,53,5,46,12,118
promoted,71,0,71,0,Skiff,31,601,41,590,415,163
promoted,71,0,71,0,Thread,0,72,16,72,9,0
promoted,71,0,71,0,Whorl,0,21,11,21,2,0
promoted,71,0,71,0,Husk,0,3,1,2,0,0
promoted,71,1,71,1,Skiff,17,520,35,513,272,83
promoted,71,1,71,1,Thread,0,12,5,12,0,0
promoted,71,1,71,1,Whorl,0,0,0,0,0,0
promoted,71,1,71,1,Husk,0,0,0,0,0,0
promoted,71,2,71,2,Skiff,15,87,6,74,8,60
promoted,71,2,71,2,Thread,3,12,4,11,0,21
promoted,71,2,71,2,Whorl,4,7,2,7,1,28
promoted,71,2,71,2,Husk,39,102,9,102,38,127
previous,17,0,17,0,Skiff,0,0,0,0,0,0
previous,17,0,17,0,Thread,18,223,24,223,122,191
previous,17,0,17,0,Whorl,0,25,12,23,4,0
previous,17,0,17,0,Husk,0,4,2,4,0,0
previous,17,1,17,1,Skiff,0,2,1,2,0,0
previous,17,1,17,1,Thread,0,1,1,1,0,0
previous,17,1,17,1,Whorl,0,4,2,2,0,0
previous,17,1,17,1,Husk,5,25,8,24,12,25
previous,17,2,17,2,Skiff,29,173,10,170,80,128
previous,17,2,17,2,Thread,0,6,2,4,0,0
previous,17,2,17,2,Whorl,5,19,3,17,5,35
previous,17,2,17,2,Husk,13,32,5,32,11,70
previous,43,0,43,0,Skiff,41,778,42,778,456,192
previous,43,0,43,0,Thread,0,6,3,6,0,0
previous,43,0,43,0,Whorl,0,11,4,7,0,0
previous,43,0,43,0,Husk,0,17,4,15,0,0
previous,43,1,43,1,Skiff,13,269,29,269,133,91
previous,43,1,43,1,Thread,0,2,1,1,0,0
previous,43,1,43,1,Whorl,0,3,2,2,0,0
previous,43,1,43,1,Husk,0,3,2,2,0,0
previous,43,2,43,2,Skiff,0,0,0,0,0,0
previous,43,2,43,2,Thread,3,12,4,12,0,22
previous,43,2,43,2,Whorl,16,29,4,26,3,111
previous,43,2,43,2,Husk,20,53,6,52,23,103
previous,71,0,71,0,Skiff,0,27,5,26,0,0
previous,71,0,71,0,Thread,22,210,18,209,105,215
previous,71,0,71,0,Whorl,0,13,9,13,0,0
previous,71,0,71,0,Husk,0,10,4,10,0,0
previous,71,1,71,1,Skiff,0,0,0,0,0,0
previous,71,1,71,1,Thread,4,92,17,92,48,35
previous,71,1,71,1,Whorl,0,0,0,0,0,0
previous,71,1,71,1,Husk,0,0,0,0,0,0
previous,71,2,71,2,Skiff,70,267,19,266,131,126
previous,71,2,71,2,Thread,2,7,3,6,0,18
previous,71,2,71,2,Whorl,3,8,3,8,0,21
previous,71,2,71,2,Husk,15,22,3,21,2,75
