family,late_adults,late_births,max_generation,late_changed,late_defining_mechanism,candidate,stage,source_gen,source_second
0,961,926,140,961,1674,Dart-0,phase2,38,1790
0,514,496,121,514,896,Dart-0,phase2,38,1790
0,290,99,26,290,14,Dart-0,phase2,38,1790
0,0,0,1,0,0,Dart-0,holdout,38,1790
0,313,264,38,313,483,Dart-0,holdout,38,1790
0,304,261,39,304,477,Dart-0,holdout,38,1790
0,371,328,55,371,606,Dart-0,holdout,38,1790
0,288,269,74,288,494,Ribbon-0,phase2,24,1780
0,0,0,23,0,0,Ribbon-0,phase2,24,1780
0,91,61,12,89,96,Ribbon-0,phase2,24,1780
0,0,0,1,0,0,Ribbon-0,holdout,24,1780
0,69,46,11,69,96,Ribbon-0,holdout,24,1780
0,92,67,18,75,115,Ribbon-0,holdout,24,1780
0,101,80,29,101,167,Ribbon-0,holdout,24,1780
0,278,68,48,278,5,Crown-0,phase2,14,1784
0,0,0,4,0,0,Crown-0,phase2,14,1784
0,38,0,5,16,38,Crown-0,phase2,14,1784
0,0,0,1,0,0,Crown-0,holdout,14,1784
0,74,44,11,74,81,Crown-0,holdout,14,1784
0,147,3,15,141,146,Crown-0,holdout,14,1784
0,51,40,22,51,40,Crown-0,holdout,14,1784
0,223,196,49,223,367,Vault-0,phase2,9,1641
0,0,0,6,0,0,Vault-0,phase2,9,1641
0,49,0,4,32,49,Vault-0,phase2,9,1641
0,0,0,0,0,0,Vault-0,holdout,9,1641
0,96,60,10,96,130,Vault-0,holdout,9,1641
0,48,0,4,40,48,Vault-0,holdout,9,1641
0,5,2,5,5,7,Vault-0,holdout,9,1641
0,794,627,48,794,0,Primitive-0,phase2,37,1350
0,0,0,12,0,0,Primitive-0,phase2,37,1350
0,133,23,9,127,21,Primitive-0,phase2,37,1350
0,0,0,1,0,0,Primitive-0,holdout,37,1350
0,865,769,62,865,102,Primitive-0,holdout,37,1350
0,134,58,15,134,104,Primitive-0,holdout,37,1350
0,341,297,52,341,553,Primitive-0,holdout,37,1350
0,416,403,119,416,805,Contractile-0,phase2,25,1798
0,0,0,4,0,0,Contractile-0,phase2,25,1798
0,88,39,21,88,1,Contractile-0,phase2,25,1798
0,0,0,1,0,0,Contractile-0,holdout,25,1798
0,160,134,37,160,288,Contractile-0,holdout,25,1798
0,175,147,26,175,275,Contractile-0,holdout,25,1798
0,197,188,36,197,340,Contractile-0,holdout,25,1798
