id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,3,0,1,1,4,0,1,4294967295,179,-1
1,0,0,1,6,4,0,1,4294967295,179,-1
2,1,0,1,1,9,0,1,4294967295,87,-1
3,2,0,1,3,6,0,1,4294967295,90,-1
4,3,1,1,2,4,0,1,0,179,111
5,0,1,1,0,4,0,1,1,82,4
6,1,1,1,1,9,0,1,2,179,12
7,2,1,1,1,6,1,1,3,144,7
8,0,2,0,0,4,0,1,5,82,-1
9,2,2,1,2,6,1,1,7,134,52
10,0,1,0,0,4,0,1,1,45,-1
11,1,2,1,1,9,0,1,6,131,32
12,2,1,1,0,6,0,1,3,84,46
13,1,1,0,0,9,0,1,2,39,-1
14,1,3,1,0,9,1,1,11,145,86
15,1,2,0,0,9,1,1,6,73,-1
16,2,2,0,0,6,1,0,12,84,-1
17,2,1,1,2,6,1,1,3,163,59
18,2,3,1,0,6,1,1,9,179,82
19,1,1,0,0,9,0,1,2,87,-1
20,2,2,0,0,6,1,1,7,112,-1
21,2,1,0,0,6,0,1,3,90,-1
22,0,1,1,2,4,0,1,1,163,80
23,2,2,1,1,6,1,1,17,142,84
24,0,2,1,4,4,1,1,22,179,84
27,2,3,1,0,6,1,1,23,161,95
28,0,3,1,4,4,1,1,24,179,100
29,1,4,0,0,9,1,1,14,144,-1
30,2,3,1,2,6,1,1,9,179,95
31,2,4,0,0,6,1,1,18,113,-1
33,2,2,1,0,6,1,1,17,179,97
35,1,3,0,0,9,1,1,11,131,-1
36,0,1,1,0,4,0,1,1,173,134
37,2,4,1,1,6,1,1,30,165,121
38,2,4,0,0,6,1,1,27,161,-1
39,0,2,1,0,4,1,1,22,179,131
40,2,3,0,0,6,1,1,33,179,-1
41,2,3,0,0,6,1,1,9,134,-1
42,2,2,0,0,6,1,1,17,163,-1
43,2,3,0,0,6,1,1,23,142,-1
44,0,3,1,0,4,1,1,24,167,125
45,3,2,1,0,4,0,1,4,179,116
46,0,4,1,1,4,1,1,28,156,120
47,2,2,0,0,6,1,1,7,144,-1
48,2,5,1,0,6,1,1,37,179,128
49,0,5,1,0,4,1,1,46,155,126
50,3,2,1,0,4,0,1,4,179,129
51,1,2,0,0,9,0,1,6,179,-1
52,0,4,0,0,4,1,1,44,163,-1
53,0,4,1,0,4,1,1,28,177,131
54,0,6,0,0,4,1,1,49,155,-1
55,2,6,0,0,6,1,1,48,179,-1
58,0,5,0,0,4,1,1,46,156,-1
59,0,3,1,0,4,1,1,24,179,140
60,0,3,0,0,4,1,1,39,179,-1
61,2,5,0,0,6,1,1,37,162,-1
62,0,4,1,1,4,1,1,28,179,142
63,0,2,0,0,4,0,1,22,163,-1
64,0,5,0,0,4,1,1,53,177,-1
65,0,1,1,2,4,0,1,1,179,147
66,0,5,1,0,3,1,0,62,179,146
70,0,6,0,0,3,1,0,66,179,-1
71,0,3,1,1,4,1,1,24,179,152
72,0,2,1,0,4,1,1,65,179,152
73,0,4,1,2,4,1,1,28,179,152
74,3,2,0,0,4,0,1,4,179,-1
75,0,4,1,0,4,1,1,71,179,162
76,0,5,1,0,4,1,1,73,179,162
77,0,4,0,0,4,1,1,59,179,-1
78,0,1,1,0,4,0,1,1,179,158
79,0,3,0,0,4,1,1,72,179,-1
82,2,4,1,0,6,1,0,30,179,164
83,0,3,0,0,4,1,1,24,179,-1
84,0,2,1,0,4,0,1,65,179,163
85,0,4,0,0,4,1,1,28,179,-1
88,0,5,0,0,4,1,1,75,179,-1
90,0,1,1,0,4,0,1,1,179,169
91,2,5,0,0,6,1,0,82,179,-1
92,0,3,0,0,4,1,1,84,179,-1
95,0,4,0,0,4,1,1,71,179,-1
96,0,5,1,0,4,1,1,73,179,176
97,0,2,0,0,4,0,1,65,179,-1
98,2,4,0,0,6,1,1,30,179,-1
100,0,1,0,0,4,1,1,1,179,-1
101,0,6,0,0,4,1,1,96,179,-1
