second,id,parent,node,organism_parent,lineage,x,y,role,energy
0,0,-1,0,4294967295,1,-12.7964,-8.50018,1,0.97587
0,0,0,1,4294967295,1,-11.9731,-8.31698,8,1.24769
0,0,0,2,4294967295,1,-13.339,-7.86358,8,1.24769
0,0,0,3,4294967295,1,-13.1558,-9.24835,8,1.12822
0,1,-1,0,4294967295,2,12.1354,-9.53473,1,1.1988
0,1,0,1,4294967295,2,12.745,-10.2175,4,1.12014
0,1,1,2,4294967295,2,12.5537,-8.91908,3,1.19867
0,1,1,3,4294967295,2,11.4328,-10.1972,3,1.00135
0,2,-1,0,4294967295,3,-10.6981,10.3524,1,1.00306
0,2,0,1,4294967295,3,-11.4008,11.0639,4,1.11748
0,2,1,2,4294967295,3,-11.3028,9.75512,3,1.0014
0,2,1,3,4294967295,3,-10.0869,11.0562,3,1.19868
0,2,0,4,4294967295,3,-9.81968,9.46308,0,1.11667
0,2,4,5,4294967295,3,-9.08631,8.36316,0,1.00147
0,2,5,6,4294967295,3,-8.00871,7.67058,0,0.999867
0,2,6,7,4294967295,3,-7.32953,6.58447,0,0.999867
0,2,7,8,4294967295,3,-6.24243,5.90595,0,0.999867
0,3,-1,0,4294967295,4,3.40824,1.6083,1,1.19613
0,3,0,1,4294967295,4,4.18581,2.23709,4,1.11748
0,3,1,2,4294967295,4,2.90714,2.23878,3,1.00143
0,3,1,3,4294967295,4,3.91172,0.993208,3,1.00139
0,3,0,4,4294967295,4,2.62192,0.963199,2,1.00413
0,3,4,5,4294967295,4,1.7003,0.527369,3,1.11827
1,0,-1,0,4294967295,1,-12.7964,-8.50018,1,0.488025
1,0,0,1,4294967295,1,-11.9731,-8.31698,8,1.49089
1,0,0,2,4294967295,1,-13.339,-7.86358,8,1.58312
1,0,0,3,4294967295,1,-13.1558,-9.24835,8,1.33343
1,1,-1,0,4294967295,2,12.154,-9.6015,1,1.16955
1,1,0,1,4294967295,2,12.884,-10.1708,4,1.14325
1,1,1,2,4294967295,2,12.5766,-8.89455,3,1.16626
1,1,1,3,4294967295,2,11.6199,-10.4933,3,1.10119
1,2,-1,0,4294967295,3,-10.787,10.4042,1,1.05151
1,2,0,1,4294967295,3,-11.6389,10.9872,4,1.0522
1,2,1,2,4294967295,3,-11.2964,9.72451,3,1.04768
1,2,1,3,4294967295,3,-10.4616,11.5303,3,1.06072
1,2,0,4,4294967295,3,-9.84442,9.54061,0,1.05737
1,2,4,5,4294967295,3,-9.09571,8.39509,0,1.07128
1,2,5,6,4294967295,3,-8.01471,7.67569,0,1.02561
1,2,6,7,4294967295,3,-7.3315,6.58549,0,0.996983
1,2,7,8,4294967295,3,-6.24286,5.90628,0,0.988011
1,3,-1,0,4294967295,4,3.49908,1.6772,1,1.0933
1,3,0,1,4294967295,4,4.21884,2.43537,4,1.04369
1,3,1,2,4294967295,4,2.9536,2.28435,3,1.03764
1,3,1,3,4294967295,4,4.26375,1.18799,3,1.01697
1,3,0,4,4294967295,4,2.68828,0.972593,2,1.13322
1,3,4,5,4294967295,4,1.47845,0.392442,3,1.19885
2,0,-1,0,4294967295,1,-12.7974,-8.50193,1,0.382956
2,0,0,1,4294967295,1,-11.9732,-8.31866,8,1.35225
2,0,0,2,4294967295,1,-13.339,-7.86389,8,1.40629
2,0,0,3,4294967295,1,-13.1668,-9.24811,8,1.25998
2,1,-1,0,4294967295,2,12.327,-9.82761,1,0.896101
2,1,0,1,4294967295,2,13.2449,-10.0205,4,1.05726
2,1,1,2,4294967295,2,12.4386,-8.97999,3,1.04705
2,1,1,3,4294967295,2,12.281,-10.8968,3,1.01361
2,2,-1,0,4294967295,3,-11.0385,10.3965,1,0.977072
2,2,0,1,4294967295,3,-12.074,10.5803,4,1.03054
2,2,1,2,4294967295,3,-11.1142,9.59639,3,1.02164
2,2,1,3,4294967295,3,-11.5427,11.7393,3,0.992158
2,2,0,4,4294967295,3,-9.88785,9.82045,0,0.984393
2,2,4,5,4294967295,3,-9.12326,8.64876,0,1.01701
2,2,5,6,4294967295,3,-8.08929,7.79035,0,1.01966
2,2,6,7,4294967295,3,-7.396,6.65518,0,1.00402
2,2,7,8,4294967295,3,-6.29341,5.94055,0,0.992034
2,3,-1,0,4294967295,4,3.40155,1.90215,1,0.96916
2,3,0,1,4294967295,4,4.16706,2.66416,4,1.03856
2,3,1,2,4294967295,4,2.90259,2.82535,3,0.972555
2,3,1,3,4294967295,4,4.61053,1.47003,3,0.947761
2,3,0,4,4294967295,4,2.77289,1.09191,2,1.03611
2,3,4,5,4294967295,4,2.2034,0.682237,3,1.0832
2,5,-1,0,1,2,11.5187,-9.91103,1,0.5072
2,6,-1,0,2,3,-11.8173,10.2894,1,0.5072
2,7,-1,0,3,4,2.57671,1.59212,1,0.5072
2,4,-1,0,0,1,-12.3386,-9.1609,1,0.634267
3,0,-1,0,4294967295,1,-12.8087,-8.50892,1,0.440988
3,0,0,1,4294967295,1,-11.9811,-8.34603,8,1.41566
3,0,0,2,4294967295,1,-13.3371,-7.85963,8,1.34327
3,0,0,3,4294967295,1,-13.1834,-9.24914,8,1.25754
3,1,-1,0,4294967295,2,12.6626,-10.0819,1,0.69574
3,1,0,1,4294967295,2,13.4964,-9.65802,4,0.861466
3,1,1,2,4294967295,2,12.2111,-9.34078,3,0.935126
3,1,1,3,4294967295,2,13.385,-10.9715,3,0.952218
3,2,-1,0,4294967295,3,-11.5408,10.3333,1,0.81757
3,2,0,1,4294967295,3,-12.5223,10.3077,4,0.872712
3,2,1,2,4294967295,3,-11.4475,9.48141,3,0.900684
3,2,1,3,4294967295,3,-12.0185,11.5593,3,0.919418
3,2,0,4,4294967295,3,-10.2888,10.1389,0,0.888849
3,2,4,5,4294967295,3,-9.23627,9.08178,0,0.999267
3,2,5,6,4294967295,3,-8.17453,8.13795,0,0.99767
3,2,6,7,4294967295,3,-7.5616,6.91623,0,0.988946
3,2,7,8,4294967295,3,-6.52033,6.09362,0,0.985715
3,3,-1,0,4294967295,4,3.62979,2.24298,1,0.861372
3,3,0,1,4294967295,4,3.9429,3.21939,4,0.952064
3,3,1,2,4294967295,4,2.71887,2.79489,3,0.9581
3,3,1,3,4294967295,4,4.37537,2.04712,3,0.931353
3,3,0,4,4294967295,4,3.292,1.25068,2,0.920732
3,3,4,5,4294967295,4,2.61529,0.337097,3,1.05142
3,5,-1,0,1,2,11.8502,-10.0005,1,0.54543
3,6,-1,0,2,3,-12.0579,9.67968,1,0.64829
3,7,-1,0,3,4,2.86436,2.13405,1,0.614
3,4,-1,0,0,1,-12.3047,-9.12978,1,0.618267
3,5,0,1,1,2,10.9316,-10.0841,4,0.55697
3,6,0,1,2,3,-12.6117,8.82957,4,0.69411
3,7,0,1,3,4,1.98557,2.61552,4,0.6084
4,0,-1,0,4294967295,1,-12.8105,-8.51188,1,0.437614
4,0,0,1,4294967295,1,-11.9819,-8.34881,8,1.36364
4,0,0,2,4294967295,1,-13.3357,-7.86093,8,1.32122
4,0,0,3,4294967295,1,-13.1949,-9.24868,8,1.27099
4,1,-1,0,4294967295,2,13.0373,-10.0635,1,0.467914
4,1,0,1,4294967295,2,13.5084,-9.22552,4,0.697094
4,1,1,2,4294967295,2,12.2458,-9.56981,3,0.804493
4,1,1,3,4294967295,2,14.323,-10.2571,3,0.786968
4,2,-1,0,4294967295,3,-11.9804,10.0378,1,0.689518
4,2,0,1,4294967295,3,-12.9717,10.2506,4,0.773093
4,2,1,2,4294967295,3,-12.35,9.06905,3,0.801044
4,2,1,3,4294967295,3,-11.8205,10.901,3,0.839899
