second,family,mature,births,max_generation,changed_births,late_births
0,0,1,0,0,0,0
0,1,1,0,0,0,0
0,2,1,0,0,0,0
0,3,1,0,0,0,0
10,0,2,1,1,0,0
10,1,1,0,0,0,0
10,2,2,1,1,1,0
10,3,1,0,0,0,0
20,0,2,1,1,0,0
20,1,2,1,1,0,0
20,2,2,1,1,1,0
20,3,1,0,0,0,0
30,0,2,1,1,0,0
30,1,2,1,1,0,0
30,2,2,1,1,1,0
30,3,1,0,0,0,0
40,0,2,1,1,0,0
40,1,3,2,2,0,0
40,2,2,1,1,1,0
40,3,1,0,0,0,0
50,0,2,1,1,0,0
50,1,3,2,2,0,0
50,2,3,2,1,1,0
50,3,1,0,0,0,0
60,0,2,1,1,0,0
60,1,3,2,2,0,0
60,2,5,4,2,3,0
60,3,1,0,0,0,0
70,0,2,1,1,0,0
70,1,3,2,2,0,0
70,2,5,4,2,3,0
70,3,1,0,0,0,0
80,0,2,1,1,0,0
80,1,3,2,2,0,0
80,2,5,4,2,3,0
80,3,1,0,0,0,0
90,0,3,3,2,1,0
90,1,3,3,3,1,0
90,2,6,6,3,5,0
90,3,1,0,0,0,0
100,0,3,3,2,1,0
100,1,3,3,3,1,0
100,2,8,9,3,8,3
100,3,1,0,0,0,0
110,0,4,4,3,2,1
110,1,3,3,3,1,0
110,2,8,9,3,8,3
110,3,1,0,0,0,0
120,0,4,4,3,2,1
120,1,3,3,3,1,0
120,2,8,9,3,8,3
120,3,3,2,2,0,2
130,0,7,7,5,5,4
130,1,3,3,3,1,0
130,2,10,11,5,10,5
130,3,4,3,2,0,3
140,0,10,10,5,7,7
140,1,2,3,3,1,0
140,2,9,11,5,10,5
140,3,4,3,2,0,3
150,0,14,14,5,10,11
150,1,1,3,3,1,0
150,2,7,11,5,10,5
150,3,4,3,2,0,3
160,0,16,18,5,13,15
160,1,1,3,3,1,0
160,2,7,11,5,10,5
160,3,4,3,2,0,3
170,0,18,22,5,15,19
170,1,1,3,3,1,0
170,2,5,12,5,11,6
170,3,4,3,2,0,3
179,0,17,23,5,16,20
179,1,1,3,3,1,0
179,2,5,12,5,11,6
179,3,4,3,2,0,3
