second,family,mature,physical_cells,recognizable,tiny,intact,motors,sensors,depots,architectures,births,max_generation
0,0,1,4,1,0,1,2,1,0,1,0,0
0,1,1,9,1,0,1,2,1,0,1,0,0
0,2,1,6,1,0,1,3,1,0,1,0,0
0,3,1,4,1,0,1,0,0,3,1,0,0
60,0,2,11,2,0,2,4,2,0,1,1,1
60,1,3,36,3,0,3,6,3,0,1,2,2
60,2,5,32,5,0,5,15,5,0,1,4,2
60,3,1,7,1,0,1,0,0,3,1,0,0
120,0,4,24,4,0,4,8,4,0,1,4,3
120,1,3,40,3,0,2,4,2,0,1,3,3
120,2,8,74,8,0,8,24,8,0,1,9,3
120,3,3,12,3,0,3,0,0,9,1,2,2
179,0,17,91,16,0,17,33,17,0,2,23,5
179,1,1,14,1,0,0,0,0,0,1,3,3
179,2,5,43,4,0,5,15,5,0,2,12,5
179,3,4,19,4,0,4,0,0,12,1,3,2
