second,id,family,generation,node,parent,x,y,role,vx,vy,thrust
0,0,3,0,0,-1,-12.7964,-8.50018,1,4.57112e-09,-1.50863e-07,0
0,0,3,0,1,0,-11.9731,-8.31698,8,-3.19759e-09,-4.88352e-08,0
0,0,3,0,2,0,-13.339,-7.86358,8,-9.15218e-08,7.81718e-08,0
0,0,3,0,3,0,-13.1558,-9.24835,8,9.01483e-08,1.21527e-07,0
0,1,0,0,0,-1,12.1354,-9.53473,1,-0.00357837,-0.00526719,0
0,1,0,0,1,0,12.745,-10.2175,4,7.06169e-08,-1.24783e-07,0
0,1,0,0,2,1,12.5537,-8.91908,3,0.00631,0.00287147,0.437288
0,1,0,0,3,1,11.4328,-10.1972,3,0.00249342,-0.00218694,0.399163
0,2,1,0,0,-1,-10.6981,10.3524,1,-3.45467e-08,4.94107e-08,0
0,2,1,0,1,0,-11.4008,11.0639,4,8.83274e-08,-3.62791e-08,0
0,2,1,0,2,1,-11.3028,9.75512,3,-0.00127291,0.00128881,0.218006
0,2,1,0,3,1,-10.0869,11.0562,3,-0.00261099,0.00224595,0.414488
0,2,1,0,4,0,-9.81968,9.46308,0,5.91283e-08,-8.25392e-08,0
0,2,1,0,5,4,-9.08631,8.36316,0,1.42596e-08,1.57634e-08,0
0,2,1,0,6,5,-8.00871,7.67058,0,-3.69024e-08,6.85579e-09,0
0,2,1,0,7,6,-7.32953,6.58447,0,7.20668e-09,9.17989e-09,0
0,2,1,0,8,7,-6.24243,5.90595,0,-7.64226e-09,2.81421e-09,0
0,3,2,0,0,-1,3.40824,1.6083,1,-0.000467451,0.000518823,0
0,3,2,0,1,0,4.18581,2.23709,4,5.25481e-08,1.74403e-08,0
0,3,2,0,2,1,2.90714,2.23878,3,-0.000612221,0.00249965,0.129568
0,3,2,0,3,1,3.91172,0.993208,3,0.00345858,-0.000866695,0.256588
0,3,2,0,4,0,2.62192,0.963199,2,3.51276e-08,-3.46595e-10,0
0,3,2,0,5,4,1.7003,0.527369,3,-3.0186e-08,-5.67676e-09,0
