second,id,parent,node,organism_parent,lineage,x,y,role,energy
0,0,-1,0,4294967295,1,-12.7964,-8.50018,1,0.97587
0,0,0,1,4294967295,1,-11.9731,-8.31698,8,1.24769
0,0,0,2,4294967295,1,-13.339,-7.86358,8,1.24769
0,0,0,3,4294967295,1,-13.1558,-9.24835,8,1.12822
0,1,-1,0,4294967295,2,12.1354,-9.53473,1,1.1988
0,1,0,1,4294967295,2,12.745,-10.2175,4,1.12014
0,1,1,2,4294967295,2,12.5537,-8.91908,3,1.19867
0,1,1,3,4294967295,2,11.4328,-10.1972,3,1.00135
0,2,-1,0,4294967295,3,-10.6981,10.3524,1,1.00306
0,2,0,1,4294967295,3,-11.4672,10.9889,4,1.11748
0,2,1,2,4294967295,3,-11.3693,9.68011,3,1.0014
0,2,1,3,4294967295,3,-10.1597,10.8748,3,1.19868
0,2,0,4,4294967295,3,-9.81968,9.46308,0,1.11667
0,2,4,5,4294967295,3,-9.1405,8.37698,0,1.00147
0,2,5,6,4294967295,3,-8.0629,7.68439,0,0.999867
0,2,6,7,4294967295,3,-7.38372,6.59829,0,0.999867
0,2,7,8,4294967295,3,-6.24356,5.90706,0,0.999867
0,3,-1,0,4294967295,4,3.40824,1.6083,1,1.17683
0,3,0,1,4294967295,4,4.30862,2.24022,8,1.13128
0,3,1,2,4294967295,4,5.17195,2.72034,3,0.995361
0,3,0,3,4294967295,4,2.41079,2.07209,8,1.0148
0,3,3,4,4294967295,4,1.56333,2.57969,3,1.1128
0,3,0,5,4294967295,4,3.5053,0.512591,8,1.0148
0,3,5,6,4294967295,4,3.48944,-0.475136,3,1.1128
1,0,-1,0,4294967295,1,-12.7964,-8.50018,1,0.464091
1,0,0,1,4294967295,1,-11.9731,-8.31698,8,1.38699
1,0,0,2,4294967295,1,-13.339,-7.86358,8,1.4874
1,0,0,3,4294967295,1,-13.1558,-9.24835,8,1.31699
1,1,-1,0,4294967295,2,12.1576,-9.60749,1,1.1396
1,1,0,1,4294967295,2,12.8987,-10.1658,4,1.11357
1,1,1,2,4294967295,2,12.5755,-8.89421,3,1.13956
1,1,1,3,4294967295,2,11.6447,-10.5215,3,1.06966
1,2,-1,0,4294967295,3,-10.7782,10.4105,1,1.06515
1,2,0,1,4294967295,3,-11.6771,10.9193,4,1.08246
1,2,1,2,4294967295,3,-11.3779,9.64343,3,1.1073
1,2,1,3,4294967295,3,-10.4691,11.3929,3,1.08171
1,2,0,4,4294967295,3,-9.85814,9.52008,0,1.06193
1,2,4,5,4294967295,3,-9.153,8.39792,0,1.06625
1,2,5,6,4294967295,3,-8.06661,7.68961,0,1.02668
1,2,6,7,4294967295,3,-7.38445,6.59981,0,0.998464
1,2,7,8,4294967295,3,-6.24387,5.90715,0,0.988582
1,3,-1,0,4294967295,4,3.40824,1.6083,1,0.830038
1,3,0,1,4294967295,4,4.2669,2.30067,8,1.37403
1,3,1,2,4294967295,4,5.08105,2.86342,3,0.830652
1,3,0,3,4294967295,4,2.3793,2.00574,8,1.38197
1,3,3,4,4294967295,4,1.48487,2.42943,3,0.848095
1,3,0,5,4294967295,4,3.57852,0.518494,8,1.4196
1,3,5,6,4294967295,4,3.6588,-0.467954,3,0.874265
2,0,-1,0,4294967295,1,-12.7964,-8.50018,1,0.469339
2,0,0,1,4294967295,1,-11.9731,-8.31698,8,1.38338
2,0,0,2,4294967295,1,-13.339,-7.86358,8,1.51639
2,0,0,3,4294967295,1,-13.1558,-9.24835,8,1.34236
2,1,-1,0,4294967295,2,12.3562,-9.86023,1,0.854629
2,1,0,1,4294967295,2,13.2853,-9.99458,4,0.942688
2,1,1,2,4294967295,2,12.4223,-8.99896,3,1.00623
2,1,1,3,4294967295,2,12.3875,-10.9432,3,0.972914
2,2,-1,0,4294967295,3,-11.0925,10.4808,1,0.97211
2,2,0,1,4294967295,3,-12.0783,10.9351,4,1.05041
2,2,1,2,4294967295,3,-12.183,9.6388,3,1.1974
2,2,1,3,4294967295,3,-10.9807,11.6307,3,1.13476
2,2,0,4,4294967295,3,-9.97681,9.81893,0,0.968596
2,2,4,5,4294967295,3,-9.21143,8.65994,0,0.988401
2,2,5,6,4294967295,3,-8.1538,7.80115,0,0.997313
2,2,6,7,4294967295,3,-7.44559,6.66683,0,0.993674
2,2,7,8,4294967295,3,-6.29212,5.94265,0,0.988274
2,3,-1,0,4294967295,4,3.47607,1.56099,1,0.780368
2,3,0,1,4294967295,4,4.15728,2.45608,8,1.36976
2,3,1,2,4294967295,4,4.81548,3.20293,3,0.837602
2,3,0,3,4294967295,4,2.38166,1.76581,8,1.31474
2,3,3,4,4294967295,4,1.40809,2.01712,3,0.827632
2,3,0,5,4294967295,4,3.9093,0.533792,8,1.29047
2,3,5,6,4294967295,4,4.17442,-0.445269,3,0.788054
2,5,-1,0,1,2,11.5466,-9.9379,1,0.5072
2,6,-1,0,2,3,-10.6458,9.7586,1,0.5072
2,7,-1,0,3,4,2.88115,0.971564,1,0.5072
3,0,-1,0,4294967295,1,-12.7964,-8.50018,1,0.484965
3,0,0,1,4294967295,1,-11.9731,-8.31698,8,1.57236
3,0,0,2,4294967295,1,-13.339,-7.86358,8,1.46606
3,0,0,3,4294967295,1,-13.1558,-9.24835,8,1.36408
3,1,-1,0,4294967295,2,12.7026,-10.1093,1,0.640596
3,1,0,1,4294967295,2,13.511,-9.65177,4,0.80488
3,1,1,2,4294967295,2,12.2102,-9.40605,3,0.880111
3,1,1,3,4294967295,2,13.4162,-10.9701,3,0.894628
3,2,-1,0,4294967295,3,-11.4521,10.6489,1,0.969516
3,2,0,1,4294967295,3,-12.2744,11.2803,4,1.03982
3,2,1,2,4294967295,3,-12.7865,10.0675,3,1.13719
3,2,1,3,4294967295,3,-10.9467,11.2551,3,1.05239
3,2,0,4,4294967295,3,-10.3266,9.91735,0,1.01682
3,2,4,5,4294967295,3,-9.33755,8.91741,0,0.959724
3,2,5,6,4294967295,3,-8.23857,8.11333,0,0.967794
3,2,6,7,4294967295,3,-7.61864,6.93627,0,0.973879
3,2,7,8,4294967295,3,-6.53647,6.1181,0,0.975049
3,3,-1,0,4294967295,4,3.47345,1.55459,1,0.747256
3,3,0,1,4294967295,4,3.87749,2.54214,8,1.35732
3,3,1,2,4294967295,4,4.30562,3.40929,3,0.94887
3,3,0,3,4294967295,4,2.31589,1.51549,8,1.27047
3,3,3,4,4294967295,4,1.31031,1.45704,3,0.772605
3,3,0,5,4294967295,4,4.21351,0.691302,8,1.28009
3,3,5,6,4294967295,4,4.81836,-0.115737,3,0.842004
3,5,-1,0,1,2,11.8924,-10.0465,1,0.54543
3,6,-1,0,2,3,-10.9732,10.075,1,0.494
3,7,-1,0,3,4,2.89095,1.08713,1,0.470322
3,5,0,1,1,2,10.9782,-10.1267,4,0.55697
3,6,0,1,2,3,-11.1982,9.12129,4,0.4884
3,7,0,1,3,4,2.53911,0.0762128,8,0.771278
4,0,-1,0,4294967295,1,-12.8004,-8.50462,1,0.448704
4,0,0,1,4294967295,1,-11.9746,-8.32716,8,1.3927
4,0,0,2,4294967295,1,-13.339,-7.8652,8,1.43355
4,0,0,3,4294967295,1,-13.175,-9.24581,8,1.35852
4,1,-1,0,4294967295,2,13.0078,-10.093,1,0.443945
4,1,0,1,4294967295,2,13.6219,-9.37244,4,0.676921
4,1,1,2,4294967295,2,12.3381,-9.54609,3,0.77007
4,1,1,3,4294967295,2,14.0509,-10.6149,3,0.782123
4,2,-1,0,4294967295,3,-11.628,11.0026,1,0.863097
4,2,0,1,4294967295,3,-12.1871,11.8859,4,0.925201
