second,family,mature,births,max_generation,changed_births,late_births
0,0,1,0,0,0,0
0,1,1,0,0,0,0
0,2,1,0,0,0,0
0,3,1,0,0,0,0
10,0,2,1,1,0,0
10,1,1,0,0,0,0
10,2,2,1,1,1,0
10,3,1,0,0,0,0
20,0,2,1,1,0,0
20,1,1,0,0,0,0
20,2,3,2,2,2,0
20,3,1,0,0,0,0
30,0,4,3,2,0,0
30,1,2,1,1,1,0
30,2,4,3,2,3,0
30,3,1,0,0,0,0
40,0,5,4,2,0,0
40,1,2,1,1,1,0
40,2,4,3,2,3,0
40,3,1,0,0,0,0
50,0,7,6,2,1,0
50,1,3,2,1,2,0
50,2,5,4,3,4,0
50,3,1,0,0,0,0
60,0,7,7,2,2,0
60,1,3,2,1,2,0
60,2,6,5,3,5,0
60,3,1,0,0,0,0
70,0,12,13,3,4,0
70,1,3,2,1,2,0
70,2,6,5,3,5,0
70,3,1,0,0,0,0
80,0,18,19,4,8,0
80,1,3,2,1,2,0
80,2,5,5,3,5,0
80,3,1,0,0,0,0
90,0,21,23,4,12,0
90,1,2,2,1,2,0
90,2,5,5,3,5,0
90,3,1,0,0,0,0
100,0,22,26,4,15,3
100,1,2,2,1,2,0
100,2,4,5,3,5,0
100,3,1,0,0,0,0
110,0,21,28,4,17,5
110,1,2,2,1,2,0
110,2,3,5,3,5,0
110,3,1,0,0,0,0
120,0,18,29,4,18,6
120,1,3,3,2,3,1
120,2,3,5,3,5,0
120,3,1,0,0,0,0
130,0,19,32,5,20,9
130,1,3,3,2,3,1
130,2,4,6,4,6,1
130,3,1,0,0,0,0
140,0,17,34,5,22,11
140,1,3,3,2,3,1
140,2,4,6,4,6,1
140,3,1,0,0,0,0
150,0,21,39,5,26,16
150,1,3,3,2,3,1
150,2,3,6,4,6,1
150,3,1,0,0,0,0
160,0,22,44,6,31,21
160,1,3,3,2,3,1
160,2,3,6,4,6,1
160,3,1,0,0,0,0
170,0,21,45,6,32,22
170,1,3,3,2,3,1
170,2,3,6,4,6,1
170,3,1,0,0,0,0
179,0,22,50,6,36,27
179,1,2,3,2,3,1
179,2,4,7,4,7,2
179,3,1,0,0,0,0
