second,family,mature,physical_cells,recognizable,tiny,intact,motors,sensors,depots,architectures,births,max_generation
0,0,1,4,1,0,1,2,1,0,1,0,0
0,1,1,9,1,0,1,2,1,0,1,0,0
0,2,1,7,1,0,1,3,0,3,1,0,0
0,3,1,4,1,0,1,0,0,3,1,0,0
60,0,7,37,7,0,6,12,6,0,1,7,2
60,1,3,41,2,0,3,7,3,0,2,2,1
60,2,6,46,6,0,6,18,0,18,1,5,3
60,3,1,7,1,0,1,0,0,3,1,0,0
120,0,18,93,18,0,17,35,18,0,1,29,4
120,1,3,29,3,0,3,6,3,0,1,3,2
120,2,3,30,3,0,3,9,0,9,1,5,3
120,3,1,7,1,0,1,0,0,3,1,0,0
179,0,22,110,22,0,21,43,22,0,1,50,6
179,1,2,29,2,0,1,4,2,0,1,3,2
179,2,4,28,4,0,4,12,0,12,1,7,4
179,3,1,7,1,0,1,0,0,3,1,0,0
