id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,3,0,1,0,4,0,1,4294967295,179,-1
1,0,0,1,4,4,0,1,4294967295,179,-1
2,1,0,1,2,9,0,1,4294967295,179,-1
3,2,0,1,2,7,0,1,4294967295,143,-1
4,3,1,0,0,4,0,1,0,179,-1
5,0,1,1,0,4,0,1,1,53,4
6,1,1,1,0,10,1,0,2,86,21
7,2,1,1,1,7,1,1,3,97,8
8,0,2,0,0,4,1,1,5,53,-1
9,2,2,1,2,7,1,1,7,103,18
10,0,1,1,7,4,0,1,1,155,20
11,2,1,1,0,7,1,1,3,75,22
12,2,3,1,1,7,1,1,9,179,43
13,0,2,1,0,4,0,1,10,60,24
14,0,3,0,0,4,1,1,13,60,-1
15,0,1,1,2,4,1,1,1,139,48
16,1,1,1,1,9,1,1,2,178,46
17,2,1,0,0,7,1,1,3,143,-1
18,0,2,1,0,4,0,1,10,86,35
19,2,2,0,0,7,1,1,7,72,-1
20,0,3,0,0,4,0,1,18,86,-1
21,0,2,1,2,4,0,1,10,105,49
22,1,2,0,0,10,1,0,6,78,-1
23,1,2,1,0,9,1,1,16,179,116
24,0,2,1,2,4,1,1,15,97,53
25,2,3,1,1,7,1,1,9,179,58
26,1,1,0,0,9,1,1,2,179,-1
28,0,3,1,1,4,1,1,24,179,63
29,0,1,1,1,4,0,1,1,97,60
30,0,2,1,4,4,0,1,10,179,60
31,0,3,1,1,4,0,1,21,122,61
33,0,3,1,0,4,0,1,30,115,64
34,0,2,1,1,4,1,1,29,116,65
35,0,2,1,2,4,1,1,10,115,70
36,0,4,1,0,4,1,1,28,140,133
37,0,4,1,0,4,0,1,31,106,77
38,0,3,1,3,4,1,1,21,152,74
39,0,3,1,3,4,1,1,24,179,74
40,0,1,0,0,4,0,1,1,111,-1
41,0,3,1,0,4,0,1,30,111,75
42,0,3,1,2,4,1,1,35,179,75
43,0,2,0,0,4,0,1,29,97,-1
44,0,4,1,0,4,1,1,38,179,84
45,0,4,0,0,4,0,1,33,115,-1
48,0,4,0,0,4,0,1,41,111,-1
49,0,4,1,2,4,1,1,42,179,82
50,2,4,1,0,7,1,1,12,179,124
51,0,2,1,0,4,1,1,10,104,81
52,0,5,0,0,4,1,1,37,106,-1
53,0,3,0,0,4,0,1,21,105,-1
54,0,3,1,2,4,1,1,30,165,101
55,0,3,1,0,4,1,1,35,134,87
56,0,5,1,1,4,1,1,49,179,146
57,0,4,0,0,4,1,1,31,122,-1
58,0,2,1,1,4,1,1,15,174,91
59,0,3,1,0,4,1,1,34,120,95
61,0,2,0,0,4,0,1,10,107,-1
62,0,4,1,0,4,1,1,42,179,145
63,0,4,1,2,4,1,1,38,179,95
64,0,3,0,0,4,1,1,35,115,-1
66,0,3,1,2,4,1,1,58,179,142
69,0,4,1,0,4,1,1,38,135,119
70,0,4,1,0,4,1,1,54,132,106
71,0,2,0,0,4,1,1,15,139,-1
76,0,5,1,0,4,1,1,63,178,128
78,0,3,1,2,4,0,1,30,179,140
81,0,4,1,0,4,1,1,54,152,129
82,0,4,1,1,4,1,1,39,179,131
87,1,3,0,0,9,1,1,23,179,-1
89,0,2,1,0,4,0,1,10,153,126
90,0,5,0,0,4,1,1,44,145,-1
92,1,2,0,0,9,1,1,16,176,-1
93,0,4,0,0,4,1,1,38,152,-1
94,0,3,0,0,4,1,1,89,153,-1
95,2,5,0,0,10,1,0,50,172,-1
96,0,5,0,0,4,1,1,81,152,-1
97,0,5,1,0,4,1,1,82,165,155
99,0,2,0,0,4,0,1,10,155,-1
102,0,4,0,0,4,1,1,54,165,-1
103,0,4,1,1,4,1,1,39,179,146
106,0,4,1,0,4,1,1,66,179,153
109,0,5,1,0,4,1,1,63,178,154
110,0,5,0,0,4,1,1,62,179,-1
111,0,3,0,0,4,0,1,30,179,-1
112,0,6,1,0,4,1,1,56,179,159
113,0,5,1,0,4,1,1,103,178,151
114,0,4,0,0,4,1,1,28,179,-1
115,0,3,0,0,4,1,1,58,171,-1
116,0,6,0,0,4,1,1,76,178,-1
117,0,6,0,0,4,1,1,113,178,-1
121,0,4,1,1,4,1,1,78,179,161
122,0,5,0,0,4,1,1,106,179,-1
123,0,6,0,0,4,1,1,109,178,-1
125,0,4,1,0,4,1,1,39,179,170
126,2,4,1,0,7,1,1,25,179,178
127,0,5,1,0,4,1,1,49,179,171
128,0,1,0,0,4,0,1,1,179,-1
130,0,5,0,0,4,1,1,63,179,-1
132,0,4,1,0,4,1,1,66,179,175
133,0,5,0,0,4,1,1,103,179,-1
134,0,4,1,0,4,0,1,78,179,174
135,0,5,1,0,4,1,1,121,179,175
136,0,5,0,0,4,1,1,125,179,-1
137,0,6,0,0,4,1,1,127,179,-1
138,0,5,0,0,4,1,1,82,179,-1
140,0,5,0,0,4,0,1,134,179,-1
141,0,6,0,0,4,1,1,135,179,-1
142,0,4,0,0,4,1,1,39,179,-1
144,0,4,0,0,4,1,1,42,179,-1
145,0,5,0,0,4,1,1,49,179,-1
146,0,5,0,0,4,1,1,132,179,-1
