second,id,family,generation,node,parent,x,y,role,vx,vy,thrust
0,0,3,0,0,-1,-12.7964,-8.50018,1,4.57112e-09,-1.50863e-07,0
0,0,3,0,1,0,-11.9731,-8.31698,8,-3.19759e-09,-4.88352e-08,0
0,0,3,0,2,0,-13.339,-7.86358,8,-9.15218e-08,7.81718e-08,0
0,0,3,0,3,0,-13.1558,-9.24835,8,9.01483e-08,1.21527e-07,0
0,1,0,0,0,-1,12.1354,-9.53473,1,-0.00357837,-0.00526719,0
0,1,0,0,1,0,12.745,-10.2175,4,7.06169e-08,-1.24783e-07,0
0,1,0,0,2,1,12.5537,-8.91908,3,0.00631,0.00287147,0.437288
0,1,0,0,3,1,11.4328,-10.1972,3,0.00249342,-0.00218694,0.399163
0,2,1,0,0,-1,-10.6981,10.3524,1,-0.00429091,-0.00416291,0
0,2,1,0,1,0,-11.4672,10.9889,4,8.03527e-08,-8.43529e-08,0
0,2,1,0,2,1,-11.3693,9.68011,3,-0.00122209,0.00123736,0.209303
0,2,1,0,3,1,-10.1597,10.8748,3,0.00187066,0.00661333,0.414488
0,2,1,0,4,0,-9.81968,9.46308,0,1.59882e-08,-4.9485e-08,0
0,2,1,0,5,4,-9.1405,8.37698,0,5.73784e-08,-1.53163e-08,0
0,2,1,0,6,5,-8.0629,7.68439,0,-4.08426e-08,1.12381e-09,0
0,2,1,0,7,6,-7.38372,6.59829,0,1.07121e-09,1.40407e-08,0
0,2,1,0,8,7,-6.24356,5.90706,0,-1.07838e-09,-1.77873e-09,0
0,3,2,0,0,-1,3.40824,1.6083,1,-4.10549e-08,2.62613e-09,0
0,3,2,0,1,0,4.30862,2.24022,8,2.43228e-08,1.70706e-08,0
0,3,2,0,2,1,5.17195,2.72034,3,-0.00184682,0.00332105,0.457336
0,3,2,0,3,0,2.41079,2.07209,8,4.52776e-08,-4.12122e-08,0
0,3,2,0,4,3,1.56333,2.57969,3,-0.00195273,-0.0032599,0.457336
0,3,2,0,5,0,3.5053,0.512591,8,-1.51961e-08,-5.06615e-10,0
0,3,2,0,6,5,3.48944,-0.475136,3,0.00379953,-6.11356e-05,0.457336
