id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,5,6,0,1,4294967295,280,-1
1,0,0,1,1,6,0,1,4294967295,48,-1
2,0,0,1,1,6,0,1,4294967295,33,-1
3,0,1,1,0,6,1,1,0,61,8
4,0,1,1,0,6,1,1,1,47,7
5,0,1,1,0,6,0,1,2,33,7
6,0,2,0,0,6,0,1,5,33,-1
7,0,2,0,0,6,1,1,3,61,-1
8,0,2,0,0,6,1,1,4,43,-1
9,0,1,0,0,6,1,1,1,47,-1
16,0,1,1,0,6,0,1,0,124,100
17,0,1,0,0,6,1,1,0,165,-1
20,0,1,1,0,6,1,1,0,225,174
21,0,2,0,0,6,1,1,20,225,-1
22,0,1,1,2,6,1,1,0,276,187
23,0,2,1,0,6,1,1,22,253,202
24,0,3,0,0,6,1,1,23,253,-1
25,0,1,1,1,6,0,1,0,278,220
26,0,2,1,3,6,1,1,22,331,228
27,0,2,1,0,6,1,1,25,320,227
28,0,3,0,0,6,1,1,27,253,-1
29,0,3,1,0,6,1,1,26,294,236
30,0,2,0,0,6,1,1,25,278,-1
31,0,2,0,0,6,1,1,22,276,-1
32,0,4,0,0,6,1,1,29,294,-1
33,0,3,1,0,6,1,1,26,277,250
34,0,4,0,0,6,1,1,33,277,-1
35,0,1,0,0,6,0,1,0,274,-1
37,0,3,0,0,6,1,1,27,320,-1
38,0,3,1,2,6,1,1,26,393,294
44,0,4,1,3,6,1,1,38,587,346
48,0,5,1,0,6,1,1,44,448,370
49,0,4,1,0,6,1,1,38,385,360
50,0,4,0,0,6,1,1,38,385,-1
51,0,6,0,0,6,1,1,48,398,-1
52,0,5,1,2,6,1,1,44,660,428
54,0,6,0,0,6,1,1,48,448,-1
55,0,6,0,0,6,1,1,52,489,-1
56,0,5,1,1,6,1,1,44,542,476
58,0,6,1,0,6,1,1,56,606,484
59,0,7,0,0,6,1,1,58,518,-1
60,0,5,0,0,6,1,1,44,587,-1
61,0,6,0,0,6,1,1,56,542,-1
62,0,6,0,0,6,1,1,52,538,-1
63,0,7,0,0,6,1,1,58,606,-1
65,0,6,1,4,6,1,1,52,821,571
66,0,6,1,2,6,1,1,52,663,601
67,0,7,1,1,6,1,1,65,732,650
68,0,7,1,0,6,1,1,66,657,608
69,0,8,0,0,6,1,1,68,657,-1
70,0,7,1,1,6,1,1,66,685,622
71,0,6,0,0,6,1,1,52,641,-1
72,0,7,0,0,6,1,1,66,663,-1
73,0,8,1,0,6,1,1,70,671,647
74,0,8,1,4,6,1,1,67,782,691
75,0,8,0,0,6,1,1,70,679,-1
76,0,7,1,1,6,1,1,65,739,703
81,0,9,1,0,6,1,1,74,744,698
82,0,10,0,0,6,1,1,81,727,-1
83,0,8,0,0,6,1,1,67,729,-1
84,0,8,1,0,6,1,1,76,856,710
85,0,9,1,0,6,1,1,74,771,717
86,0,7,0,0,6,1,1,65,743,-1
87,0,9,0,0,6,1,1,84,776,-1
88,0,8,0,0,6,1,1,76,735,-1
89,0,10,0,0,6,1,1,85,771,-1
90,0,9,1,0,6,1,1,74,767,741
95,0,10,0,0,6,1,1,90,767,-1
97,0,9,1,1,6,1,1,74,798,760
98,0,7,1,0,6,1,1,65,801,765
99,0,10,1,1,6,1,1,97,816,767
100,0,8,0,0,6,1,1,98,801,-1
102,0,11,1,3,6,1,1,99,986,785
103,0,7,1,1,6,1,1,65,862,787
105,0,9,0,0,6,1,1,84,856,-1
106,0,12,0,0,6,1,1,102,817,-1
107,0,8,1,1,6,1,1,103,917,829
