second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,3,0,0,0,0
20,0,3,0,0,0,0
30,0,3,0,0,0,0
40,0,4,1,1,0,0
50,0,5,2,2,1,0
60,0,7,4,2,3,0
70,0,10,7,3,5,0
80,0,13,10,3,8,0
90,0,15,12,3,9,0
100,0,19,16,4,12,0
110,0,20,18,5,14,0
120,0,23,23,5,17,0
130,0,28,28,5,21,0
140,0,27,29,5,22,0
150,0,28,32,5,25,0
160,0,28,33,5,26,0
170,0,30,35,5,28,0
180,0,30,37,5,30,0
190,0,31,38,5,31,0
200,0,29,40,5,33,0
210,0,29,40,5,33,0
220,0,26,40,5,33,0
230,0,28,45,6,38,0
240,0,28,48,6,41,0
250,0,31,51,6,44,0
260,0,30,52,6,45,0
270,0,32,55,6,47,0
280,0,32,57,6,49,0
290,0,29,57,6,49,0
300,0,27,60,6,52,0
310,0,27,64,6,56,0
320,0,31,68,6,60,0
330,0,33,70,6,62,0
340,0,30,72,6,64,0
350,0,33,75,6,66,0
360,0,32,76,7,67,0
370,0,34,82,7,72,0
380,0,33,84,7,74,0
390,0,32,84,7,74,0
400,0,33,85,7,75,0
410,0,33,87,7,77,0
420,0,35,90,7,80,0
430,0,32,91,7,81,0
440,0,33,93,7,83,0
450,0,33,95,7,85,0
460,0,32,98,7,88,0
470,0,30,100,7,90,0
480,0,32,102,7,92,0
490,0,32,105,7,95,0
500,0,31,107,7,97,0
510,0,31,107,7,97,0
520,0,30,107,7,97,0
530,0,29,108,7,98,0
540,0,29,108,7,98,0
550,0,31,112,7,102,0
560,0,29,112,7,102,0
570,0,25,112,7,102,0
580,0,31,120,8,110,0
590,0,33,123,8,113,0
600,0,30,123,8,113,0
610,0,31,125,8,115,0
620,0,30,127,8,117,0
630,0,29,131,8,121,0
640,0,29,133,8,123,0
650,0,33,137,8,127,0
660,0,33,139,8,129,0
670,0,30,139,8,129,0
680,0,30,140,8,130,0
690,0,31,143,8,133,0
700,0,31,144,8,134,0
710,0,30,145,8,135,0
720,0,31,148,8,138,0
730,0,31,150,8,140,0
740,0,31,152,8,142,0
750,0,31,153,8,143,0
760,0,30,154,8,144,0
770,0,30,156,8,146,0
780,0,30,158,8,148,0
790,0,28,159,8,149,0
800,0,29,160,8,150,0
810,0,27,161,8,151,0
820,0,28,164,8,154,0
830,0,27,164,8,154,0
840,0,31,168,8,158,0
850,0,30,169,8,159,0
860,0,31,171,8,161,0
870,0,31,172,8,162,0
880,0,29,174,8,164,0
890,0,30,178,8,168,0
900,0,29,179,8,169,0
910,0,28,181,9,171,2
920,0,27,183,9,173,4
930,0,29,186,10,176,7
940,0,27,187,10,177,8
950,0,26,188,10,178,9
960,0,27,191,10,181,12
970,0,28,195,10,185,16
980,0,31,199,10,189,20
990,0,31,200,10,190,21
1000,0,29,200,10,190,21
1010,0,30,202,10,192,23
1020,0,29,202,10,192,23
1030,0,29,203,10,193,24
1040,0,29,204,11,194,25
1050,0,28,206,11,196,27
1060,0,28,208,11,198,29
1070,0,27,210,11,200,31
1080,0,29,213,11,203,34
1090,0,26,213,11,203,34
1100,0,28,216,11,206,37
1110,0,28,217,11,207,38
1120,0,26,218,11,208,39
1130,0,29,222,12,212,43
1140,0,26,222,12,212,43
1150,0,27,225,12,215,46
1160,0,27,226,12,216,47
1170,0,29,229,13,219,50
1180,0,29,230,13,220,51
1190,0,27,231,13,221,52
1200,0,26,233,13,223,54
1210,0,26,235,13,225,56
1220,0,26,236,13,226,57
1230,0,27,240,14,230,61
1240,0,29,243,14,233,64
1250,0,29,245,14,235,66
1260,0,29,247,14,237,68
1270,0,27,248,14,238,69
1280,0,28,252,14,242,73
1290,0,30,256,14,246,77
1300,0,31,259,14,249,80
1310,0,34,262,14,252,83
1320,0,35,264,14,254,85
1330,0,36,265,14,255,86
1340,0,34,266,14,256,87
1350,0,34,266,14,256,87
1360,0,29,266,14,256,87
1370,0,30,270,14,260,91
1380,0,30,272,14,262,93
1390,0,27,272,14,262,93
1400,0,27,273,14,263,94
1410,0,28,274,14,264,95
1420,0,26,275,14,265,96
1430,0,23,276,14,266,97
1440,0,25,280,14,270,101
1450,0,28,285,14,275,106
1460,0,29,287,15,277,108
1470,0,31,291,15,281,112
1480,0,32,293,15,283,114
1490,0,30,293,15,283,114
1500,0,28,295,15,285,116
1510,0,31,298,15,288,119
1520,0,29,299,15,289,120
1530,0,28,300,15,290,121
1540,0,28,302,15,292,123
1550,0,27,302,15,292,123
1560,0,26,303,15,293,124
1570,0,28,307,15,297,128
1580,0,30,310,15,300,131
1590,0,27,310,15,300,131
1600,0,28,312,15,302,133
1610,0,29,314,15,304,135
1620,0,28,314,15,304,135
1630,0,25,314,15,304,135
1640,0,25,317,15,307,138
1650,0,26,319,16,309,140
1660,0,26,321,16,311,142
1670,0,28,324,16,314,145
1680,0,27,324,16,314,145
1690,0,28,327,16,317,148
1700,0,30,331,16,321,152
1710,0,29,332,16,322,153
1720,0,29,333,16,323,154
1730,0,26,335,16,325,156
1740,0,32,342,17,332,163
1750,0,32,343,17,333,164
1760,0,30,343,17,333,164
1770,0,30,345,17,335,166
1780,0,31,348,17,338,169
1790,0,31,349,17,339,170
1799,0,29,349,17,339,170
