second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,3,0,0,0,0
20,0,6,3,1,2,0
30,0,7,4,2,3,0
40,0,8,5,2,4,0
50,0,9,6,2,5,0
60,0,11,8,2,7,0
70,0,10,8,2,7,0
80,0,11,9,2,8,0
90,0,12,10,2,9,0
100,0,12,11,3,10,0
110,0,12,11,3,10,0
120,0,11,11,3,10,0
130,0,12,12,3,11,0
140,0,12,12,3,11,0
150,0,11,12,3,11,0
160,0,10,13,3,12,0
170,0,10,13,3,12,0
180,0,9,13,3,12,0
190,0,8,13,3,12,0
200,0,8,13,3,12,0
210,0,8,14,3,13,0
220,0,9,15,3,14,0
230,0,9,15,3,14,0
240,0,9,15,3,14,0
250,0,9,15,3,14,0
260,0,11,17,5,16,0
270,0,11,17,5,16,0
280,0,11,17,5,16,0
290,0,11,18,5,17,0
300,0,11,18,5,17,0
310,0,12,19,5,18,0
320,0,14,21,5,20,0
330,0,15,22,5,21,0
340,0,15,22,5,21,0
350,0,18,25,5,24,0
360,0,18,27,6,26,0
370,0,19,29,6,28,0
380,0,18,31,6,30,0
390,0,16,31,6,30,0
400,0,18,33,6,32,0
410,0,19,34,6,33,0
420,0,21,37,7,36,0
430,0,22,38,7,37,0
440,0,21,38,7,37,0
450,0,16,38,7,37,0
460,0,18,40,7,39,0
470,0,14,40,7,39,0
480,0,15,41,7,40,0
490,0,16,43,7,42,0
500,0,16,44,7,43,0
510,0,16,44,7,43,0
520,0,16,45,7,44,0
530,0,16,47,7,46,0
540,0,15,47,7,46,0
550,0,18,50,7,49,0
560,0,20,53,8,52,0
570,0,18,53,8,52,0
580,0,18,54,8,53,0
590,0,19,55,8,54,0
600,0,19,56,8,55,0
610,0,19,57,8,56,0
620,0,19,57,8,56,0
630,0,19,59,8,58,0
640,0,17,60,8,59,0
650,0,17,62,8,61,0
660,0,19,64,8,63,0
670,0,21,66,9,65,0
680,0,19,66,9,65,0
690,0,21,68,10,67,0
700,0,21,68,10,67,0
710,0,18,69,10,68,0
720,0,19,71,10,70,0
730,0,16,71,10,70,0
740,0,15,71,10,70,0
750,0,17,74,10,73,0
760,0,16,76,10,75,0
770,0,16,76,10,75,0
780,0,16,77,10,76,0
790,0,17,78,10,77,0
800,0,18,80,11,79,0
810,0,17,80,11,79,0
820,0,19,84,12,83,0
830,0,19,85,12,84,0
840,0,17,86,12,85,0
850,0,18,88,12,87,0
860,0,19,89,12,88,0
870,0,19,89,12,88,0
880,0,20,90,12,89,0
890,0,21,92,12,91,0
900,0,20,92,12,91,0
910,0,20,93,12,92,1
920,0,20,96,12,95,4
930,0,19,96,12,95,4
940,0,19,96,12,95,4
950,0,20,99,12,98,7
960,0,21,100,12,99,8
970,0,19,100,12,99,8
980,0,19,100,12,99,8
990,0,20,101,13,100,9
1000,0,18,101,13,100,9
1010,0,21,104,13,103,12
1020,0,21,105,13,104,13
1030,0,21,107,13,106,15
1040,0,21,108,13,107,16
1050,0,23,110,14,109,18
1060,0,22,110,14,109,18
1070,0,19,111,14,110,19
1080,0,20,112,14,111,20
1090,0,21,113,14,112,21
1100,0,19,113,14,112,21
1110,0,17,113,14,112,21
1120,0,16,113,14,112,21
1130,0,16,113,14,112,21
1140,0,14,113,14,112,21
1150,0,13,113,14,112,21
1160,0,15,115,14,114,23
1170,0,16,116,14,115,24
1180,0,16,118,14,117,26
1190,0,16,118,14,117,26
1200,0,16,118,14,117,26
1210,0,16,119,14,118,27
1220,0,17,120,14,119,28
1230,0,16,121,14,120,29
1240,0,18,123,14,122,31
1250,0,20,126,14,125,34
1260,0,21,127,14,126,35
1270,0,20,127,14,126,35
1280,0,22,130,15,129,38
1290,0,18,130,15,129,38
1300,0,18,131,15,130,39
1310,0,18,131,15,130,39
1320,0,19,134,15,133,42
1330,0,20,136,15,135,44
1340,0,22,139,15,138,47
1350,0,21,139,15,138,47
1360,0,20,139,15,138,47
1370,0,20,141,15,140,49
1380,0,21,142,15,141,50
1390,0,22,144,16,143,52
1400,0,20,144,16,143,52
1410,0,19,144,16,143,52
1420,0,19,144,16,143,52
1430,0,20,145,16,144,53
1440,0,19,145,16,144,53
1450,0,21,147,16,146,55
1460,0,24,150,16,149,58
1470,0,24,151,16,150,59
1480,0,23,152,16,151,60
1490,0,23,153,16,152,61
1500,0,21,153,16,152,61
1510,0,21,154,16,153,62
1520,0,21,154,16,153,62
1530,0,22,156,17,155,64
1540,0,20,156,17,155,64
1550,0,22,159,17,158,67
1560,0,21,159,17,158,67
1570,0,17,159,17,158,67
1580,0,17,161,17,160,69
1590,0,19,163,17,162,71
1600,0,18,163,17,162,71
1610,0,19,165,17,164,73
1620,0,19,166,17,165,74
1630,0,18,166,17,165,74
1640,0,19,167,17,166,75
1650,0,20,169,17,168,77
1660,0,19,169,17,168,77
1670,0,20,170,17,169,78
1680,0,20,171,17,170,79
1690,0,20,171,17,170,79
1700,0,20,172,17,171,80
1710,0,22,175,17,174,83
1720,0,22,177,17,176,85
1730,0,20,177,17,176,85
1740,0,21,178,17,177,86
1750,0,21,179,17,178,87
1760,0,22,181,17,180,89
1770,0,23,183,17,182,91
1780,0,25,187,18,186,95
1790,0,24,188,18,187,96
1799,0,24,189,18,188,97
