id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,1,7,0,1,4294967295,60,-1
1,0,0,1,3,7,0,1,4294967295,287,-1
2,0,0,1,2,7,0,1,4294967295,150,-1
3,0,1,1,3,7,1,1,0,356,13
4,0,1,1,0,7,0,1,1,97,12
5,0,1,1,1,7,1,1,2,117,16
6,0,2,0,0,7,0,1,4,97,-1
7,0,2,1,0,7,1,1,3,170,28
8,0,2,1,4,7,1,1,5,535,40
9,0,1,1,4,7,1,1,1,372,33
10,0,1,1,0,7,1,1,2,206,74
11,0,3,0,0,7,1,1,7,170,-1
12,0,2,1,2,7,1,1,9,360,51
13,0,2,1,0,7,1,1,3,184,58
14,0,1,1,0,7,1,1,1,144,84
15,0,2,0,0,7,1,1,5,117,-1
16,0,3,1,1,7,1,1,12,356,301
17,0,3,1,0,7,1,1,8,156,96
18,0,2,1,2,7,1,1,9,522,202
19,0,3,0,0,7,1,1,13,93,-1
20,0,2,1,0,7,1,1,3,629,159
21,0,2,0,0,7,1,1,10,206,-1
22,0,1,0,0,7,0,1,2,140,-1
23,0,2,0,0,7,1,1,14,144,-1
24,0,1,0,0,7,0,1,1,141,-1
25,0,4,0,0,7,1,1,17,156,-1
28,0,3,1,1,7,1,1,8,465,120
29,0,3,0,0,7,1,1,13,184,-1
31,0,4,1,1,7,1,1,28,444,250
32,0,3,0,0,7,1,1,8,175,-1
38,0,3,0,0,7,1,1,20,629,-1
39,0,2,0,0,7,1,1,3,196,-1
42,0,1,0,0,7,1,1,1,287,-1
43,0,3,1,0,7,1,1,8,386,340
44,0,3,1,1,7,1,1,18,444,210
45,0,2,1,0,7,1,1,9,370,289
46,0,4,0,0,7,1,1,44,264,-1
47,0,5,1,0,7,1,1,31,447,259
48,0,4,0,0,7,1,1,28,317,-1
49,0,5,0,0,7,1,1,31,306,-1
50,0,3,1,0,7,1,1,18,462,343
51,0,4,1,4,7,1,1,44,557,354
52,0,3,0,0,7,1,1,45,359,-1
53,0,2,1,0,7,1,1,9,387,322
54,0,2,0,0,7,1,1,3,335,-1
55,0,4,1,5,7,1,1,16,702,319
56,0,3,1,0,7,1,1,12,372,315
57,0,5,1,2,7,1,1,55,524,349
58,0,3,0,0,7,1,1,53,387,-1
59,0,3,0,0,7,1,1,12,360,-1
60,0,4,0,0,7,1,1,28,465,-1
61,0,2,0,0,7,1,1,9,372,-1
62,0,4,0,0,7,1,1,43,382,-1
63,0,3,1,3,7,1,1,8,738,360
64,0,6,1,0,7,1,1,57,411,357
65,0,6,0,0,7,1,1,47,447,-1
66,0,4,0,0,7,1,1,50,462,-1
67,0,5,1,0,7,1,1,51,445,363
68,0,5,1,0,7,1,1,55,436,372
73,0,4,1,2,7,1,1,63,480,376
74,0,6,1,2,7,1,1,57,675,404
75,0,3,0,0,7,1,1,18,443,-1
76,0,3,0,0,7,1,1,8,413,-1
81,0,5,1,0,7,1,1,73,440,394
82,0,5,1,2,7,1,1,55,753,427
83,0,4,1,0,7,1,1,63,498,392
84,0,4,0,0,7,1,1,44,432,-1
87,0,5,1,1,7,1,1,51,643,419
88,0,5,1,0,7,1,1,73,466,415
89,0,7,1,0,7,1,1,74,463,412
90,0,5,0,0,7,1,1,83,498,-1
91,0,8,0,0,7,1,1,89,463,-1
92,0,6,0,0,7,1,1,57,524,-1
93,0,6,0,0,7,1,1,67,445,-1
94,0,4,1,1,7,1,1,63,713,450
95,0,6,0,0,7,1,1,88,466,-1
96,0,7,1,0,7,1,1,74,725,470
97,0,5,1,0,7,1,1,51,510,491
100,0,5,1,4,7,1,1,55,1064,636
103,0,3,0,0,7,1,1,8,535,-1
105,0,6,1,1,7,1,1,82,726,455
106,0,6,1,3,7,1,1,87,707,540
108,0,5,1,3,7,1,1,94,629,480
113,0,7,0,0,7,1,1,74,513,-1
116,0,6,1,1,7,1,1,108,561,489
117,0,8,0,0,7,1,1,96,528,-1
118,0,6,1,3,7,1,1,108,645,520
119,0,5,1,0,7,1,1,51,570,511
122,0,7,1,0,7,1,1,116,561,527
123,0,7,1,2,7,1,1,105,794,543
126,0,5,0,0,7,1,1,51,557,-1
127,0,6,0,0,7,1,1,82,593,-1
128,0,7,1,1,7,1,1,118,595,548
129,0,6,1,0,7,1,1,108,747,577
130,0,6,0,0,7,1,1,119,570,-1
132,0,8,1,0,7,1,1,123,635,552
133,0,6,0,0,7,1,1,87,621,-1
134,0,8,1,0,7,1,1,128,601,559
135,0,7,1,0,7,1,1,106,632,557
136,0,9,0,0,7,1,1,132,595,-1
137,0,7,1,1,7,1,1,118,755,583
140,0,8,0,0,7,1,1,135,632,-1
141,0,8,1,1,7,1,1,123,805,656
146,0,7,1,0,7,1,1,106,636,591
147,0,9,0,0,7,1,1,134,601,-1
148,0,4,0,0,7,1,1,63,608,-1
149,0,7,0,0,7,1,1,105,657,-1
150,0,8,0,0,7,1,1,96,725,-1
151,0,7,0,0,7,1,1,129,747,-1
152,0,7,0,0,7,1,1,74,675,-1
153,0,8,1,2,7,1,1,137,835,705
154,0,6,0,0,7,1,1,108,629,-1
155,0,7,1,1,7,1,1,118,817,609
156,0,8,0,0,7,1,1,146,633,-1
159,0,7,1,1,7,1,1,106,700,627
160,0,5,0,0,7,1,1,94,634,-1
163,0,6,1,1,7,1,1,82,832,644
164,0,8,1,0,7,1,1,155,674,622
165,0,7,0,0,7,1,1,118,645,-1
166,0,9,0,0,7,1,1,164,670,-1
167,0,8,1,1,7,1,1,159,703,651
172,0,5,0,0,7,1,1,94,713,-1
176,0,6,1,0,7,1,1,100,728,645
177,0,5,1,1,7,1,1,55,1293,669
182,0,7,0,0,7,1,1,106,681,-1
183,0,7,1,1,7,1,1,163,811,715
184,0,6,1,2,7,1,1,100,838,744
185,0,9,1,1,7,1,1,167,759,664
186,0,6,0,0,7,1,1,82,753,-1
187,0,8,0,0,7,1,1,159,700,-1
