second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,5,2,1,1,0
20,0,6,3,1,2,0
30,0,10,7,2,6,0
40,0,12,9,2,8,0
50,0,13,10,3,9,0
60,0,18,16,3,14,0
70,0,24,25,4,21,0
80,0,33,34,4,30,0
90,0,43,45,4,40,0
100,0,40,47,4,41,0
110,0,38,51,4,43,0
120,0,42,57,5,48,0
130,0,39,62,5,51,0
140,0,40,67,5,55,0
150,0,35,70,5,57,0
160,0,34,75,6,61,0
170,0,31,79,7,64,0
180,0,33,84,7,68,0
190,0,31,89,7,73,0
200,0,33,95,7,79,0
210,0,29,97,7,81,0
220,0,31,104,8,88,0
230,0,28,110,8,94,0
240,0,27,113,8,97,0
250,0,30,117,8,101,0
260,0,34,122,8,106,0
270,0,32,125,8,109,0
280,0,24,127,8,110,0
290,0,28,133,8,114,0
300,0,30,137,8,118,0
310,0,30,141,8,122,0
320,0,27,146,8,127,0
330,0,31,153,8,134,0
340,0,34,159,8,140,0
350,0,35,163,8,144,0
360,0,37,172,8,153,0
370,0,40,179,8,160,0
380,0,37,181,8,162,0
390,0,32,185,8,166,0
400,0,31,192,8,173,0
410,0,33,197,8,178,0
420,0,31,203,8,184,0
430,0,30,207,8,188,0
440,0,34,215,8,196,0
450,0,35,219,8,200,0
460,0,35,226,10,207,0
470,0,34,229,11,210,0
480,0,33,232,11,213,0
490,0,36,239,12,220,0
500,0,32,241,12,222,0
510,0,29,241,12,222,0
520,0,22,245,12,226,0
530,0,23,251,12,232,0
540,0,25,254,12,235,0
550,0,27,259,12,240,0
560,0,32,265,13,246,0
570,0,36,270,13,251,0
580,0,37,275,13,256,0
590,0,34,283,14,264,0
600,0,36,288,14,269,0
610,0,30,290,14,271,0
620,0,31,297,15,278,0
630,0,30,300,15,281,0
640,0,31,304,15,285,0
650,0,35,311,15,292,0
660,0,31,314,15,295,0
670,0,33,320,15,301,0
680,0,31,324,15,305,0
690,0,35,331,15,312,0
700,0,36,334,15,315,0
710,0,32,335,15,316,0
720,0,31,340,15,321,0
730,0,32,347,15,328,0
740,0,32,353,15,334,0
750,0,33,357,15,338,0
760,0,38,364,15,345,0
770,0,34,367,15,348,0
780,0,31,369,15,350,0
790,0,29,373,15,354,0
800,0,29,379,15,360,0
810,0,27,382,15,363,0
820,0,29,385,16,366,0
830,0,25,387,16,368,0
840,0,27,390,16,371,0
850,0,25,393,16,374,0
860,0,31,403,17,384,0
870,0,32,408,17,389,0
880,0,32,414,18,395,0
890,0,29,418,18,399,0
900,0,30,421,18,402,0
910,0,32,425,18,406,4
920,0,32,430,18,411,9
930,0,36,439,18,420,18
940,0,37,443,18,424,22
950,0,33,447,19,428,26
960,0,35,455,20,436,34
970,0,35,457,20,438,36
980,0,30,464,20,445,43
990,0,31,471,21,452,50
1000,0,31,474,21,455,53
1010,0,25,476,21,457,55
1020,0,31,485,21,466,64
1030,0,32,489,21,470,68
1040,0,30,491,21,472,70
1050,0,31,498,21,479,77
1060,0,37,507,21,488,86
1070,0,36,510,21,491,89
1080,0,38,515,22,496,94
1090,0,36,520,22,501,99
1100,0,32,524,22,505,103
1110,0,28,528,22,509,107
1120,0,28,534,22,515,113
1130,0,35,542,22,523,121
1140,0,35,544,22,525,123
1150,0,39,553,22,534,132
1160,0,41,558,22,539,137
1170,0,40,560,22,541,139
1180,0,38,567,22,548,146
1190,0,37,570,22,551,149
1200,0,36,575,22,556,154
1210,0,33,579,22,560,158
1220,0,31,584,22,565,163
1230,0,32,588,22,569,167
1240,0,30,591,22,572,170
1250,0,28,595,22,576,174
1260,0,29,600,22,581,179
1270,0,28,603,22,584,182
1280,0,32,610,22,591,189
1290,0,30,614,22,595,193
1300,0,26,615,22,596,194
1310,0,29,623,23,604,202
1320,0,30,630,23,611,209
1330,0,36,636,23,617,215
1340,0,34,639,23,620,218
1350,0,38,647,24,628,226
1360,0,34,649,25,630,228
1370,0,35,654,25,635,233
1380,0,38,662,25,643,241
1390,0,40,669,25,650,248
1400,0,36,672,25,653,251
1410,0,31,676,25,657,255
1420,0,32,681,25,662,260
1430,0,30,686,26,667,265
1440,0,37,693,26,674,272
1450,0,34,698,26,679,277
1460,0,34,702,26,683,281
1470,0,34,705,26,686,284
1480,0,34,710,26,691,289
1490,0,32,715,26,696,294
1500,0,32,719,26,700,298
1510,0,35,725,26,706,304
1520,0,35,732,27,713,311
1530,0,34,734,27,715,313
1540,0,25,736,27,717,315
1550,0,27,743,27,724,322
1560,0,30,748,27,729,327
1570,0,28,749,27,730,328
1580,0,27,752,27,733,331
1590,0,32,759,27,740,338
1600,0,31,760,27,741,339
1610,0,31,767,28,748,346
1620,0,34,775,28,756,354
1630,0,32,778,28,759,357
1640,0,26,780,28,761,359
1650,0,26,788,28,769,367
1660,0,30,792,28,773,371
1670,0,34,798,28,779,377
1680,0,32,805,28,786,384
1690,0,35,812,28,793,391
1700,0,34,813,28,794,392
1710,0,31,818,28,799,397
1720,0,31,822,28,803,401
1730,0,31,827,29,808,406
1740,0,29,828,29,809,407
1750,0,34,836,29,817,415
1760,0,34,839,29,820,418
1770,0,33,844,29,825,423
1780,0,32,851,30,832,430
1790,0,30,854,30,835,433
1799,0,30,859,31,840,438
