id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,2,4,0,1,4294967295,61,-1
1,0,0,1,2,4,0,1,4294967295,77,-1
2,0,0,1,1,4,0,1,4294967295,33,-1
3,0,1,1,4,4,1,1,0,163,7
4,0,1,1,5,4,1,1,1,153,6
5,0,1,1,0,4,0,1,2,33,4
6,0,2,1,0,4,1,1,4,45,21
7,0,2,1,1,4,1,1,3,134,43
8,0,1,0,0,4,0,1,2,33,-1
9,0,1,1,0,4,1,1,0,129,27
10,0,1,1,2,4,0,1,1,117,32
11,0,3,0,0,4,1,1,6,44,-1
12,0,2,1,3,4,1,1,4,235,44
13,0,2,0,0,4,1,1,9,58,-1
14,0,2,1,0,4,1,1,10,64,37
17,0,3,0,0,4,1,1,14,59,-1
18,0,1,0,0,4,0,1,1,77,-1
19,0,2,1,1,4,1,1,3,101,54
20,0,2,1,0,4,1,1,10,98,60
21,0,2,1,0,4,1,1,4,95,69
22,0,3,1,2,4,1,1,7,158,100
23,0,3,1,1,4,1,1,19,162,78
25,0,2,1,0,4,1,1,3,111,67
28,0,2,0,0,4,0,1,10,86,-1
29,0,3,0,0,4,1,1,25,111,-1
30,0,2,0,0,4,1,1,9,117,-1
31,0,3,0,0,4,1,1,21,95,-1
32,0,2,1,0,4,1,1,3,149,103
34,0,4,1,2,4,1,1,23,253,144
35,0,3,1,2,4,1,1,12,175,123
36,0,2,1,0,4,1,1,4,165,104
41,0,3,0,0,4,1,1,32,149,-1
42,0,3,0,0,4,1,1,36,165,-1
43,0,3,0,0,4,1,1,7,134,-1
44,0,4,1,0,4,1,1,22,141,114
45,0,2,0,0,4,1,1,3,133,-1
46,0,2,1,4,4,1,1,4,204,115
49,0,4,1,6,4,1,1,22,273,125
50,0,5,0,0,4,1,1,44,141,-1
51,0,2,0,0,4,1,1,4,144,-1
52,0,4,1,0,4,1,1,35,181,128
53,0,5,1,2,4,1,1,49,304,142
54,0,5,0,0,4,1,1,52,181,-1
55,0,3,1,0,4,1,1,46,167,146
57,0,4,0,0,4,1,1,22,158,-1
59,0,4,1,0,4,1,1,35,190,139
60,0,2,0,0,4,1,1,3,163,-1
63,0,3,1,0,4,1,1,12,192,174
65,0,5,1,2,4,1,1,34,237,199
66,0,4,0,0,4,1,1,35,173,-1
67,0,4,0,0,4,1,1,55,167,-1
68,0,5,1,0,4,1,1,49,263,152
71,0,3,1,1,4,1,1,46,263,157
74,0,4,1,0,4,1,1,71,247,187
76,0,5,1,2,4,1,1,49,229,163
79,0,3,1,1,4,1,1,46,196,167
80,0,6,1,0,4,1,1,76,198,178
83,0,4,1,0,4,1,1,79,196,181
84,0,6,1,1,4,1,1,53,222,182
85,0,5,0,0,4,1,1,49,204,-1
86,0,3,1,0,4,1,1,46,274,179
89,0,4,0,0,4,1,1,86,210,-1
91,0,7,1,2,4,1,1,84,304,186
92,0,3,1,0,4,1,1,12,217,189
93,0,6,1,0,4,1,1,76,214,189
94,0,8,1,0,4,1,1,91,258,223
95,0,7,0,0,4,1,1,93,214,-1
99,0,7,0,0,4,1,1,84,222,-1
100,0,4,0,0,4,1,1,71,217,-1
104,0,6,1,0,4,1,1,53,244,213
105,0,3,0,0,4,1,1,12,235,-1
106,0,6,1,3,4,1,1,65,426,204
108,0,5,0,0,4,1,1,74,247,-1
109,0,7,1,0,4,1,1,106,289,241
110,0,5,1,0,4,1,1,34,272,217
111,0,6,1,0,4,1,1,65,233,215
112,0,5,1,0,4,1,1,49,268,218
113,0,6,0,0,4,1,1,68,263,-1
114,0,7,0,0,4,1,1,104,242,-1
117,0,6,0,0,4,1,1,53,246,-1
118,0,6,0,0,4,1,1,110,272,-1
120,0,6,0,0,4,1,1,112,268,-1
121,0,5,1,0,4,1,1,49,257,229
123,0,6,0,0,4,1,1,121,257,-1
124,0,5,0,0,4,1,1,34,253,-1
126,0,8,1,1,4,1,1,91,327,266
128,0,5,1,0,4,1,1,49,263,240
130,0,6,0,0,4,1,1,128,263,-1
131,0,8,0,0,4,1,1,109,289,-1
133,0,5,0,0,4,1,1,49,265,-1
135,0,7,1,3,4,1,1,106,379,321
138,0,6,0,0,4,1,1,53,304,-1
142,0,9,1,1,4,1,1,126,349,294
145,0,8,0,0,4,1,1,91,304,-1
149,0,10,1,5,4,1,1,142,506,300
150,0,11,1,0,4,1,1,149,388,342
151,0,9,0,0,4,1,1,126,327,-1
153,0,8,1,0,4,1,1,135,366,332
154,0,10,0,0,4,1,1,142,349,-1
156,0,7,1,5,4,1,1,106,411,332
157,0,8,1,1,4,1,1,156,398,337
158,0,9,0,0,4,1,1,153,366,-1
159,0,7,0,0,4,1,1,106,360,-1
160,0,8,1,0,4,1,1,135,395,343
161,0,8,1,2,4,1,1,156,422,348
163,0,8,1,1,4,1,1,135,407,354
164,0,11,1,0,4,1,1,149,401,360
165,0,8,1,0,4,1,1,156,388,359
166,0,9,0,0,4,1,1,160,395,-1
167,0,8,0,0,4,1,1,135,379,-1
168,0,9,1,1,4,1,1,157,436,367
169,0,12,0,0,4,1,1,164,401,-1
170,0,8,1,1,4,1,1,156,408,369
171,0,12,0,0,4,1,1,150,388,-1
173,0,9,1,1,4,1,1,163,407,371
174,0,11,1,0,4,1,1,149,391,371
175,0,10,1,0,4,1,1,168,410,373
176,0,9,0,0,4,1,1,165,388,-1
177,0,9,1,1,4,1,1,170,413,384
178,0,12,0,0,4,1,1,174,391,-1
179,0,11,0,0,4,1,1,175,400,-1
180,0,10,1,3,4,1,1,173,472,379
181,0,8,1,0,4,1,1,156,400,381
182,0,9,0,0,4,1,1,163,407,-1
183,0,11,1,3,4,1,1,149,575,440
184,0,11,1,2,4,1,1,180,461,392
186,0,9,1,1,4,1,1,161,466,385
187,0,10,1,2,4,1,1,177,464,389
188,0,10,1,0,4,1,1,186,424,405
189,0,10,0,0,4,1,1,173,407,-1
190,0,8,0,0,4,1,1,156,411,-1
193,0,9,1,0,4,1,1,161,433,395
195,0,11,1,2,4,1,1,187,545,417
197,0,10,0,0,4,1,1,177,413,-1
198,0,10,0,0,4,1,1,193,430,-1
200,0,7,0,0,4,1,1,106,426,-1
203,0,10,0,0,4,1,1,168,436,-1
204,0,11,1,0,4,1,1,180,462,409
208,0,11,0,0,4,1,1,188,424,-1
209,0,12,1,0,4,1,1,184,456,427
212,0,10,0,0,4,1,1,186,433,-1
214,0,11,1,3,4,1,1,180,564,439
215,0,12,1,0,4,1,1,195,453,429
216,0,11,1,0,4,1,1,187,469,430
219,0,13,0,0,4,1,1,209,456,-1
220,0,12,1,0,4,1,1,184,459,437
223,0,13,0,0,4,1,1,215,453,-1
224,0,11,0,0,4,1,1,187,464,-1
225,0,13,0,0,4,1,1,220,459,-1
226,0,10,0,0,4,1,1,186,466,-1
227,0,12,1,0,4,1,1,214,499,448
228,0,12,1,0,4,1,1,183,478,445
229,0,12,0,0,4,1,1,216,464,-1
230,0,11,0,0,4,1,1,180,472,-1
231,0,13,0,0,4,1,1,228,478,-1
232,0,11,1,0,4,1,1,149,497,451
233,0,13,0,0,4,1,1,227,499,-1
234,0,12,1,0,4,1,1,183,476,456
235,0,12,0,0,4,1,1,232,497,-1
239,0,11,0,0,4,1,1,149,506,-1
244,0,12,1,2,4,1,1,214,609,476
246,0,12,1,1,4,1,1,195,559,519
247,0,12,1,0,4,1,1,183,583,483
249,0,13,1,6,4,1,1,244,663,505
251,0,13,0,0,4,1,1,247,502,-1
252,0,12,0,0,4,1,1,183,517,-1
256,0,14,1,0,4,1,1,249,541,512
257,0,12,1,1,4,1,1,214,586,538
258,0,13,1,1,4,1,1,244,584,540
260,0,15,0,0,4,1,1,256,540,-1
261,0,13,1,1,4,1,1,246,559,525
262,0,14,1,5,4,1,1,261,644,530
263,0,12,0,0,4,1,1,195,545,-1
264,0,13,0,0,4,1,1,246,559,-1
265,0,14,1,3,4,1,1,249,778,568
266,0,13,1,0,4,1,1,257,581,544
267,0,14,0,0,4,1,1,261,559,-1
268,0,13,0,0,4,1,1,247,577,-1
269,0,14,1,0,4,1,1,258,600,545
272,0,14,0,0,4,1,1,266,573,-1
274,0,13,0,0,4,1,1,244,609,-1
275,0,15,1,4,4,1,1,262,696,558
276,0,13,0,0,4,1,1,257,586,-1
277,0,14,0,0,4,1,1,258,578,-1
278,0,15,0,0,4,1,1,269,585,-1
282,0,15,1,0,4,1,1,262,596,569
283,0,16,0,0,4,1,1,282,592,-1
284,0,16,1,0,4,1,1,275,643,590
285,0,14,1,0,4,1,1,249,649,595
286,0,15,0,0,4,1,1,265,621,-1
291,0,17,0,0,4,1,1,284,627,-1
292,0,15,1,1,4,1,1,262,690,600
295,0,14,1,1,4,1,1,249,731,606
296,0,15,0,0,4,1,1,285,649,-1
297,0,16,1,1,4,1,1,275,688,612
298,0,15,1,1,4,1,1,262,654,611
300,0,16,1,4,4,1,1,298,698,616
301,0,17,1,3,4,1,1,297,826,649
302,0,14,1,3,4,1,1,249,720,617
303,0,17,1,0,4,1,1,300,638,621
304,0,15,0,0,4,1,1,295,659,-1
305,0,15,1,0,4,1,1,262,647,622
306,0,15,1,0,4,1,1,302,663,622
307,0,16,1,0,4,1,1,275,652,623
308,0,16,1,0,4,1,1,292,714,637
309,0,16,0,0,4,1,1,305,647,-1
310,0,16,0,0,4,1,1,298,646,-1
311,0,17,0,0,4,1,1,307,652,-1
312,0,14,1,2,4,1,1,249,790,632
313,0,16,0,0,4,1,1,306,663,-1
314,0,17,1,0,4,1,1,300,700,632
315,0,15,1,1,4,1,1,312,747,663
316,0,18,0,0,4,1,1,314,700,-1
317,0,15,1,1,4,1,1,265,758,702
318,0,17,0,0,4,1,1,308,683,-1
319,0,14,0,0,4,1,1,249,663,-1
321,0,17,1,0,4,1,1,300,716,645
322,0,15,0,0,4,1,1,302,662,-1
325,0,18,0,0,4,1,1,321,668,-1
328,0,18,1,4,4,1,1,301,815,672
329,0,17,1,0,4,1,1,300,730,667
332,0,16,0,0,4,1,1,292,690,-1
334,0,17,0,0,4,1,1,297,688,-1
336,0,16,1,0,4,1,1,315,739,713
337,0,15,1,0,4,1,1,302,718,675
338,0,15,1,3,4,1,1,295,831,678
339,0,16,1,0,4,1,1,275,712,675
340,0,19,1,1,4,1,1,328,800,740
341,0,18,0,0,4,1,1,321,716,-1
342,0,17,0,0,4,1,1,300,698,-1
343,0,18,0,0,4,1,1,329,730,-1
345,0,16,0,0,4,1,1,337,717,-1
346,0,15,1,0,4,1,1,302,722,700
349,0,16,1,1,4,1,1,338,793,701
353,0,16,0,0,4,1,1,346,722,-1
354,0,17,1,0,4,1,1,349,828,740
355,0,16,1,0,4,1,1,317,802,708
356,0,15,0,0,4,1,1,295,731,-1
357,0,18,1,1,4,1,1,301,795,744
358,0,16,0,0,4,1,1,338,727,-1
359,0,15,1,0,4,1,1,265,777,727
362,0,16,0,0,4,1,1,317,753,-1
366,0,17,0,0,4,1,1,355,752,-1
367,0,16,0,0,4,1,1,315,747,-1
371,0,16,0,0,4,1,1,359,777,-1
375,0,15,1,1,4,1,1,312,792,754
376,0,16,1,0,4,1,1,338,761,737
377,0,15,1,2,4,1,1,265,879,745
378,0,17,0,0,4,1,1,376,761,-1
