id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,2,3,0,1,4294967295,166,-1
1,0,0,1,4,3,0,1,4294967295,329,-1
2,0,0,1,1,3,0,1,4294967295,48,-1
3,0,1,1,0,3,1,1,0,61,3
4,0,1,1,2,3,1,1,1,90,3
5,0,1,1,0,3,0,1,2,95,3
6,0,2,1,0,3,1,1,4,260,38
7,0,2,0,0,3,1,1,5,95,-1
8,0,2,0,0,3,1,1,3,61,-1
9,0,1,1,1,3,0,1,0,80,38
10,0,1,0,0,3,1,1,2,48,-1
11,0,3,0,0,3,1,1,6,260,-1
12,0,2,1,1,3,1,1,9,104,42
13,0,3,1,1,3,1,1,12,165,62
14,0,2,1,0,3,1,1,4,107,49
15,0,3,0,0,3,1,1,14,107,-1
16,0,2,0,0,3,1,1,4,90,-1
18,0,4,1,0,3,1,1,13,152,81
19,0,1,1,0,3,0,1,1,195,122
21,0,5,0,0,3,1,1,18,152,-1
23,0,2,0,0,3,0,1,19,195,-1
24,0,1,1,1,3,0,1,1,287,210
27,0,2,1,0,3,0,1,24,265,218
28,0,3,0,0,3,1,1,27,265,-1
29,0,1,1,4,3,0,1,1,556,277
30,0,2,0,0,3,0,1,24,287,-1
31,0,2,1,0,3,0,1,29,432,280
32,0,3,0,0,3,0,1,31,331,-1
33,0,1,0,0,3,1,1,1,329,-1
34,0,2,1,0,3,1,1,29,440,387
35,0,3,0,0,3,0,1,31,432,-1
36,0,2,1,2,3,0,1,29,544,397
37,0,3,0,0,3,1,1,34,440,-1
38,0,3,1,0,3,0,1,36,432,402
39,0,4,0,0,3,1,1,38,432,-1
40,0,2,1,3,3,1,1,29,638,468
41,0,3,1,0,3,0,1,36,459,426
42,0,4,0,0,3,1,1,41,459,-1
44,0,3,0,0,3,0,1,36,544,-1
46,0,3,1,0,3,1,1,40,586,482
47,0,2,0,0,3,0,1,29,556,-1
48,0,3,1,0,3,1,1,40,631,575
50,0,4,0,0,3,1,1,48,631,-1
51,0,3,1,0,3,1,1,40,678,586
52,0,4,0,0,3,1,1,51,678,-1
53,0,3,0,0,3,1,1,40,638,-1
