second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,6,3,1,2,0
20,0,6,3,1,2,0
30,0,7,4,1,2,0
40,0,11,8,2,5,0
50,0,18,15,3,10,0
60,0,29,26,4,16,0
70,0,46,43,5,30,0
80,0,53,50,5,36,0
90,0,60,57,5,40,0
100,0,61,62,5,44,0
110,0,67,71,5,50,0
120,0,68,75,5,53,0
130,0,71,80,5,57,0
140,0,73,83,5,58,0
150,0,74,85,5,59,0
160,0,72,86,5,59,0
170,0,75,91,5,63,0
180,0,74,94,5,66,0
190,0,77,99,5,70,0
200,0,79,101,5,71,0
210,0,78,102,5,71,0
220,0,78,103,5,72,0
230,0,78,104,5,73,0
240,0,77,105,5,73,0
250,0,76,107,5,73,0
260,0,78,110,5,76,0
270,0,77,110,5,76,0
280,0,79,116,5,81,0
290,0,77,116,5,81,0
300,0,78,118,5,82,0
310,0,79,119,5,83,0
320,0,77,121,5,83,0
330,0,79,124,5,86,0
340,0,78,124,5,86,0
350,0,80,126,5,88,0
360,0,80,126,5,88,0
370,0,77,126,5,88,0
380,0,77,127,5,89,0
390,0,78,128,5,90,0
400,0,78,128,5,90,0
410,0,79,130,5,92,0
420,0,78,131,5,92,0
430,0,79,132,5,93,0
440,0,78,132,5,93,0
450,0,77,134,5,95,0
460,0,78,135,5,96,0
470,0,78,135,5,96,0
480,0,76,136,5,96,0
490,0,78,141,5,100,0
500,0,78,142,5,101,0
510,0,79,144,5,101,0
520,0,79,144,5,101,0
530,0,79,145,5,102,0
540,0,79,146,5,103,0
550,0,76,147,5,104,0
560,0,77,149,5,106,0
570,0,78,150,5,106,0
580,0,78,150,5,106,0
590,0,78,151,5,107,0
600,0,79,152,5,107,0
610,0,77,153,5,108,0
620,0,78,157,5,112,0
630,0,79,159,5,114,0
640,0,79,161,5,115,0
650,0,79,161,5,115,0
660,0,79,162,5,116,0
670,0,80,163,5,116,0
680,0,80,163,5,116,0
690,0,80,163,5,116,0
700,0,80,165,5,118,0
710,0,78,166,5,119,0
720,0,80,168,5,121,0
730,0,78,169,5,122,0
740,0,78,171,5,124,0
750,0,80,173,5,126,0
760,0,80,173,5,126,0
770,0,80,173,5,126,0
780,0,80,173,5,126,0
790,0,79,173,5,126,0
800,0,79,174,5,126,0
810,0,80,175,5,127,0
820,0,79,175,5,127,0
830,0,80,176,5,128,0
840,0,80,176,5,128,0
850,0,79,176,5,128,0
860,0,79,177,5,128,0
870,0,78,177,5,128,0
880,0,80,180,5,131,0
890,0,80,180,5,131,0
900,0,80,180,5,131,0
910,0,80,180,5,131,0
920,0,80,181,5,131,1
930,0,79,181,5,131,1
940,0,79,182,5,132,2
950,0,79,183,5,132,3
960,0,79,184,5,133,4
970,0,80,185,5,133,5
980,0,80,186,5,133,6
990,0,80,188,5,134,8
1000,0,79,188,5,134,8
1010,0,79,188,5,134,8
1020,0,80,190,5,135,10
1030,0,79,191,5,136,11
1040,0,77,191,5,136,11
1050,0,78,192,5,137,12
1060,0,78,192,5,137,12
1070,0,79,193,5,138,13
1080,0,79,193,5,138,13
1090,0,80,194,5,139,14
1100,0,79,194,5,139,14
1110,0,80,196,5,141,16
1120,0,80,196,5,141,16
1130,0,80,197,5,141,17
1140,0,79,197,5,141,17
1150,0,80,198,5,142,18
1160,0,80,198,5,142,18
1170,0,80,199,5,142,19
1180,0,80,199,5,142,19
1190,0,80,199,5,142,19
1200,0,80,199,5,142,19
1210,0,80,200,5,142,20
1220,0,80,200,5,142,20
1230,0,80,201,5,142,21
1240,0,80,201,5,142,21
1250,0,80,201,5,142,21
1260,0,80,201,5,142,21
1270,0,79,201,5,142,21
1280,0,80,202,5,142,22
1290,0,80,202,5,142,22
1300,0,79,202,5,142,22
1310,0,80,203,5,142,23
1320,0,79,204,5,143,24
1330,0,80,205,5,144,25
1340,0,79,206,5,145,26
1350,0,79,206,5,145,26
1360,0,78,206,5,145,26
1370,0,80,208,5,147,28
1380,0,79,208,5,147,28
1390,0,80,209,5,148,29
1400,0,80,209,5,148,29
1410,0,80,210,5,148,30
1420,0,80,210,5,148,30
1430,0,80,210,5,148,30
1440,0,80,211,5,148,31
1450,0,79,211,5,148,31
1460,0,79,212,5,149,32
1470,0,80,213,5,150,33
1480,0,80,213,5,150,33
1490,0,80,213,5,150,33
1500,0,80,213,5,150,33
1510,0,80,213,5,150,33
1520,0,80,214,5,150,34
1530,0,80,217,5,153,37
1540,0,80,218,5,154,38
1550,0,80,219,5,154,39
1560,0,80,219,5,154,39
1570,0,80,219,5,154,39
1580,0,80,220,5,154,40
1590,0,80,220,5,154,40
1600,0,80,221,5,154,41
1610,0,80,221,5,154,41
1620,0,80,221,5,154,41
1630,0,80,221,5,154,41
1640,0,80,221,5,154,41
1650,0,80,221,5,154,41
1660,0,80,223,5,155,43
1670,0,79,223,5,155,43
1680,0,80,224,5,156,44
1690,0,78,224,5,156,44
1700,0,78,226,5,158,46
1710,0,79,228,5,160,48
1720,0,80,229,5,161,49
1730,0,80,229,5,161,49
1740,0,79,229,5,161,49
1750,0,81,231,5,162,51
1760,0,80,231,5,162,51
1770,0,81,232,5,162,52
1780,0,81,233,5,162,53
1790,0,81,233,5,162,53
1799,0,81,233,5,162,53
