second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,3,0,0,0,0
20,0,3,0,0,0,0
30,0,5,2,1,1,0
40,0,6,3,2,2,0
50,0,6,3,2,2,0
60,0,8,5,2,2,0
70,0,8,5,2,2,0
80,0,9,8,2,4,0
90,0,11,11,3,5,0
100,0,14,14,3,7,0
110,0,16,16,3,8,0
120,0,16,16,3,8,0
130,0,15,17,3,8,0
140,0,13,19,3,8,0
150,0,13,20,3,8,0
160,0,13,21,3,8,0
170,0,16,24,4,10,0
180,0,16,26,4,12,0
190,0,18,29,5,15,0
200,0,17,29,5,15,0
210,0,18,30,5,15,0
220,0,17,30,5,15,0
230,0,12,30,5,15,0
240,0,14,33,5,18,0
250,0,14,34,5,19,0
260,0,16,37,5,21,0
270,0,18,39,5,23,0
280,0,17,40,5,24,0
290,0,19,44,6,28,0
300,0,17,44,6,28,0
310,0,16,44,6,28,0
320,0,16,46,6,29,0
330,0,17,48,6,31,0
340,0,16,49,6,32,0
350,0,16,50,6,33,0
360,0,13,51,6,34,0
370,0,11,51,6,34,0
380,0,11,52,7,35,0
390,0,12,55,7,38,0
400,0,14,57,7,40,0
410,0,14,59,8,42,0
420,0,16,61,8,44,0
430,0,19,64,8,47,0
440,0,19,64,8,47,0
450,0,19,65,8,48,0
460,0,18,68,8,50,0
470,0,19,69,8,51,0
480,0,17,70,8,52,0
490,0,18,71,8,53,0
500,0,17,71,8,53,0
510,0,19,74,9,56,0
520,0,19,75,9,57,0
530,0,20,77,9,59,0
540,0,19,77,9,59,0
550,0,16,77,9,59,0
560,0,18,79,9,60,0
570,0,16,80,9,61,0
580,0,17,83,9,64,0
590,0,18,84,9,65,0
600,0,17,85,10,66,0
610,0,16,86,10,67,0
620,0,16,89,10,70,0
630,0,18,92,10,73,0
640,0,17,93,10,74,0
650,0,17,94,10,75,0
660,0,16,95,11,76,0
670,0,16,96,11,77,0
680,0,17,98,11,79,0
690,0,15,99,11,80,0
700,0,17,102,12,83,0
710,0,17,103,12,84,0
720,0,18,104,12,85,0
730,0,19,105,12,86,0
740,0,18,106,12,87,0
750,0,17,108,12,89,0
760,0,16,112,12,93,0
770,0,18,114,13,95,0
780,0,18,114,13,95,0
790,0,18,114,13,95,0
800,0,17,114,13,95,0
810,0,16,116,13,97,0
820,0,15,117,13,98,0
830,0,17,120,14,101,0
840,0,18,121,14,102,0
850,0,20,124,14,105,0
860,0,19,124,14,105,0
870,0,19,127,14,108,0
880,0,18,127,14,108,0
890,0,19,129,14,110,0
900,0,18,130,14,111,0
910,0,15,131,14,112,1
920,0,18,134,15,115,4
930,0,18,136,15,117,6
940,0,17,137,15,118,7
950,0,20,140,15,121,10
960,0,18,141,15,122,11
970,0,16,141,15,122,11
980,0,15,142,15,123,12
990,0,17,146,15,127,16
1000,0,19,149,15,130,19
1010,0,19,150,15,131,20
1020,0,18,151,15,132,21
1030,0,18,152,16,133,22
1040,0,17,152,16,133,22
1050,0,16,152,16,133,22
1060,0,16,155,17,136,25
1070,0,17,156,18,137,26
1080,0,16,158,18,139,28
1090,0,19,162,18,143,32
1100,0,17,162,18,143,32
1110,0,16,163,19,144,33
1120,0,16,164,19,145,34
1130,0,15,165,19,146,35
1140,0,16,166,19,147,36
1150,0,15,168,19,149,38
1160,0,16,170,19,151,40
1170,0,15,171,20,152,41
1180,0,13,173,20,154,43
1190,0,15,175,21,156,45
1200,0,13,175,21,156,45
1210,0,13,175,21,156,45
1220,0,10,176,21,157,46
1230,0,6,177,21,158,47
1240,0,8,179,21,160,49
1250,0,7,179,21,160,49
1260,0,7,180,21,161,50
1270,0,8,181,21,162,51
1280,0,8,181,21,162,51
1290,0,9,183,21,164,53
1300,0,10,184,21,165,54
1310,0,11,185,21,166,55
1320,0,10,185,21,166,55
1330,0,10,186,21,167,56
1340,0,10,187,21,168,57
1350,0,14,191,22,172,61
1360,0,17,194,22,175,64
1370,0,17,196,22,177,66
1380,0,19,198,22,179,68
1390,0,18,199,22,180,69
1400,0,17,199,22,180,69
1410,0,16,201,22,182,71
1420,0,14,202,22,183,72
1430,0,16,205,22,186,75
1440,0,15,205,22,186,75
1450,0,16,208,22,189,78
1460,0,13,208,22,189,78
1470,0,13,209,22,190,79
1480,0,13,211,22,192,81
1490,0,14,213,23,194,83
1500,0,13,213,23,194,83
1510,0,14,215,23,196,85
1520,0,15,219,23,200,89
1530,0,17,221,23,202,91
1540,0,18,225,24,206,95
1550,0,20,227,25,208,97
1560,0,17,227,25,208,97
1570,0,16,227,25,208,97
1580,0,18,230,25,211,100
1590,0,18,231,26,212,101
1600,0,16,231,26,212,101
1610,0,18,235,26,216,105
1620,0,18,236,26,217,106
1630,0,19,237,26,218,107
1640,0,16,238,26,219,108
1650,0,15,238,26,219,108
1660,0,14,241,26,222,111
1670,0,12,241,26,222,111
1680,0,14,244,26,225,114
1690,0,16,246,26,227,116
1700,0,14,246,26,227,116
1710,0,15,248,27,229,118
1720,0,16,250,27,231,120
1730,0,14,250,27,231,120
1740,0,14,250,27,231,120
1750,0,14,252,27,233,122
1760,0,13,254,27,235,124
1770,0,12,254,27,235,124
1780,0,12,256,27,237,126
1790,0,16,260,28,241,130
1799,0,17,261,29,242,131
