id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,4,9,0,1,4294967295,188,-1
1,0,0,1,1,9,0,1,4294967295,77,-1
2,0,0,1,2,9,0,1,4294967295,114,-1
3,0,1,1,0,9,1,1,0,144,62
4,0,1,1,4,9,0,1,1,232,23
5,0,1,1,1,9,1,1,2,110,27
6,0,2,1,0,9,0,1,4,82,37
7,0,1,0,0,9,0,1,1,73,-1
8,0,2,1,1,9,1,1,5,169,47
9,0,1,1,20,9,1,1,2,1799,56
10,0,3,0,0,9,1,1,6,82,-1
11,0,2,1,4,9,1,1,4,225,58
12,0,3,1,0,9,1,1,8,255,113
13,0,2,0,0,9,1,1,5,87,-1
14,0,2,1,1,9,1,1,9,232,106
15,0,3,1,3,9,1,1,11,219,69
16,0,1,0,0,9,0,1,2,114,-1
17,0,2,0,0,9,1,1,3,144,-1
18,0,2,1,12,9,1,1,4,1799,75
20,0,1,1,1,9,0,1,0,181,79
21,0,4,1,4,9,1,1,15,1799,89
22,0,3,1,0,9,1,1,11,158,98
23,0,3,1,0,9,1,1,18,135,86
24,0,2,1,0,9,1,1,20,157,130
25,0,2,0,0,9,1,1,4,101,-1
26,0,1,1,4,9,1,1,0,1799,117
28,0,5,1,1,9,1,1,21,554,100
29,0,3,1,0,9,1,1,18,238,108
30,0,4,1,4,9,1,1,15,805,119
31,0,4,0,0,9,1,1,23,121,-1
32,0,6,1,0,9,1,1,28,240,111
33,0,3,1,0,9,1,1,11,264,130
34,0,2,1,0,9,0,1,4,305,163
35,0,3,1,2,9,1,1,14,323,131
36,0,2,0,0,9,1,1,9,161,-1
38,0,3,0,0,9,1,1,8,155,-1
39,0,1,1,0,9,1,1,0,198,145
40,0,4,0,0,9,1,1,12,255,-1
41,0,3,1,0,9,1,1,11,613,170
42,0,4,1,0,9,1,1,15,782,159
43,0,1,0,0,9,0,1,0,176,-1
44,0,3,0,0,9,1,1,14,199,-1
45,0,3,1,0,9,1,1,18,359,172
46,0,2,0,0,9,1,1,26,187,-1
47,0,2,0,0,9,1,1,4,232,-1
48,0,3,0,0,9,1,1,11,225,-1
50,0,4,0,0,9,1,1,15,208,-1
51,0,3,1,0,9,1,1,18,339,198
52,0,5,1,0,9,1,1,21,1799,248
53,0,4,0,0,9,1,1,29,220,-1
54,0,5,1,0,9,1,1,30,1799,213
56,0,2,1,0,9,1,1,9,932,232
58,0,3,1,0,9,1,1,18,296,230
60,0,5,1,0,9,1,1,30,1799,231
61,0,4,0,0,9,1,1,33,256,-1
62,0,2,1,0,9,1,1,26,1799,240
63,0,3,0,0,9,1,1,34,273,-1
64,0,3,1,0,9,1,1,18,1799,290
65,0,4,1,0,9,1,1,35,598,247
66,0,5,1,0,9,1,1,30,1799,248
67,0,2,1,0,9,1,1,9,380,260
69,0,5,1,0,9,1,1,21,1799,333
71,0,2,1,0,9,1,1,26,389,269
72,0,5,1,0,9,1,1,30,1750,270
73,0,4,1,0,9,1,1,35,1799,272
75,0,2,1,0,9,1,1,9,1799,311
77,0,2,1,0,9,1,1,26,845,305
78,0,3,1,0,9,1,1,18,1513,312
79,0,2,1,0,9,1,1,26,497,327
80,0,2,1,0,9,1,1,9,1799,347
81,0,2,1,0,9,1,1,9,483,399
83,0,3,1,0,9,1,1,18,1153,383
85,0,5,1,0,9,1,1,21,1799,407
86,0,2,1,0,9,1,1,9,1704,484
87,0,3,1,0,9,1,1,18,1799,497
88,0,2,1,0,9,1,1,9,1799,557
90,0,2,1,0,9,1,1,9,1799,609
92,0,3,1,0,9,1,1,18,1386,613
93,0,2,1,0,9,1,1,9,1799,792
95,0,3,1,0,9,1,1,18,1799,807
96,0,2,1,0,9,1,1,9,1799,876
97,0,2,1,0,9,1,1,9,1799,928
98,0,2,1,0,9,1,1,9,1141,989
99,0,2,1,0,9,1,1,9,1656,1134
100,0,2,1,0,9,1,1,9,1799,1162
101,0,2,1,0,9,1,1,9,1498,1397
103,0,2,1,0,9,1,1,9,1799,1510
104,0,3,1,0,9,1,1,18,1799,1517
105,0,2,1,0,9,1,1,9,1799,1666
106,0,2,1,0,9,1,1,9,1799,1711
108,0,2,1,0,9,1,1,9,1799,1767
