id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,1,5,0,1,4294967295,479,-1
1,0,0,1,3,5,0,1,4294967295,793,-1
2,0,0,1,2,5,0,1,4294967295,361,-1
3,0,1,1,5,5,1,1,0,652,80
4,0,1,1,1,5,0,1,1,557,85
5,0,1,1,0,5,1,1,2,931,30
6,0,1,1,2,5,0,1,2,526,61
7,0,2,1,6,5,1,1,6,1075,127
8,0,1,0,0,5,1,1,0,152,-1
9,0,2,1,2,5,1,1,3,710,134
10,0,1,1,0,5,0,1,1,222,149
11,0,1,0,0,5,1,1,2,361,-1
12,0,2,1,5,5,1,1,4,521,154
13,0,2,1,0,5,0,1,6,519,290
14,0,2,1,0,5,1,1,3,474,189
15,0,3,1,2,5,1,1,7,1314,280
16,0,3,1,2,5,1,1,9,869,197
17,0,2,0,0,5,0,1,4,224,-1
18,0,3,1,0,5,1,1,12,550,192
19,0,1,1,1,5,1,1,1,765,258
20,0,2,1,0,5,1,1,3,468,254
21,0,3,1,0,5,1,1,12,371,252
24,0,2,1,2,5,1,1,19,836,300
25,0,3,1,2,5,1,1,12,1503,277
26,0,2,1,4,5,1,1,3,1087,485
27,0,4,0,0,5,1,1,16,343,-1
28,0,4,1,0,5,1,1,15,390,336
29,0,4,0,0,5,1,1,21,328,-1
30,0,3,1,0,5,1,1,12,712,360
31,0,3,1,3,5,1,1,7,931,497
32,0,4,1,1,5,1,1,25,1012,354
33,0,2,0,0,5,1,1,19,765,-1
34,0,3,0,0,5,1,1,14,474,-1
35,0,3,1,3,5,1,1,24,1286,440
36,0,1,0,0,5,1,1,0,397,-1
37,0,4,1,0,5,1,1,15,944,553
38,0,4,1,0,5,1,1,16,731,488
40,0,4,1,2,5,1,1,25,932,608
41,0,3,1,0,5,1,1,12,527,381
44,0,3,0,0,5,0,1,13,519,-1
46,0,3,1,1,5,1,1,9,970,656
47,0,2,0,0,5,1,1,4,557,-1
48,0,1,0,0,5,1,1,1,460,-1
49,0,4,0,0,5,1,1,18,474,-1
50,0,3,0,0,5,1,1,24,509,-1
53,0,3,1,0,5,1,1,26,729,491
54,0,5,0,0,5,1,1,38,731,-1
55,0,2,1,0,5,1,1,3,551,504
56,0,3,1,0,5,1,1,26,887,573
57,0,4,1,0,5,1,1,31,616,551
58,0,4,0,0,5,1,1,53,729,-1
60,0,2,0,0,5,1,1,3,652,-1
61,0,3,1,0,5,1,1,7,1522,624
62,0,5,1,0,5,1,1,32,801,635
67,0,4,1,0,5,1,1,35,734,623
68,0,4,1,0,5,1,1,16,612,578
70,0,3,1,0,5,1,1,24,842,579
71,0,5,0,0,5,1,1,37,606,-1
72,0,4,0,0,5,1,1,15,1314,-1
73,0,4,0,0,5,1,1,30,712,-1
74,0,4,1,0,5,1,1,31,703,616
75,0,3,1,1,5,1,1,26,1124,658
76,0,4,0,0,5,1,1,16,779,-1
79,0,5,1,3,5,1,1,40,1184,687
82,0,4,0,0,5,1,1,61,677,-1
83,0,5,0,0,5,1,1,67,734,-1
84,0,3,1,0,5,1,1,7,719,689
85,0,4,1,2,5,1,1,31,1213,867
86,0,5,0,0,5,1,1,32,820,-1
88,0,5,0,0,5,1,1,37,944,-1
89,0,4,1,1,5,1,1,46,1128,744
90,0,4,1,5,5,1,1,75,1656,763
91,0,3,1,0,5,1,1,26,1050,695
92,0,4,0,0,5,1,1,56,715,-1
93,0,3,0,0,5,1,1,24,836,-1
96,0,3,1,0,5,1,1,7,860,717
97,0,4,0,0,5,1,1,61,794,-1
98,0,5,1,4,5,1,1,40,1474,755
102,0,6,1,0,5,1,1,79,1069,782
108,0,2,0,0,5,1,1,5,931,-1
109,0,5,1,1,5,1,1,89,1101,988
110,0,4,0,0,5,1,1,46,811,-1
111,0,5,1,0,5,1,1,90,1270,834
112,0,5,0,0,5,1,1,40,820,-1
113,0,3,1,0,5,1,1,7,1265,873
114,0,6,1,0,5,1,1,79,1268,917
119,0,4,0,0,5,1,1,46,931,-1
120,0,6,1,0,5,1,1,98,1166,875
123,0,4,1,0,5,1,1,35,1193,884
124,0,5,1,0,5,1,1,85,1239,882
126,0,5,1,0,5,1,1,90,1225,981
127,0,4,0,0,5,1,1,113,973,-1
128,0,3,0,0,5,1,1,7,920,-1
129,0,6,1,3,5,1,1,98,1572,1025
132,0,4,0,0,5,1,1,75,1124,-1
133,0,4,1,0,5,1,1,35,1799,1078
134,0,5,1,1,5,1,1,85,1389,943
135,0,6,0,0,5,1,1,124,970,-1
136,0,7,0,0,5,1,1,120,1151,-1
137,0,6,0,0,5,1,1,79,984,-1
138,0,7,0,0,5,1,1,102,990,-1
145,0,6,1,4,5,1,1,134,1799,1060
148,0,5,0,0,5,1,1,85,1213,-1
149,0,6,1,0,5,1,1,109,1228,1028
150,0,6,0,0,5,1,1,111,1056,-1
151,0,5,0,0,5,1,1,89,1128,-1
152,0,5,1,4,5,1,1,90,1799,1090
153,0,6,1,0,5,1,1,79,1081,1037
154,0,6,0,0,5,1,1,124,1053,-1
156,0,7,1,2,5,1,1,129,1480,1077
157,0,7,0,0,5,1,1,149,1223,-1
158,0,6,0,0,5,1,1,126,1217,-1
159,0,6,0,0,5,1,1,79,1184,-1
162,0,7,1,0,5,1,1,145,1363,1112
165,0,6,1,0,5,1,1,98,1214,1185
168,0,6,0,0,5,1,1,111,1270,-1
169,0,8,1,0,5,1,1,156,1422,1104
173,0,7,1,0,5,1,1,129,1668,1186
174,0,6,1,0,5,1,1,152,1508,1114
176,0,5,1,0,5,1,1,90,1590,1124
177,0,8,1,0,5,1,1,156,1389,1211
179,0,6,1,1,5,1,1,152,1590,1315
181,0,7,1,3,5,1,1,145,1799,1315
182,0,4,0,0,5,1,1,113,1265,-1
183,0,9,0,0,5,1,1,169,1422,-1
184,0,6,0,0,5,1,1,124,1239,-1
186,0,7,0,0,5,1,1,114,1268,-1
188,0,5,0,0,5,1,1,90,1279,-1
189,0,8,0,0,5,1,1,162,1255,-1
