second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,3,0,0,0,0
20,0,3,0,0,0,0
30,0,3,0,0,0,0
40,0,3,0,0,0,0
50,0,3,0,0,0,0
60,0,4,1,1,0,0
70,0,6,3,1,2,0
80,0,6,3,1,2,0
90,0,8,5,1,3,0
100,0,9,6,2,3,0
110,0,10,7,2,3,0
120,0,11,8,2,4,0
130,0,11,8,2,4,0
140,0,12,9,2,4,0
150,0,14,11,2,5,0
160,0,17,14,2,8,0
170,0,20,17,3,10,0
180,0,22,19,3,10,0
190,0,25,22,3,12,0
200,0,26,23,3,13,0
210,0,32,29,4,18,0
220,0,34,31,4,20,0
230,0,38,35,4,22,0
240,0,36,35,4,22,0
250,0,37,36,4,22,0
260,0,38,37,4,23,0
270,0,39,38,4,24,0
280,0,39,38,4,24,0
290,0,39,38,4,24,0
300,0,40,39,4,24,0
310,0,40,39,4,24,0
320,0,39,39,4,24,0
330,0,39,40,4,24,0
340,0,40,41,4,25,0
350,0,40,41,4,25,0
360,0,39,41,4,25,0
370,0,39,42,4,25,0
380,0,40,43,4,26,0
390,0,40,43,4,26,0
400,0,39,43,4,26,0
410,0,41,45,4,27,0
420,0,41,45,4,27,0
430,0,41,45,4,27,0
440,0,39,45,4,27,0
450,0,40,47,4,28,0
460,0,40,48,4,29,0
470,0,42,50,4,30,0
480,0,40,50,4,30,0
490,0,40,51,4,30,0
500,0,41,52,4,31,0
510,0,42,53,4,32,0
520,0,42,53,4,32,0
530,0,41,53,4,32,0
540,0,40,53,4,32,0
550,0,40,53,4,32,0
560,0,42,55,4,33,0
570,0,41,55,4,33,0
580,0,42,56,4,34,0
590,0,42,56,4,34,0
600,0,41,56,4,34,0
610,0,42,57,4,35,0
620,0,42,57,4,35,0
630,0,42,59,4,35,0
640,0,43,60,4,36,0
650,0,44,61,4,37,0
660,0,43,61,4,37,0
670,0,44,62,4,38,0
680,0,44,62,4,38,0
690,0,44,62,4,38,0
700,0,43,62,4,38,0
710,0,45,64,4,40,0
720,0,45,64,4,40,0
730,0,45,65,4,41,0
740,0,45,65,4,41,0
750,0,45,65,4,41,0
760,0,45,65,4,41,0
770,0,45,65,4,41,0
780,0,45,65,4,41,0
790,0,45,65,4,41,0
800,0,45,65,4,41,0
810,0,45,65,4,41,0
820,0,45,65,4,41,0
830,0,46,66,4,42,0
840,0,46,66,4,42,0
850,0,46,66,4,42,0
860,0,46,66,4,42,0
870,0,46,66,4,42,0
880,0,46,66,4,42,0
890,0,46,66,4,42,0
900,0,46,66,4,42,0
910,0,46,66,4,42,0
920,0,46,66,4,42,0
930,0,46,66,4,42,0
940,0,46,66,4,42,0
950,0,46,66,4,42,0
960,0,46,66,4,42,0
970,0,46,66,4,42,0
980,0,46,66,4,42,0
990,0,46,66,4,42,0
1000,0,46,66,4,42,0
1010,0,46,66,4,42,0
1020,0,46,66,4,42,0
1030,0,46,66,4,42,0
1040,0,46,66,4,42,0
1050,0,46,66,4,42,0
1060,0,46,66,4,42,0
1070,0,46,66,4,42,0
1080,0,46,66,4,42,0
1090,0,46,66,4,42,0
1100,0,46,66,4,42,0
1110,0,46,66,4,42,0
1120,0,46,66,4,42,0
1130,0,46,66,4,42,0
1140,0,46,66,4,42,0
1150,0,46,66,4,42,0
1160,0,46,66,4,42,0
1170,0,46,66,4,42,0
1180,0,47,67,4,43,1
1190,0,47,67,4,43,1
1200,0,47,67,4,43,1
1210,0,47,67,4,43,1
1220,0,47,67,4,43,1
1230,0,47,67,4,43,1
1240,0,47,67,4,43,1
1250,0,47,67,4,43,1
1260,0,47,67,4,43,1
1270,0,47,67,4,43,1
1280,0,47,67,4,43,1
1290,0,47,67,4,43,1
1300,0,47,67,4,43,1
1310,0,47,67,4,43,1
1320,0,47,67,4,43,1
1330,0,47,67,4,43,1
1340,0,47,67,4,43,1
1350,0,47,67,4,43,1
1360,0,47,67,4,43,1
1370,0,47,67,4,43,1
1380,0,47,67,4,43,1
1390,0,47,67,4,43,1
1400,0,47,67,4,43,1
1410,0,47,67,4,43,1
1420,0,47,67,4,43,1
1430,0,46,67,4,43,1
1440,0,47,68,4,43,2
1450,0,47,68,4,43,2
1460,0,47,68,4,43,2
1470,0,47,68,4,43,2
1480,0,47,68,4,43,2
1490,0,47,68,4,43,2
1500,0,47,68,4,43,2
1510,0,47,68,4,43,2
1520,0,47,68,4,43,2
1530,0,47,68,4,43,2
1540,0,47,68,4,43,2
1550,0,47,68,4,43,2
1560,0,46,68,4,43,2
1570,0,47,69,4,43,3
1580,0,47,69,4,43,3
1590,0,47,69,4,43,3
1600,0,46,69,4,43,3
1610,0,47,70,4,44,4
1620,0,47,70,4,44,4
1630,0,48,71,4,44,5
1640,0,48,71,4,44,5
1650,0,48,71,4,44,5
1660,0,48,71,4,44,5
1670,0,48,71,4,44,5
1680,0,48,71,4,44,5
1690,0,48,71,4,44,5
1700,0,47,71,4,44,5
1710,0,47,71,4,44,5
1720,0,47,71,4,44,5
1730,0,47,71,4,44,5
1740,0,47,71,4,44,5
1750,0,47,71,4,44,5
1760,0,47,71,4,44,5
1770,0,47,71,4,44,5
1780,0,46,71,4,44,5
1790,0,48,73,4,46,7
1799,0,49,74,4,47,8
