second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,3,0,0,0,0
20,0,3,0,0,0,0
30,0,3,0,0,0,0
40,0,5,2,1,1,0
50,0,6,3,2,1,0
60,0,10,7,3,1,0
70,0,15,12,3,4,0
80,0,16,14,3,4,0
90,0,18,16,3,5,0
100,0,21,20,3,8,0
110,0,23,23,3,9,0
120,0,25,26,3,11,0
130,0,29,30,4,13,0
140,0,33,34,4,15,0
150,0,32,35,4,16,0
160,0,34,37,4,17,0
170,0,30,37,4,17,0
180,0,32,41,5,20,0
190,0,30,43,5,21,0
200,0,32,46,5,24,0
210,0,32,50,5,27,0
220,0,35,53,5,30,0
230,0,35,53,5,30,0
240,0,35,54,5,31,0
250,0,34,54,5,31,0
260,0,31,55,5,31,0
270,0,32,56,5,32,0
280,0,34,59,5,35,0
290,0,35,62,5,37,0
300,0,36,65,6,39,0
310,0,35,66,6,40,0
320,0,35,66,6,40,0
330,0,35,67,6,41,0
340,0,34,68,6,42,0
350,0,35,69,6,43,0
360,0,34,69,6,43,0
370,0,35,71,6,44,0
380,0,34,71,6,44,0
390,0,34,72,6,45,0
400,0,36,74,6,45,0
410,0,36,74,6,45,0
420,0,37,76,6,47,0
430,0,36,76,6,47,0
440,0,34,76,6,47,0
450,0,34,78,6,49,0
460,0,37,82,6,53,0
470,0,36,82,6,53,0
480,0,34,82,6,53,0
490,0,34,83,6,54,0
500,0,36,86,6,57,0
510,0,35,86,6,57,0
520,0,36,87,6,58,0
530,0,36,88,6,59,0
540,0,36,89,6,60,0
550,0,35,89,6,60,0
560,0,35,91,6,62,0
570,0,35,92,6,63,0
580,0,35,93,6,64,0
590,0,37,97,6,68,0
600,0,37,98,6,69,0
610,0,37,98,6,69,0
620,0,37,99,6,70,0
630,0,36,99,6,70,0
640,0,36,99,6,70,0
650,0,35,99,6,70,0
660,0,34,101,6,72,0
670,0,37,104,6,75,0
680,0,36,105,6,76,0
690,0,37,108,6,78,0
700,0,38,110,6,80,0
710,0,35,110,6,80,0
720,0,36,112,6,82,0
730,0,36,114,6,84,0
740,0,35,115,6,85,0
750,0,35,118,6,87,0
760,0,36,119,6,88,0
770,0,35,119,6,88,0
780,0,33,120,6,89,0
790,0,37,124,6,93,0
800,0,35,124,6,93,0
810,0,35,124,6,93,0
820,0,36,125,6,93,0
830,0,34,126,6,94,0
840,0,35,127,6,95,0
850,0,33,127,6,95,0
860,0,32,129,6,96,0
870,0,36,133,6,100,0
880,0,34,133,6,100,0
890,0,35,135,7,102,0
900,0,35,137,7,103,0
910,0,33,137,7,103,0
920,0,32,137,7,103,0
930,0,37,142,7,108,0
940,0,36,143,7,109,0
950,0,36,144,7,110,0
960,0,36,144,7,110,0
970,0,37,145,7,111,0
980,0,37,146,7,112,0
990,0,34,148,7,114,0
1000,0,35,150,7,116,0
1010,0,34,150,7,116,0
1020,0,36,153,7,119,0
1030,0,37,155,7,121,0
1040,0,35,155,7,121,0
1050,0,36,158,7,124,0
1060,0,34,158,7,124,0
1070,0,30,159,7,125,0
1080,0,30,163,7,129,0
1090,0,32,168,8,134,0
1100,0,36,172,8,138,0
1110,0,36,172,8,138,0
1120,0,34,172,8,138,0
1130,0,35,173,8,139,0
1140,0,34,174,8,140,0
1150,0,31,175,8,141,0
1160,0,33,178,8,144,0
1170,0,30,178,8,144,0
1180,0,30,181,8,147,0
1190,0,31,183,8,149,0
1200,0,35,187,9,153,0
1210,0,37,190,9,156,0
1220,0,37,191,10,157,0
1230,0,38,192,10,158,0
1240,0,38,192,10,158,0
1250,0,38,194,10,160,0
1260,0,36,195,10,161,0
1270,0,38,197,11,163,0
1280,0,36,199,12,165,0
1290,0,34,201,12,167,0
1300,0,36,203,13,169,0
1310,0,36,205,14,171,0
1320,0,37,207,14,173,0
1330,0,35,207,14,173,0
1340,0,33,207,14,173,0
1350,0,33,209,14,175,0
1360,0,32,210,14,176,0
1370,0,33,212,14,178,0
1380,0,31,213,14,179,0
1390,0,32,216,15,182,0
1400,0,29,217,16,183,0
1410,0,32,221,16,187,0
1420,0,34,223,16,189,0
1430,0,33,225,16,191,0
1440,0,35,229,16,195,0
1450,0,34,231,17,197,0
1460,0,34,232,17,198,0
1470,0,36,234,17,200,0
1480,0,36,235,17,201,0
1490,0,37,236,17,202,0
1500,0,37,237,17,203,0
1510,0,38,239,17,205,0
1520,0,38,240,17,206,0
1530,0,37,241,17,207,0
1540,0,37,242,17,208,0
1550,0,34,243,17,209,0
1560,0,36,245,17,211,0
1570,0,36,245,17,211,0
1580,0,35,247,18,213,0
1590,0,38,251,18,217,0
1600,0,38,252,18,218,0
1610,0,39,253,18,219,0
1620,0,38,254,18,220,0
1630,0,39,258,18,224,0
1640,0,41,261,18,227,0
1650,0,38,261,18,227,0
1660,0,41,264,18,230,0
1670,0,39,264,18,230,0
1680,0,42,268,18,234,0
1690,0,42,269,18,235,0
1700,0,42,269,18,235,0
1710,0,42,270,18,236,0
1720,0,42,270,18,236,0
1730,0,43,271,18,237,0
1740,0,41,271,18,237,0
1750,0,43,274,18,240,0
1760,0,43,274,18,240,0
1770,0,44,276,18,242,0
1780,0,44,276,18,242,0
1790,0,44,277,18,243,0
1800,0,43,278,18,244,0
1810,0,43,278,18,244,0
1820,0,43,278,18,244,0
1830,0,43,278,18,244,0
1840,0,41,278,18,244,0
1850,0,42,279,18,245,0
1860,0,42,279,18,245,0
1870,0,41,279,18,245,0
1880,0,41,280,18,246,0
1890,0,43,282,18,248,0
1900,0,43,283,18,249,0
1910,0,44,285,18,251,0
1920,0,44,285,18,251,0
1930,0,43,286,18,252,0
1940,0,44,287,18,253,0
1950,0,44,287,18,253,0
1960,0,44,287,18,253,0
1970,0,44,287,18,253,0
1980,0,43,287,18,253,0
1990,0,44,288,18,254,0
2000,0,43,289,18,255,0
2010,0,42,290,18,256,0
2020,0,42,291,18,257,0
2030,0,41,291,18,257,0
