id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,1,6,0,1,4294967295,76,-1
1,0,0,1,4,6,0,1,4294967295,208,-1
2,0,0,1,2,6,0,1,4294967295,329,-1
3,0,1,1,3,6,0,1,0,205,30
4,0,1,1,3,6,0,1,1,145,50
5,0,1,1,4,6,1,1,2,497,38
6,0,2,1,2,6,0,1,3,160,47
7,0,1,0,0,6,1,1,0,76,-1
8,0,1,1,3,6,0,1,2,185,56
9,0,3,1,2,6,0,1,6,183,54
10,0,2,1,1,6,0,1,4,102,57
11,0,2,1,2,6,1,1,5,250,102
12,0,4,0,0,6,1,1,9,74,-1
13,0,1,1,3,6,0,1,1,474,67
14,0,2,1,6,6,1,1,3,486,66
15,0,2,1,0,6,1,1,8,97,64
16,0,3,1,0,6,1,1,10,112,64
17,0,3,1,0,6,0,1,6,170,68
18,0,2,1,4,6,0,1,4,293,70
19,0,3,1,1,6,1,1,14,281,94
20,0,2,1,0,6,1,1,13,437,89
21,0,2,1,1,6,0,1,8,163,77
22,0,2,1,0,6,0,1,3,186,131
23,0,1,1,2,6,0,1,1,144,86
24,0,3,1,1,6,0,1,18,254,116
25,0,4,1,4,6,0,1,9,444,132
26,0,3,1,5,6,1,1,21,597,131
27,0,4,0,0,6,1,1,16,112,-1
28,0,2,1,5,6,0,1,8,584,100
29,0,2,1,0,6,1,1,4,165,93
30,0,2,1,0,6,0,1,23,179,93
31,0,1,1,2,6,1,1,1,293,99
33,0,3,0,0,6,0,1,30,112,-1
34,0,3,0,0,6,1,1,29,120,-1
35,0,2,1,0,6,1,1,13,455,136
36,0,2,1,1,6,0,1,23,238,122
37,0,2,0,0,6,0,1,4,129,-1
38,0,3,1,0,6,0,1,28,165,108
39,0,3,1,1,6,1,1,14,244,118
41,0,4,0,0,6,0,1,17,170,-1
42,0,3,1,3,6,1,1,11,257,111
43,0,1,0,0,6,0,1,1,136,-1
44,0,4,1,1,6,1,1,42,288,129
46,0,4,1,0,6,1,1,19,207,129
47,0,4,1,2,6,0,1,24,437,202
48,0,3,1,1,6,1,1,11,331,183
49,0,2,1,14,6,1,1,5,1149,174
51,0,3,1,2,6,0,1,36,379,129
52,0,2,1,1,6,1,1,31,302,178
53,0,3,1,0,6,1,1,18,306,149
55,0,2,0,0,6,1,1,8,185,-1
57,0,3,1,0,6,1,1,14,186,150
58,0,4,0,0,6,1,1,19,185,-1
59,0,4,1,0,6,0,1,9,199,159
60,0,2,0,0,6,0,1,13,208,-1
61,0,3,0,0,6,1,1,14,180,-1
63,0,3,1,1,6,1,1,18,416,204
65,0,3,0,0,6,0,1,22,184,-1
67,0,5,1,4,6,0,1,25,645,172
68,0,2,0,0,6,1,1,3,205,-1
69,0,4,1,0,6,1,1,26,204,177
71,0,5,1,0,6,0,1,25,257,187
74,0,3,0,0,6,0,1,36,238,-1
75,0,2,0,0,6,1,1,5,212,-1
76,0,4,1,1,6,1,1,39,546,190
77,0,4,1,3,6,1,1,42,684,191
79,0,5,1,0,6,1,1,44,507,192
81,0,4,0,0,6,1,1,48,253,-1
84,0,3,1,0,6,1,1,49,272,200
85,0,2,1,1,6,1,1,31,524,230
86,0,3,0,0,6,1,1,11,250,-1
88,0,4,1,0,6,1,1,26,367,200
90,0,3,1,3,6,1,1,14,892,211
91,0,3,1,0,6,1,1,28,559,272
92,0,3,0,0,6,1,1,35,241,-1
94,0,4,1,2,6,1,1,26,714,281
95,0,4,0,0,6,1,1,39,244,-1
96,0,4,1,0,6,1,1,42,385,216
97,0,3,1,1,6,1,1,18,677,219
98,0,4,0,0,7,1,0,24,254,-1
99,0,2,1,0,6,1,1,13,335,298
100,0,3,0,0,6,0,1,18,293,-1
101,0,4,0,0,6,1,1,19,281,-1
103,0,5,1,5,6,1,1,25,739,281
104,0,5,0,0,6,1,1,44,288,-1
106,0,5,1,1,6,0,1,47,655,258
107,0,2,1,6,6,1,1,5,822,308
110,0,2,0,0,6,1,1,31,293,-1
112,0,4,1,0,6,1,1,48,357,277
113,0,4,1,1,6,1,1,51,703,265
114,0,3,1,3,6,1,1,52,740,270
115,0,5,0,0,6,0,1,47,304,-1
117,0,4,1,1,6,0,1,51,727,284
118,0,4,0,0,6,1,1,53,306,-1
120,0,4,1,0,6,1,1,63,445,293
121,0,6,1,0,6,0,1,67,475,295
122,0,4,1,1,6,1,1,26,748,456
124,0,4,0,0,6,1,1,51,379,-1
126,0,1,0,0,6,0,1,2,329,-1
127,0,3,1,0,6,1,1,14,624,326
129,0,3,1,5,6,0,1,28,1064,368
130,0,3,0,0,6,1,1,35,422,-1
132,0,4,0,0,6,1,1,48,331,-1
133,0,4,0,0,6,1,1,63,362,-1
134,0,2,1,0,6,1,1,5,552,336
135,0,2,0,0,6,1,1,13,415,-1
138,0,3,1,2,6,1,1,49,827,368
140,0,6,1,0,6,1,1,67,580,342
141,0,3,1,0,6,1,1,14,539,385
144,0,2,0,0,6,1,1,5,497,-1
145,0,6,0,0,6,1,1,67,404,-1
147,0,5,1,1,6,1,1,25,775,413
148,0,3,0,0,6,1,1,20,437,-1
149,0,3,1,0,6,0,1,28,748,390
150,0,5,1,0,6,0,1,47,429,392
151,0,3,1,0,6,1,1,49,672,419
153,0,5,0,0,6,0,1,47,437,-1
154,0,3,0,0,6,1,1,14,486,-1
155,0,5,0,0,6,0,1,25,444,-1
157,0,3,1,0,6,1,1,28,577,518
159,0,3,1,0,6,1,1,49,569,451
161,0,5,1,0,6,1,1,76,469,446
162,0,5,1,0,6,1,1,77,792,444
163,0,6,0,0,6,1,1,79,507,-1
165,0,3,1,2,6,1,1,85,874,451
166,0,4,1,0,6,1,1,90,700,452
167,0,6,1,0,6,1,1,67,774,496
169,0,3,1,1,6,1,1,49,856,490
170,0,5,0,0,6,1,1,76,495,-1
172,0,5,1,0,6,1,1,77,693,486
173,0,4,1,1,6,1,1,26,822,497
174,0,5,1,1,6,1,1,77,885,583
175,0,3,0,0,6,1,1,85,524,-1
176,0,3,1,0,6,1,1,49,610,524
177,0,4,0,0,6,1,1,26,597,-1
178,0,4,1,0,6,1,1,90,731,530
180,0,4,0,0,6,1,1,91,552,-1
181,0,3,1,5,6,1,1,49,1040,550
183,0,3,0,0,6,0,1,28,580,-1
184,0,4,1,3,6,1,1,90,990,557
186,0,5,1,0,6,1,1,94,872,581
188,0,4,1,1,6,1,1,97,944,563
190,0,3,1,0,6,1,1,49,854,664
192,0,6,1,0,6,1,1,103,895,578
195,0,6,1,0,7,1,0,67,653,588
196,0,6,1,2,6,1,1,106,1002,587
198,0,3,1,0,6,1,1,107,659,591
199,0,6,0,0,6,0,1,67,645,-1
200,0,6,1,3,6,1,1,103,1070,617
202,0,6,0,0,6,1,1,106,655,-1
204,0,4,0,0,6,1,1,90,662,-1
205,0,5,1,0,6,1,1,94,763,655
206,0,4,0,0,6,1,1,97,669,-1
208,0,6,1,0,6,1,1,103,723,659
209,0,3,1,0,6,1,1,107,686,666
211,0,5,1,0,6,1,1,113,794,666
212,0,5,0,0,7,1,0,77,679,-1
214,0,5,0,0,6,1,1,94,714,-1
217,0,6,1,3,6,1,1,103,1133,677
218,0,4,1,0,6,1,1,114,706,680
219,0,5,1,0,6,0,1,117,917,683
220,0,3,1,0,6,1,1,107,933,686
221,0,4,0,0,6,1,1,90,744,-1
223,0,6,1,6,6,1,1,103,1282,693
225,0,4,1,2,6,1,1,114,1081,699
227,0,3,1,0,6,1,1,49,853,719
229,0,6,0,0,6,1,1,103,739,-1
231,0,3,1,0,6,1,1,107,773,714
233,0,4,1,0,6,1,0,114,849,721
234,0,5,1,0,6,1,1,122,938,725
236,0,3,1,3,6,1,1,107,1424,730
237,0,3,0,0,6,1,1,49,805,-1
239,0,4,1,0,6,0,1,129,1062,744
240,0,4,1,0,6,1,1,138,1040,746
243,0,6,1,0,6,1,1,147,848,747
244,0,6,0,0,6,1,1,162,792,-1
246,0,4,1,0,6,1,1,165,981,751
248,0,7,0,0,6,1,1,167,774,-1
250,0,4,1,0,6,1,1,169,1033,783
252,0,4,0,0,6,1,1,90,792,-1
253,0,3,1,5,6,1,1,107,1313,779
255,0,4,1,0,6,0,1,129,980,818
256,0,4,1,1,6,1,1,138,1083,782
257,0,4,1,0,6,1,1,165,1081,785
258,0,5,1,3,6,1,1,173,1272,786
260,0,3,0,0,6,1,1,107,815,-1
262,0,4,0,0,6,1,1,138,818,-1
263,0,4,0,0,6,1,1,165,874,-1
265,0,4,0,0,6,1,1,90,892,-1
267,0,4,0,0,6,1,1,169,856,-1
268,0,6,1,1,6,1,1,174,1115,850
270,0,4,1,0,6,1,1,181,1053,829
272,0,5,1,0,6,1,1,184,1013,833
273,0,6,0,0,6,1,1,186,872,-1
275,0,3,1,3,6,1,1,49,1276,863
277,0,4,1,0,6,0,1,129,1031,859
278,0,4,1,7,6,1,1,181,1397,860
279,0,5,1,0,6,1,1,184,903,862
280,0,5,1,3,6,1,1,188,1185,865
281,0,7,0,0,6,1,1,192,895,-1
283,0,4,1,0,6,0,1,129,902,891
285,0,4,1,1,6,1,1,181,1248,882
286,0,5,1,0,6,1,1,184,981,970
287,0,7,1,1,6,1,1,196,1119,886
289,0,3,1,0,6,1,1,49,976,923
290,0,7,1,0,6,1,1,200,1056,896
291,0,7,1,1,6,1,1,217,1169,928
293,0,6,0,0,6,1,1,219,917,-1
294,0,4,0,0,6,1,1,129,975,-1
296,0,4,0,0,6,1,1,220,925,-1
297,0,7,0,0,6,1,1,200,950,-1
298,0,7,1,0,6,1,1,196,1072,927
300,0,7,1,0,6,1,1,223,983,924
301,0,5,1,0,6,1,1,225,985,928
303,0,4,1,0,6,1,1,236,1067,933
305,0,3,1,0,6,1,1,49,1021,967
306,0,4,1,1,6,1,1,181,1164,945
308,0,7,0,0,6,1,1,196,1002,-1
309,0,4,1,0,6,1,1,181,1063,981
311,0,3,1,0,6,1,1,49,1068,1010
313,0,7,1,0,6,1,1,200,1170,987
315,0,7,1,0,6,1,1,217,1130,996
316,0,5,1,0,6,1,1,225,1075,1026
317,0,4,1,1,6,1,1,236,1214,991
319,0,5,0,0,6,0,1,239,1010,-1
321,0,4,0,0,6,1,1,181,1011,-1
323,0,4,1,1,6,1,1,129,1356,1029
324,0,7,1,0,6,1,1,200,1142,1014
325,0,7,1,2,6,1,1,217,1377,1046
326,0,7,1,2,6,1,1,223,1364,1018
327,0,5,0,0,6,1,1,240,1040,-1
330,0,3,1,0,6,1,1,49,1170,1076
332,0,7,0,0,6,1,1,200,1051,-1
335,0,4,1,0,6,1,1,236,1545,1244
336,0,4,0,0,6,1,1,129,1064,-1
337,0,4,1,2,6,1,1,253,1329,1046
339,0,5,1,0,6,1,1,256,1073,1047
340,0,7,1,3,6,1,1,223,1380,1139
343,0,5,0,0,6,1,1,257,1079,-1
344,0,4,1,0,6,1,1,253,1143,1084
347,0,5,0,0,6,1,1,256,1083,-1
348,0,6,1,3,6,1,1,258,1408,1068
350,0,7,1,0,6,1,1,268,1207,1071
352,0,4,1,0,6,1,1,275,1250,1073
354,0,5,1,1,6,1,1,278,1438,1091
355,0,7,0,0,6,1,1,217,1133,-1
357,0,6,1,0,6,1,1,280,1251,1077
359,0,5,1,0,6,1,1,285,1270,1089
360,0,8,1,0,6,1,1,287,1140,1080
363,0,6,1,4,6,1,1,258,1622,1095
364,0,7,0,0,6,1,1,268,1115,-1
365,0,8,1,0,6,1,1,291,1241,1086
368,0,5,1,0,6,1,1,306,1155,1088
369,0,3,0,0,6,1,1,49,1138,-1
370,0,4,1,0,6,1,1,275,1284,1094
371,0,6,1,0,6,1,1,280,1392,1094
373,0,4,1,0,6,1,1,253,1169,1123
374,0,6,1,1,6,1,1,258,1440,1203
375,0,4,1,3,6,1,1,275,1530,1205
377,0,4,1,0,6,1,1,253,1389,1156
379,0,5,1,5,6,1,1,278,1647,1144
380,0,6,1,0,6,1,1,280,1175,1155
382,0,5,0,0,6,1,1,306,1164,-1
384,0,5,0,0,6,1,1,285,1183,-1
385,0,8,0,0,6,1,1,313,1170,-1
386,0,5,1,0,6,1,1,317,1278,1153
387,0,5,1,2,6,1,1,278,1503,1207
389,0,7,1,1,6,1,1,223,1422,1193
391,0,4,0,0,6,1,1,253,1186,-1
392,0,5,1,1,6,1,1,323,1453,1191
393,0,8,1,1,6,1,1,325,1492,1176
396,0,8,1,3,6,1,1,326,1875,1176
398,0,5,1,0,6,1,1,337,1392,1178
399,0,8,1,0,6,1,1,340,1548,1182
400,0,7,1,0,6,1,1,348,1283,1182
402,0,9,1,1,5,1,0,393,1343,1191
405,0,5,0,0,6,1,1,317,1214,-1
406,0,8,1,0,6,1,1,326,1251,1197
407,0,5,0,0,6,1,1,352,1250,-1
408,0,10,1,3,5,1,0,402,1541,1213
410,0,4,1,0,6,1,1,253,1287,1220
411,0,11,1,1,5,1,0,408,1327,1267
412,0,10,0,0,5,1,0,402,1343,-1
414,0,7,1,7,6,1,1,223,2153,1247
416,0,4,0,0,6,1,1,253,1280,-1
418,0,4,0,0,6,1,1,275,1276,-1
420,0,5,1,0,6,1,1,278,1637,1257
422,0,5,0,0,6,1,1,323,1298,-1
423,0,7,1,0,6,1,1,223,1308,1261
424,0,12,1,2,5,1,0,411,1353,1276
426,0,5,1,0,6,1,1,278,1301,1278
427,0,11,1,0,5,1,0,408,1371,1301
428,0,13,1,1,5,1,0,424,1349,1294
429,0,4,0,0,6,1,1,236,1424,-1
430,0,8,1,0,6,1,1,325,1474,1287
431,0,5,1,0,6,1,1,337,1336,1288
433,0,8,1,0,6,1,1,340,1334,1290
435,0,12,0,0,5,1,0,411,1327,-1
436,0,4,0,0,6,1,1,253,1313,-1
