id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,3,7,0,1,4294967295,588,-1
1,0,0,1,1,7,0,1,4294967295,213,-1
2,0,0,1,4,7,0,1,4294967295,334,-1
3,0,1,1,1,7,1,1,0,105,11
4,0,1,1,1,7,1,1,1,151,24
5,0,1,1,3,7,1,1,2,156,13
6,0,2,1,3,7,1,1,3,571,51
7,0,2,1,0,7,1,1,5,114,23
8,0,1,1,2,7,0,1,0,224,32
9,0,1,1,1,7,1,1,2,257,146
10,0,3,0,0,7,1,1,7,73,-1
11,0,2,1,3,7,1,1,4,271,68
12,0,2,1,0,7,1,1,5,107,57
13,0,1,0,0,7,1,1,1,213,-1
14,0,2,1,1,7,0,1,8,180,90
15,0,3,0,0,7,1,1,6,110,-1
16,0,3,0,0,7,1,1,12,100,-1
17,0,2,0,0,7,1,1,3,105,-1
18,0,3,1,1,7,1,1,11,376,103
19,0,1,1,2,7,0,1,0,332,85
20,0,2,0,0,7,1,1,4,151,-1
21,0,2,1,0,7,1,1,19,238,153
22,0,3,1,2,7,0,1,14,290,117
23,0,2,1,0,7,1,1,5,151,117
24,0,2,1,0,7,0,1,8,190,149
26,0,4,0,0,7,1,1,18,154,-1
27,0,1,0,0,7,0,1,0,150,-1
32,0,3,1,0,7,1,1,11,226,135
33,0,3,1,2,7,1,1,6,401,136
35,0,4,1,0,7,0,1,22,408,205
36,0,2,0,0,7,1,1,5,156,-1
37,0,4,0,0,7,1,1,32,226,-1
38,0,3,1,0,7,1,1,6,345,280
39,0,3,1,3,7,1,1,11,604,190
40,0,4,1,4,7,1,1,33,995,264
41,0,2,1,0,7,1,1,9,229,158
45,0,1,1,0,7,0,1,2,254,190
46,0,2,0,0,7,1,1,8,224,-1
48,0,3,0,0,7,1,1,41,229,-1
49,0,2,1,0,4,1,0,19,234,164
50,0,3,0,0,7,1,1,21,203,-1
51,0,2,0,0,7,1,1,9,239,-1
52,0,2,0,0,7,0,1,19,332,-1
55,0,4,1,1,7,1,1,18,344,280
56,0,2,0,0,7,1,1,45,254,-1
57,0,4,1,1,7,1,1,39,354,296
58,0,1,1,2,7,0,1,2,586,215
59,0,3,0,0,7,1,1,11,271,-1
60,0,4,1,1,7,0,1,22,447,220
63,0,5,0,0,7,0,1,35,408,-1
64,0,2,0,0,7,0,1,58,265,-1
67,0,4,0,0,7,0,1,22,290,-1
68,0,5,1,1,7,1,1,60,349,258
72,0,5,0,0,7,0,1,60,329,-1
73,0,6,1,0,7,1,1,68,334,291
74,0,4,1,1,7,1,1,33,420,317
75,0,4,0,0,7,1,1,38,345,-1
76,0,5,1,0,7,1,1,55,337,288
77,0,3,0,0,7,1,1,6,362,-1
78,0,4,0,0,7,1,1,18,376,-1
79,0,6,0,0,7,1,1,76,324,-1
80,0,7,0,0,7,1,1,73,334,-1
81,0,2,0,0,7,1,1,58,351,-1
82,0,5,1,0,7,1,1,57,346,304
83,0,6,0,0,7,1,1,68,341,-1
84,0,4,1,2,7,1,1,39,519,320
