second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,5,2,1,2,0
20,0,5,2,1,2,0
30,0,7,4,2,3,0
40,0,7,4,2,3,0
50,0,7,4,2,3,0
60,0,6,4,2,3,0
70,0,4,5,2,4,0
80,0,4,6,3,5,0
90,0,4,6,3,5,0
100,0,5,7,3,5,0
110,0,5,7,3,5,0
120,0,4,7,3,5,0
130,0,4,7,3,5,0
140,0,3,7,3,5,0
150,0,3,7,3,5,0
160,0,3,7,3,5,0
170,0,3,7,3,5,0
180,0,2,7,3,5,0
190,0,1,7,3,5,0
200,0,1,7,3,5,0
210,0,1,7,3,5,0
220,0,2,8,3,6,0
230,0,2,8,3,6,0
240,0,2,8,3,6,0
250,0,2,8,3,6,0
260,0,1,8,3,6,0
270,0,2,9,3,7,0
280,0,2,9,3,7,0
290,0,3,10,4,8,0
300,0,3,10,4,8,0
310,0,3,10,4,8,0
320,0,2,10,4,8,0
330,0,2,10,4,8,0
340,0,2,10,4,8,0
350,0,2,10,4,8,0
360,0,2,10,4,8,0
370,0,2,10,4,8,0
380,0,1,10,4,8,0
390,0,1,10,4,8,0
400,0,1,10,4,8,0
410,0,1,10,4,8,0
420,0,1,10,4,8,0
430,0,1,10,4,8,0
440,0,1,10,4,8,0
450,0,1,10,4,8,0
