second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,6,3,1,3,0
20,0,6,3,1,3,0
30,0,10,8,3,5,0
40,0,12,10,3,6,0
50,0,13,11,3,7,0
60,0,14,15,3,9,0
70,0,18,20,3,12,0
80,0,24,26,4,17,0
90,0,30,35,4,25,0
100,0,41,48,5,36,0
110,0,40,52,5,39,0
120,0,41,56,5,43,0
130,0,38,65,5,52,0
140,0,42,75,6,62,0
150,0,46,81,6,68,0
160,0,38,83,6,70,0
170,0,40,93,6,80,0
180,0,42,96,6,83,0
190,0,36,99,6,86,0
200,0,36,104,7,91,0
210,0,31,107,7,94,0
220,0,27,108,7,95,0
230,0,28,115,8,102,0
240,0,32,123,8,110,0
250,0,36,129,8,116,0
260,0,36,134,8,121,0
270,0,34,140,9,127,0
280,0,37,146,10,133,0
290,0,37,156,11,143,0
300,0,39,161,11,148,0
310,0,37,166,11,153,0
320,0,34,173,11,160,0
330,0,34,179,11,166,0
340,0,37,184,11,171,0
350,0,33,188,12,175,0
360,0,37,198,12,185,0
370,0,36,202,12,189,0
380,0,38,207,12,194,0
390,0,35,211,12,198,0
400,0,33,216,12,203,0
410,0,32,223,12,210,0
420,0,34,229,12,216,0
430,0,39,237,13,224,0
440,0,37,240,13,227,0
450,0,35,244,13,231,0
460,0,35,252,13,239,0
470,0,35,255,13,242,0
480,0,31,258,13,245,0
490,0,31,264,13,251,0
500,0,38,272,14,259,0
510,0,39,277,14,264,0
520,0,28,279,15,266,0
530,0,32,285,15,272,0
540,0,30,288,15,275,0
550,0,25,293,16,280,0
560,0,36,305,17,292,0
570,0,38,308,17,295,0
580,0,36,314,17,301,0
590,0,39,323,17,310,0
600,0,37,325,17,312,0
610,0,37,330,18,317,0
620,0,36,338,18,325,0
630,0,41,346,19,333,0
640,0,37,348,19,335,0
650,0,33,356,19,343,0
660,0,35,362,19,349,0
670,0,38,369,19,356,0
680,0,33,373,19,360,0
690,0,36,381,21,368,0
700,0,33,386,21,373,0
710,0,36,390,21,377,0
720,0,33,394,21,381,0
730,0,36,403,22,390,0
740,0,37,408,22,395,0
750,0,39,416,22,403,0
760,0,37,421,22,408,0
770,0,36,423,22,410,0
780,0,32,426,23,413,0
790,0,30,430,23,417,0
800,0,31,433,25,420,0
810,0,29,435,25,422,0
820,0,32,441,25,428,0
830,0,27,444,26,431,0
840,0,21,446,26,433,0
850,0,23,452,26,439,0
860,0,26,457,26,444,0
870,0,29,461,26,448,0
880,0,30,465,26,452,0
890,0,33,473,26,460,0
900,0,36,479,26,466,0
910,0,35,484,26,471,0
920,0,35,490,26,477,0
930,0,41,497,26,484,0
940,0,39,501,26,488,0
950,0,36,505,26,492,0
960,0,33,507,26,494,0
970,0,33,513,26,500,0
980,0,28,516,26,503,0
990,0,31,524,26,511,0
1000,0,33,530,26,517,0
1010,0,35,536,26,523,0
1020,0,40,546,26,533,0
1030,0,36,549,26,536,0
1040,0,33,551,26,538,0
1050,0,32,558,26,545,0
1060,0,36,564,26,551,0
1070,0,33,566,26,553,0
1080,0,31,571,26,558,0
1090,0,34,579,26,566,0
1100,0,33,582,26,569,0
1110,0,33,586,26,573,0
1120,0,35,591,26,578,0
1130,0,31,594,26,581,0
1140,0,28,598,26,585,0
1150,0,30,605,27,592,0
1160,0,29,608,28,595,0
1170,0,25,613,28,600,0
1180,0,26,619,29,606,0
1190,0,32,628,29,615,0
1200,0,33,633,29,620,0
1210,0,35,639,30,626,0
1220,0,38,646,30,633,0
1230,0,39,653,31,640,0
1240,0,38,657,31,644,0
1250,0,42,665,31,652,0
1260,0,39,669,31,656,0
1270,0,38,672,31,659,0
1280,0,38,681,32,668,0
1290,0,38,687,32,674,0
1300,0,37,691,32,678,0
1310,0,34,696,32,683,0
1320,0,35,701,32,688,0
1330,0,33,705,32,692,0
1340,0,35,713,32,700,0
1350,0,32,720,33,707,0
1360,0,32,724,33,711,0
1370,0,27,725,33,712,0
1380,0,31,730,33,717,0
1390,0,33,737,33,724,0
1400,0,29,738,33,725,0
1410,0,25,743,33,730,0
1420,0,31,751,34,738,0
1430,0,36,758,35,745,0
1440,0,33,762,35,749,0
1450,0,33,766,35,753,0
1460,0,32,769,35,756,0
1470,0,28,773,35,760,0
1480,0,28,780,35,767,0
1490,0,29,785,35,772,0
1500,0,32,790,35,777,0
1510,0,35,797,35,784,0
1520,0,33,804,35,791,0
1530,0,33,808,36,795,0
1540,0,30,810,36,797,0
1550,0,33,816,36,803,0
1560,0,31,819,36,806,0
1570,0,28,821,36,808,0
1580,0,26,826,36,813,0
1590,0,29,832,36,819,0
1600,0,34,838,36,825,0
1610,0,36,845,36,832,0
1620,0,38,852,36,839,0
1630,0,36,857,36,844,0
1640,0,39,861,36,848,0
1650,0,40,869,36,856,0
1660,0,37,874,36,861,0
1670,0,35,881,36,868,0
1680,0,37,889,36,876,0
1690,0,35,893,36,880,0
1700,0,35,895,36,882,0
1710,0,36,905,36,892,0
1720,0,38,913,37,900,0
1730,0,41,918,37,905,0
1740,0,39,925,37,912,0
1750,0,38,931,38,918,0
1760,0,36,933,38,920,0
1770,0,30,935,39,922,0
1780,0,34,946,40,933,0
1790,0,38,951,40,938,0
1800,0,36,953,40,940,0
1810,0,36,959,40,946,0
1820,0,34,965,40,952,0
1830,0,31,966,40,953,0
1840,0,26,969,40,956,0
1850,0,23,973,40,960,0
1860,0,24,976,40,963,0
1870,0,25,980,40,967,0
1880,0,29,986,40,973,0
1890,0,26,991,40,978,0
1900,0,28,997,40,984,0
1910,0,34,1004,40,991,0
1920,0,35,1010,40,997,0
1930,0,34,1015,40,1002,0
1940,0,37,1023,40,1010,0
1950,0,41,1029,41,1016,0
1960,0,35,1032,41,1019,0
1970,0,35,1037,41,1024,0
1980,0,36,1043,41,1030,0
1990,0,37,1048,41,1035,0
2000,0,39,1052,42,1039,0
2010,0,38,1059,43,1046,0
2020,0,38,1064,43,1051,0
2030,0,30,1065,43,1052,0
2040,0,33,1073,44,1060,0
2050,0,38,1081,44,1068,0
2060,0,36,1086,44,1073,0
2070,0,33,1089,44,1076,0
2080,0,33,1093,44,1080,0
2090,0,34,1099,44,1086,0
2100,0,33,1104,44,1091,0
2110,0,33,1112,45,1099,0
2120,0,37,1118,45,1105,0
2130,0,34,1122,45,1109,0
2140,0,30,1126,45,1113,0
2150,0,31,1132,46,1119,0
2160,0,31,1136,46,1123,0
2170,0,29,1139,46,1126,0
2180,0,31,1148,46,1135,0
2190,0,31,1150,46,1137,0
2200,0,35,1157,46,1144,0
2210,0,35,1161,47,1148,0
2220,0,40,1170,47,1157,0
2230,0,36,1173,47,1160,0
2240,0,33,1179,48,1166,0
2250,0,30,1184,49,1171,0
2260,0,36,1193,50,1180,0
2270,0,40,1200,50,1187,0
2280,0,38,1203,50,1190,0
2290,0,40,1209,50,1196,0
2300,0,36,1213,50,1200,0
2310,0,34,1218,50,1205,0
2320,0,36,1228,50,1215,0
2330,0,33,1229,50,1216,0
2340,0,33,1236,50,1223,0
2350,0,32,1240,50,1227,0
2360,0,30,1242,50,1229,0
2370,0,30,1250,50,1237,0
2380,0,34,1259,50,1246,0
2390,0,35,1264,50,1251,0
2400,0,37,1268,50,1255,0
2410,0,37,1274,50,1261,0
2420,0,37,1277,50,1264,0
2430,0,32,1280,50,1267,0
2440,0,26,1286,50,1273,0
2450,0,30,1294,50,1281,0
2460,0,28,1295,51,1282,0
2470,0,30,1301,51,1288,0
2480,0,30,1310,51,1297,0
2490,0,32,1315,52,1302,0
2500,0,34,1322,53,1309,0
2510,0,35,1329,53,1316,0
2520,0,32,1331,53,1318,0
2530,0,29,1335,53,1322,0
2540,0,28,1344,53,1331,0
2550,0,29,1348,53,1335,0
2560,0,28,1350,53,1337,0
2570,0,29,1355,53,1342,0
2580,0,37,1367,53,1354,0
2590,0,40,1371,53,1358,0
2600,0,38,1376,53,1363,0
2610,0,41,1387,53,1374,0
2620,0,44,1391,53,1378,0
2630,0,36,1392,53,1379,0
2640,0,39,1400,53,1387,0
2650,0,36,1402,53,1389,0
2660,0,39,1410,53,1397,0
2670,0,40,1418,53,1405,0
2680,0,40,1425,54,1412,0
2690,0,38,1428,54,1415,0
2700,0,31,1433,54,1420,0
2710,0,32,1442,54,1429,0
2720,0,35,1448,54,1435,0
2730,0,36,1451,54,1438,0
2740,0,40,1459,54,1446,0
2750,0,33,1461,54,1448,0
2760,0,34,1465,56,1452,0
2770,0,33,1472,57,1459,0
2780,0,39,1482,57,1469,0
2790,0,37,1483,57,1470,0
2800,0,41,1490,58,1477,0
2810,0,36,1493,58,1480,0
2820,0,34,1496,58,1483,0
2830,0,31,1501,58,1488,0
2840,0,32,1509,58,1496,0
2850,0,35,1514,58,1501,0
2860,0,36,1520,58,1507,0
2870,0,37,1528,58,1515,0
2880,0,41,1536,58,1523,0
2890,0,38,1539,58,1526,0
2900,0,36,1542,58,1529,0
2910,0,35,1551,58,1538,0
2920,0,36,1554,58,1541,0
