second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,6,3,1,1,0
20,0,6,3,1,1,0
30,0,10,7,3,3,0
40,0,12,9,3,4,0
50,0,22,19,4,11,0
60,0,34,31,5,21,0
70,0,47,44,6,32,0
80,0,55,52,6,38,0
90,0,59,60,6,46,0
100,0,64,65,6,50,0
110,0,65,69,6,52,0
120,0,70,75,6,57,0
130,0,70,77,6,58,0
140,0,70,81,7,62,0
150,0,73,84,7,65,0
160,0,73,87,7,68,0
170,0,76,91,8,70,0
180,0,76,92,8,70,0
190,0,77,93,8,70,0
200,0,79,95,8,72,0
210,0,80,98,8,75,0
220,0,81,99,8,76,0
230,0,80,100,8,77,0
240,0,82,102,8,79,0
250,0,83,107,8,82,0
260,0,83,108,8,83,0
270,0,83,109,8,84,0
280,0,83,109,8,84,0
290,0,82,109,8,84,0
300,0,84,112,8,87,0
310,0,84,112,8,87,0
320,0,84,112,8,87,0
330,0,84,115,8,90,0
340,0,86,117,8,92,0
350,0,85,118,8,93,0
360,0,86,119,8,94,0
370,0,85,119,8,94,0
380,0,88,122,8,96,0
390,0,88,122,8,96,0
400,0,88,123,8,97,0
410,0,88,123,8,97,0
420,0,88,123,8,97,0
430,0,88,123,8,97,0
440,0,88,123,8,97,0
450,0,88,124,8,98,0
460,0,88,124,8,98,0
470,0,88,124,8,98,0
480,0,87,124,8,98,0
490,0,89,126,8,100,0
500,0,89,126,8,100,0
510,0,89,126,8,100,0
520,0,89,126,8,100,0
530,0,89,126,8,100,0
540,0,89,126,8,100,0
550,0,89,126,8,100,0
560,0,89,126,8,100,0
570,0,90,128,8,102,0
580,0,90,128,8,102,0
590,0,90,128,8,102,0
600,0,90,128,8,102,0
610,0,90,128,8,102,0
620,0,90,128,8,102,0
630,0,89,128,8,102,0
640,0,90,129,8,103,0
650,0,90,129,8,103,0
660,0,90,129,8,103,0
670,0,90,129,8,103,0
680,0,90,129,8,103,0
690,0,90,129,8,103,0
700,0,90,129,8,103,0
710,0,90,129,8,103,0
720,0,90,130,8,104,0
730,0,90,130,8,104,0
740,0,90,130,8,104,0
750,0,90,130,8,104,0
760,0,90,130,8,104,0
