id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,2,3,0,1,4294967295,84,-1
1,0,0,1,3,3,0,1,4294967295,106,-1
2,0,0,1,6,3,0,1,4294967295,326,-1
3,0,1,1,20,3,0,1,0,2715,3
4,0,1,1,13,3,0,1,1,3766,3
5,0,1,1,5,3,1,1,2,261,6
6,0,2,1,8,3,0,1,3,4395,20
7,0,2,1,1,3,0,1,4,104,29
8,0,2,1,2,3,1,1,5,241,25
9,0,1,1,8,3,1,1,0,7199,43
10,0,1,1,1,3,1,1,2,136,35
11,0,3,1,4,3,0,1,6,2802,43
12,0,3,1,1,3,1,1,8,131,29
13,0,2,1,2,3,0,1,3,178,37
14,0,4,1,1,3,1,1,12,89,44
15,0,3,1,0,3,0,1,7,81,43
16,0,1,1,5,3,1,1,1,3823,46
17,0,2,1,3,3,1,1,10,2193,79
18,0,2,1,3,3,1,1,4,252,40
19,0,3,1,4,3,0,1,13,4145,45
20,0,3,1,1,3,1,1,8,107,52
21,0,2,1,2,3,1,1,5,132,50
22,0,3,1,2,3,1,1,18,2167,45
23,0,2,1,0,3,1,1,9,2050,116
24,0,4,1,1,3,1,1,11,139,46
25,0,4,0,0,3,0,1,15,81,-1
26,0,2,1,1,3,1,1,3,1250,62
27,0,5,1,1,4,1,0,14,244,56
28,0,4,1,0,3,1,1,22,128,80
29,0,4,1,2,3,1,1,19,1209,49
30,0,2,1,1,3,0,1,4,3780,59
31,0,2,1,2,3,1,1,16,7199,50
32,0,5,1,0,3,1,0,24,4265,85
33,0,5,1,2,3,1,1,29,7199,54
34,0,1,0,0,3,0,1,0,84,-1
35,0,3,1,2,3,1,1,21,442,53
36,0,3,1,2,3,1,1,31,3499,55
37,0,3,1,0,3,0,1,6,3185,170
38,0,4,1,1,3,1,1,20,202,64
39,0,1,1,1,3,0,1,1,156,56
40,0,4,1,1,3,1,1,11,1566,56
41,0,3,1,0,3,0,1,13,7199,107
42,0,4,1,0,3,1,1,35,121,57
43,0,6,1,0,3,1,1,33,3599,74
44,0,4,1,2,3,1,1,36,4385,59
45,0,2,1,0,3,1,1,5,2855,107
46,0,2,1,1,3,1,1,16,367,62
47,0,2,1,0,3,0,1,39,88,62
48,0,6,1,1,4,1,0,27,478,63
49,0,5,1,1,3,1,1,40,4239,64
50,0,5,0,0,3,1,1,42,121,-1
51,0,3,1,0,3,1,1,18,2694,86
52,0,5,1,0,3,1,1,44,1108,63
53,0,3,1,0,3,0,1,30,1808,93
54,0,3,1,1,3,1,1,21,562,63
55,0,5,1,0,3,1,1,29,1002,76
56,0,3,1,1,3,1,1,31,1342,68
57,0,3,1,1,3,1,1,26,7199,65
58,0,3,1,0,3,1,1,46,1427,80
59,0,4,0,0,3,1,1,12,131,-1
60,0,4,1,0,3,1,1,11,7199,80
61,0,3,0,0,3,0,1,47,88,-1
62,0,1,0,0,3,1,1,1,106,-1
63,0,6,0,0,3,1,1,52,112,-1
64,0,4,1,0,3,1,1,35,114,69
65,0,4,1,0,3,1,1,54,1400,70
66,0,7,1,0,4,1,0,48,2679,131
67,0,6,1,0,3,1,1,49,6850,81
68,0,5,1,0,3,1,1,38,3534,93
69,0,1,1,0,3,1,1,2,208,95
70,0,4,1,1,3,1,1,36,1310,68
71,0,2,1,1,3,0,1,4,1218,69
72,0,4,1,0,3,1,1,57,2833,73
73,0,4,1,0,3,1,1,56,162,72
74,0,4,1,0,3,0,1,19,4124,79
75,0,5,1,0,3,1,1,70,1331,142
76,0,3,1,0,3,0,1,71,327,75
77,0,5,1,0,3,1,1,44,1464,89
78,0,3,0,0,3,1,1,21,132,-1
80,0,2,1,0,3,1,1,3,1942,93
82,0,2,1,0,3,1,1,4,4114,114
83,0,2,1,0,3,1,1,16,1160,89
85,0,2,0,0,3,1,1,10,136,-1
86,0,4,1,0,3,1,1,11,7199,150
87,0,3,1,1,3,1,1,17,223,96
88,0,3,1,0,3,1,1,18,157,102
90,0,2,1,0,3,0,1,3,713,107
91,0,2,1,0,3,1,1,16,241,117
92,0,3,1,0,3,1,1,17,284,111
93,0,4,1,1,2,1,0,87,154,115
94,0,4,1,0,3,0,1,19,3245,116
95,0,1,1,0,3,0,1,2,1420,160
97,0,5,1,20,2,1,0,93,1178,123
98,0,2,1,0,3,0,1,3,1433,128
100,0,2,1,0,3,1,1,5,229,132
102,0,2,1,0,3,1,1,16,1481,134
104,0,3,1,0,3,1,1,17,291,137
105,0,2,1,0,3,0,1,3,1239,166
106,0,3,0,0,3,1,1,18,252,-1
107,0,4,1,0,3,1,1,19,1523,159
108,0,4,1,0,3,1,1,22,1552,204
110,0,6,1,31,2,1,0,97,2071,142
111,0,7,1,2,2,1,0,110,395,145
112,0,2,1,0,3,1,1,5,244,194
114,0,6,1,5,2,1,0,97,1190,159
116,0,7,1,62,2,1,0,110,4449,160
117,0,8,1,0,2,1,0,111,320,164
119,0,7,1,5,2,1,0,114,1395,198
120,0,1,1,0,3,0,1,2,348,185
122,0,6,1,2,2,1,0,97,1366,204
123,0,7,1,0,2,1,0,110,1370,208
124,0,8,1,0,2,1,0,111,341,210
125,0,6,1,0,2,1,0,97,1361,233
126,0,7,1,0,2,1,0,114,1218,226
127,0,8,1,8,2,1,0,116,2643,231
128,0,1,1,0,3,0,1,2,7199,244
130,0,7,1,1,2,1,0,110,1598,247
132,0,7,1,0,2,1,0,114,1157,246
134,0,2,1,0,3,0,1,3,7199,248
135,0,8,1,31,2,1,0,116,6556,247
136,0,6,1,0,2,1,0,97,1088,258
138,0,1,0,0,3,0,1,2,326,-1
139,0,2,1,0,3,1,1,3,1122,296
141,0,7,1,0,2,1,0,114,1416,263
142,0,6,1,0,2,1,0,97,1467,290
143,0,2,1,0,3,0,1,4,1625,374
144,0,7,1,0,2,1,0,110,1992,293
145,0,3,1,0,3,1,1,6,5799,323
146,0,6,1,0,2,1,0,97,1240,328
147,0,7,1,1,2,1,0,110,2220,328
148,0,7,1,0,2,1,0,114,1443,330
149,0,8,1,1,2,1,0,116,3044,332
150,0,6,1,0,2,1,0,97,1268,344
152,0,7,1,5,2,1,0,110,7199,350
154,0,6,1,0,2,1,0,97,629,370
155,0,7,1,0,2,1,0,110,1461,374
156,0,6,1,0,2,1,0,97,1082,398
158,0,6,1,0,2,1,0,97,1219,445
159,0,6,1,0,2,1,0,97,1206,482
161,0,7,1,0,2,1,0,110,1232,480
163,0,6,1,0,2,1,0,97,1202,564
164,0,7,1,12,2,1,0,110,6292,568
165,0,6,1,0,2,1,0,97,946,631
166,0,6,1,0,2,1,0,97,1221,715
167,0,6,1,0,2,1,0,97,1249,948
168,0,6,1,0,2,1,0,97,1284,1004
169,0,7,1,1,2,1,0,110,5737,1004
170,0,6,1,0,2,1,0,97,1223,1085
171,0,7,1,0,2,1,0,110,3543,1091
173,0,6,1,0,2,1,0,97,1331,1110
175,0,6,1,0,2,1,0,97,1272,1138
176,0,7,1,8,2,1,0,110,7199,1128
177,0,7,1,0,2,1,0,110,4000,1159
179,0,7,0,0,2,1,0,114,1190,-1
180,0,2,1,0,3,1,1,3,1428,1182
181,0,2,1,0,3,0,1,3,1490,1199
182,0,7,1,0,2,1,0,110,1280,1197
183,0,8,1,0,2,1,0,116,3688,1205
184,0,7,1,2,2,1,0,110,7199,1208
185,0,8,1,1,2,1,0,119,7199,1212
186,0,7,1,0,2,1,0,110,1611,1220
187,0,2,1,0,3,1,1,4,3754,1221
188,0,8,1,0,2,1,0,116,2209,1222
189,0,8,1,0,2,1,0,119,6644,1223
190,0,7,1,0,2,1,0,122,1462,1225
191,0,7,1,0,2,1,0,110,3123,1238
193,0,8,1,0,2,1,0,116,6796,1241
194,0,8,1,0,2,1,0,119,1483,1247
195,0,7,1,0,2,1,0,110,1957,1251
196,0,2,1,0,3,0,1,3,1348,1253
197,0,2,1,0,3,1,1,3,1956,1272
198,0,7,1,0,2,1,0,110,5075,1275
199,0,8,1,0,2,1,0,116,7199,1283
200,0,7,1,0,2,1,0,110,7199,1290
202,0,7,1,0,2,1,0,110,1992,1315
204,0,8,1,0,2,1,0,116,4545,1333
205,0,8,1,0,2,1,0,119,3664,1333
206,0,7,1,0,2,1,0,122,1850,1337
207,0,8,1,0,2,1,0,116,7199,1344
209,0,8,1,0,2,1,0,119,3662,1350
210,0,8,1,0,2,1,0,116,2224,1354
211,0,7,1,0,2,1,0,110,7199,1371
212,0,8,1,0,2,1,0,116,4079,1369
213,0,9,1,0,2,1,0,127,3931,1372
214,0,8,1,0,2,1,0,116,7199,1397
216,0,9,1,0,2,1,0,127,4421,1402
217,0,2,1,0,3,0,1,3,1764,1420
219,0,7,1,0,2,1,0,110,2103,1423
220,0,8,1,0,2,1,0,116,3995,1427
222,0,9,1,0,2,1,0,127,3765,1429
223,0,8,1,0,2,1,0,130,1951,1430
225,0,7,1,0,2,1,0,110,6450,1435
226,0,8,1,0,2,1,0,116,5123,1439
227,0,7,1,0,2,1,0,110,7199,1505
228,0,8,1,0,2,1,0,116,7199,1463
229,0,9,1,0,2,1,0,127,3844,1465
231,0,9,1,0,2,1,0,135,7199,1466
232,0,8,0,0,2,1,0,130,1598,-1
234,0,8,1,0,2,1,0,116,4487,1483
235,0,2,1,0,3,0,1,3,4456,1487
237,0,8,1,0,2,1,0,116,7199,1492
238,0,9,1,0,2,1,0,127,2657,1496
240,0,7,1,0,2,1,0,110,7199,1525
242,0,7,1,0,2,1,0,110,7199,1554
243,0,8,1,0,2,1,0,116,7199,1558
245,0,7,1,0,2,1,0,110,1953,1569
246,0,2,1,0,3,0,1,3,2841,1602
247,0,8,1,0,2,1,0,116,3404,1605
248,0,8,1,0,2,1,0,116,7199,1614
250,0,8,1,0,2,1,0,116,7199,1628
252,0,7,1,0,2,1,0,110,7199,1767
253,0,8,1,0,2,1,0,116,7199,1771
254,0,7,1,0,2,1,0,110,7199,1810
255,0,2,1,0,3,0,1,3,3853,1854
256,0,2,1,0,3,1,1,3,5047,1949
257,0,8,1,0,2,1,0,116,7199,1953
258,0,9,1,0,2,1,0,127,2679,1956
260,0,9,1,0,2,1,0,135,4532,1959
261,0,8,1,0,2,1,0,147,7199,1960
262,0,2,1,0,3,0,1,3,4290,1995
263,0,7,0,0,2,1,0,110,2071,-1
265,0,8,1,0,2,1,0,116,7199,2052
266,0,2,1,0,3,0,1,3,7199,2074
267,0,8,1,0,2,1,0,116,7199,2077
268,0,8,1,0,2,1,0,116,7199,2105
270,0,8,1,0,2,1,0,116,7199,2169
271,0,8,1,0,2,1,0,116,7199,2193
272,0,9,1,0,2,1,0,127,4145,2199
273,0,8,1,0,2,1,0,116,7199,2211
274,0,8,1,0,2,1,0,116,7199,2222
275,0,9,1,0,2,1,0,127,2664,2269
276,0,8,1,0,2,1,0,116,7199,2645
277,0,8,1,0,2,1,0,116,4577,2660
278,0,9,1,0,2,1,0,135,7199,2667
280,0,2,0,0,3,0,1,3,2715,-1
281,0,2,1,0,3,0,1,4,4080,2687
283,0,8,1,0,2,1,0,116,7199,2696
285,0,8,1,0,2,1,0,116,7199,2717
286,0,9,1,0,2,1,0,135,7199,2717
287,0,2,1,0,3,0,1,4,4109,2723
289,0,8,1,0,2,1,0,116,3437,2805
291,0,8,1,0,2,1,0,116,4181,2836
292,0,9,1,0,2,1,0,135,7199,2840
294,0,9,1,0,2,1,0,149,6997,2844
295,0,8,1,0,2,1,0,116,7199,2857
296,0,9,1,0,2,1,0,135,7199,2858
297,0,8,1,0,2,1,0,116,7199,3046
298,0,8,1,0,2,1,0,116,7199,3125
299,0,2,1,0,3,1,1,4,5231,3193
300,0,8,1,0,2,1,0,116,7199,3247
301,0,2,1,0,3,0,1,4,7199,3408
302,0,8,1,0,2,1,0,116,7199,3440
303,0,2,1,0,3,0,1,4,5091,3506
305,0,8,1,0,2,1,0,116,7199,3542
306,0,2,1,0,3,1,1,4,3901,3547
308,0,8,1,0,2,1,0,116,4044,3632
309,0,3,1,0,3,1,1,6,4074,3665
310,0,8,1,0,2,1,0,116,3978,3666
311,0,8,1,0,2,1,0,116,3980,3694
313,0,8,1,0,2,1,0,116,7199,3756
314,0,3,1,0,3,0,1,6,4632,3768
316,0,8,1,0,2,1,0,116,4013,3769
317,0,8,1,0,2,1,0,116,7199,3782
318,0,9,1,0,2,1,0,135,7199,3783
319,0,3,1,0,3,0,1,6,6059,3830
320,0,8,1,0,2,1,0,116,7199,3846
322,0,8,1,0,2,1,0,116,7199,3855
324,0,8,1,0,2,1,0,116,7199,3903
325,0,9,1,0,2,1,0,135,5125,3907
326,0,8,1,0,2,1,0,116,7199,3933
327,0,9,1,0,2,1,0,135,7199,3980
328,0,8,1,0,2,1,0,152,4597,3982
329,0,8,1,0,2,1,0,116,4628,3997
330,0,9,1,0,2,1,0,135,7199,4002
331,0,8,1,0,2,1,0,116,7199,4015
332,0,8,1,0,2,1,0,116,7199,4046
334,0,8,1,0,2,1,0,116,7199,4076
335,0,3,1,0,3,0,1,6,4524,4083
337,0,9,1,0,2,1,0,135,7199,4083
339,0,8,1,0,2,1,0,116,7199,4111
340,0,9,1,0,2,1,0,135,7199,4115
342,0,8,1,0,2,1,0,152,4219,4117
344,0,8,1,0,2,1,0,116,7199,4127
345,0,9,1,0,2,1,0,135,4599,4131
347,0,8,1,0,2,1,0,116,7199,4147
348,0,9,1,0,2,1,0,135,7199,4148
349,0,3,1,0,3,0,1,6,4557,4185
350,0,8,1,0,2,1,0,116,7199,4222
352,0,8,1,0,2,1,0,116,4446,4245
354,0,9,1,0,2,1,0,135,7199,4268
355,0,8,1,0,2,1,0,152,4492,4272
356,0,9,1,0,2,1,0,135,7199,4292
358,0,8,1,0,2,1,0,116,7199,4388
359,0,9,1,0,2,1,0,135,4600,4392
361,0,8,0,0,2,1,0,116,4449,-1
362,0,6,1,0,3,1,1,33,5347,4424
363,0,9,1,0,2,1,0,135,7199,4449
364,0,2,1,0,3,1,1,9,5740,4453
366,0,9,1,0,2,1,0,135,7199,4459
367,0,8,1,0,2,1,0,152,6673,4463
368,0,9,1,0,2,1,0,135,7199,4489
369,0,9,1,0,2,1,0,135,7199,4505
371,0,8,1,0,2,1,0,152,7068,4526
372,0,2,1,0,3,1,1,9,6207,4536
373,0,8,1,0,2,1,0,164,7199,4548
375,0,8,1,0,2,1,0,164,7199,4560
376,0,2,1,0,3,1,1,9,6116,4580
377,0,9,1,0,2,1,0,135,7199,4599
378,0,8,1,0,2,1,0,164,7199,4601
379,0,8,1,0,2,1,0,169,7199,4603
380,0,9,1,0,2,1,0,135,7199,4630
381,0,8,1,0,2,1,0,164,7199,4638
382,0,9,1,0,2,1,0,135,7199,5076
383,0,8,1,0,2,1,0,164,7199,5053
384,0,8,1,0,2,1,0,164,7199,5078
386,0,8,1,0,2,1,0,164,7199,5101
387,0,2,1,0,3,1,1,9,7199,5126
388,0,8,1,0,2,1,0,164,7199,5131
389,0,2,1,0,3,1,1,9,5652,5239
390,0,9,1,0,2,1,0,135,7199,5350
392,0,9,1,0,2,1,0,135,6210,5654
393,0,8,1,0,2,1,0,164,6283,5658
394,0,9,1,0,2,1,0,135,7199,5740
396,0,8,1,0,2,1,0,164,7199,5743
398,0,9,1,0,2,1,0,135,7199,5801
399,0,8,1,0,2,1,0,164,7199,5805
400,0,9,1,0,2,1,0,135,7199,6086
402,0,8,1,0,2,1,0,164,6214,6119
403,0,8,1,0,2,1,0,176,7199,6123
404,0,9,1,0,2,1,0,135,7199,6267
405,0,2,1,0,3,1,1,9,7199,6213
406,0,8,0,0,2,1,0,164,6292,-1
407,0,8,1,0,2,1,0,176,7199,6286
408,0,8,1,0,2,1,0,184,7199,6294
409,0,9,1,0,2,1,0,185,7199,6298
410,0,9,1,0,2,1,0,135,7199,6496
411,0,8,1,0,2,1,0,176,7199,6558
412,0,8,1,0,2,1,0,176,7199,6646
413,0,8,1,0,2,1,0,176,6798,6681
414,0,8,1,0,2,1,0,176,7199,6798
415,0,8,1,0,2,1,0,184,7199,6801
417,0,8,1,0,2,1,0,176,7199,6852
418,0,2,1,0,3,1,1,9,7199,7000
419,0,8,1,0,2,1,0,176,7199,7075
