second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,3,0,0,0,0
20,0,4,1,1,1,0
30,0,5,2,1,1,0
40,0,5,2,1,1,0
50,0,7,4,1,2,0
60,0,7,4,1,2,0
70,0,10,7,2,2,0
80,0,14,11,3,5,0
90,0,17,14,3,6,0
100,0,18,15,3,7,0
110,0,15,15,3,7,0
120,0,17,19,4,10,0
130,0,18,21,4,12,0
140,0,19,22,4,13,0
150,0,20,23,4,14,0
160,0,19,23,4,14,0
170,0,20,25,4,15,0
180,0,22,27,4,16,0
190,0,24,29,4,18,0
200,0,24,30,4,19,0
210,0,24,31,5,19,0
220,0,25,32,5,20,0
230,0,24,33,5,21,0
240,0,24,33,5,21,0
250,0,23,34,5,21,0
260,0,24,36,5,23,0
270,0,24,37,5,24,0
280,0,24,37,5,24,0
290,0,24,37,5,24,0
300,0,24,37,5,24,0
310,0,25,40,5,27,0
320,0,26,41,5,28,0
330,0,26,42,5,28,0
340,0,25,42,5,28,0
350,0,25,43,5,29,0
360,0,26,44,5,29,0
370,0,25,44,5,29,0
380,0,25,44,5,29,0
390,0,25,44,5,29,0
400,0,25,44,5,29,0
410,0,25,44,5,29,0
420,0,25,45,5,30,0
430,0,25,45,5,30,0
440,0,25,45,5,30,0
450,0,25,45,5,30,0
460,0,24,45,5,30,0
470,0,25,46,5,30,0
480,0,25,46,5,30,0
490,0,24,46,5,30,0
500,0,24,46,5,30,0
510,0,26,48,5,31,0
520,0,27,49,5,32,0
530,0,27,49,5,32,0
540,0,27,49,5,32,0
550,0,27,49,5,32,0
560,0,27,49,5,32,0
570,0,27,49,5,32,0
580,0,27,49,5,32,0
590,0,27,49,5,32,0
600,0,27,49,5,32,0
610,0,27,49,5,32,0
620,0,26,49,5,32,0
630,0,26,50,5,33,0
640,0,27,51,5,34,0
650,0,26,51,5,34,0
660,0,25,52,5,35,0
670,0,27,54,5,37,0
680,0,27,54,5,37,0
690,0,26,54,5,37,0
700,0,26,54,5,37,0
710,0,27,55,5,37,0
720,0,26,55,5,37,0
730,0,26,55,5,37,0
740,0,27,56,5,37,0
750,0,27,56,5,37,0
760,0,27,56,5,37,0
770,0,27,56,5,37,0
780,0,27,56,5,37,0
790,0,27,56,5,37,0
800,0,27,56,5,37,0
810,0,27,56,5,37,0
820,0,27,56,5,37,0
830,0,27,56,5,37,0
840,0,27,56,5,37,0
850,0,27,56,5,37,0
860,0,26,56,5,37,0
870,0,26,56,5,37,0
880,0,26,56,5,37,0
890,0,26,56,5,37,0
900,0,27,57,5,38,0
910,0,26,57,5,38,0
920,0,26,57,5,38,0
930,0,26,57,5,38,0
940,0,25,57,5,38,0
950,0,27,59,5,40,0
960,0,26,59,5,40,0
970,0,26,59,5,40,0
980,0,26,59,5,40,0
990,0,25,59,5,40,0
1000,0,26,61,5,42,0
1010,0,26,61,5,42,0
1020,0,26,61,5,42,0
1030,0,26,61,5,42,0
1040,0,26,61,5,42,0
1050,0,27,62,5,43,0
1060,0,27,62,5,43,0
1070,0,27,62,5,43,0
1080,0,27,62,5,43,0
1090,0,26,62,5,43,0
1100,0,25,62,5,43,0
1110,0,26,64,5,45,0
1120,0,27,65,5,46,0
1130,0,26,65,5,46,0
1140,0,27,66,5,47,0
1150,0,27,66,5,47,0
1160,0,27,66,5,47,0
1170,0,27,66,5,47,0
1180,0,26,66,5,47,0
1190,0,26,66,5,47,0
1200,0,25,66,5,47,0
1210,0,24,66,5,47,0
1220,0,25,67,5,48,0
1230,0,25,67,5,48,0
1240,0,25,67,5,48,0
1250,0,25,67,5,48,0
1260,0,25,67,5,48,0
1270,0,25,67,5,48,0
1280,0,26,68,5,49,0
1290,0,25,68,5,49,0
1300,0,26,69,5,50,0
1310,0,26,69,5,50,0
1320,0,26,69,5,50,0
1330,0,26,69,5,50,0
1340,0,26,69,5,50,0
1350,0,26,69,5,50,0
1360,0,24,69,5,50,0
1370,0,24,70,5,51,0
1380,0,25,71,5,52,0
1390,0,25,72,5,53,0
1400,0,26,73,5,54,0
1410,0,27,74,5,55,0
1420,0,27,74,5,55,0
1430,0,27,74,5,55,0
1440,0,26,74,5,55,0
1450,0,26,74,5,55,0
1460,0,25,74,5,55,0
1470,0,26,75,5,56,0
1480,0,26,75,5,56,0
1490,0,26,75,5,56,0
1500,0,26,75,5,56,0
1510,0,26,75,5,56,0
1520,0,25,75,5,56,0
1530,0,25,75,5,56,0
1540,0,25,75,5,56,0
1550,0,25,76,5,57,0
1560,0,27,78,5,59,0
1570,0,27,78,5,59,0
1580,0,27,78,5,59,0
1590,0,27,78,5,59,0
1600,0,26,78,5,59,0
1610,0,26,78,5,59,0
1620,0,26,79,5,60,0
1630,0,25,79,5,60,0
1640,0,25,79,5,60,0
1650,0,26,80,5,61,0
1660,0,27,81,5,62,0
1670,0,27,81,5,62,0
1680,0,27,81,5,62,0
1690,0,26,81,5,62,0
1700,0,25,81,5,62,0
1710,0,27,83,6,64,0
1720,0,27,83,6,64,0
1730,0,26,83,6,64,0
1740,0,26,84,6,65,0
1750,0,26,84,6,65,0
1760,0,27,86,6,67,0
1770,0,27,86,6,67,0
1780,0,27,86,6,67,0
1790,0,26,86,6,67,0
1800,0,26,86,6,67,0
1810,0,28,88,6,69,0
1820,0,28,88,6,69,0
1830,0,28,88,6,69,0
1840,0,27,88,6,69,0
1850,0,27,88,6,69,0
1860,0,28,89,6,70,0
1870,0,26,89,6,70,0
1880,0,27,90,6,71,0
1890,0,28,92,6,73,0
1900,0,29,93,6,74,0
1910,0,28,93,6,74,0
1920,0,28,93,6,74,0
1930,0,28,93,6,74,0
1940,0,27,93,6,74,0
1950,0,26,93,6,74,0
1960,0,27,94,6,75,0
1970,0,27,95,6,76,0
1980,0,28,96,6,77,0
1990,0,28,96,6,77,0
2000,0,28,96,6,77,0
2010,0,28,96,6,77,0
2020,0,28,96,6,77,0
2030,0,28,96,6,77,0
