id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,4,9,0,1,4294967295,245,-1
1,0,0,1,1,9,0,1,4294967295,165,-1
2,0,0,1,2,9,0,1,4294967295,104,-1
3,0,1,1,0,9,0,1,0,100,22
4,0,1,1,1,9,0,1,1,123,68
5,0,1,1,2,9,1,1,2,255,16
6,0,2,1,3,9,1,1,5,226,79
7,0,1,1,1,9,0,1,2,117,49
8,0,2,0,0,9,1,1,3,100,-1
9,0,1,1,5,9,1,1,0,338,47
10,0,2,1,9,9,1,1,9,486,75
11,0,2,1,1,9,0,1,7,118,60
12,0,1,1,1,9,0,1,0,158,64
13,0,1,0,0,9,0,1,2,99,-1
14,0,3,1,2,9,0,1,11,208,74
15,0,2,0,0,9,0,1,7,117,-1
16,0,2,1,0,9,0,1,12,107,83
17,0,2,1,1,9,1,1,4,267,79
18,0,1,1,1,9,0,1,0,309,83
19,0,4,1,9,9,0,1,14,907,116
20,0,3,1,1,9,1,1,10,229,90
21,0,3,1,1,9,1,1,6,241,89
22,0,3,0,0,9,1,1,17,107,-1
23,0,3,0,0,9,1,1,11,118,-1
24,0,2,1,1,9,1,1,9,344,184
25,0,1,0,0,9,0,1,1,165,-1
26,0,2,1,1,9,0,1,18,457,168
27,0,1,0,0,9,0,1,0,161,-1
28,0,2,1,2,9,1,1,5,413,114
29,0,3,1,2,9,1,1,6,643,115
31,0,3,1,5,9,1,1,10,1283,118
32,0,4,1,6,9,1,1,20,1200,129
33,0,4,1,0,9,1,1,21,303,122
34,0,4,0,0,9,1,1,29,140,-1
35,0,2,0,0,9,1,1,5,171,-1
36,0,3,1,0,9,1,1,6,715,132
37,0,3,1,4,9,1,1,28,1595,179
38,0,3,1,7,9,1,1,10,1617,147
40,0,3,0,0,9,1,1,6,226,-1
41,0,3,1,6,9,1,1,10,1727,167
42,0,4,1,0,9,0,1,14,198,172
43,0,5,1,0,9,0,1,19,658,208
45,0,3,1,0,9,1,1,17,850,192
46,0,3,1,1,9,1,1,10,1755,186
47,0,2,0,0,9,1,1,5,224,-1
48,0,2,1,0,9,1,1,9,329,216
49,0,3,1,0,9,1,1,10,624,229
50,0,2,1,0,9,1,1,9,360,252
51,0,2,0,0,9,0,1,18,261,-1
52,0,5,1,0,9,0,1,19,1455,241
53,0,3,1,0,9,1,1,10,995,261
54,0,3,1,0,9,1,1,24,1097,255
55,0,5,0,0,9,0,1,19,292,-1
57,0,2,1,0,9,1,1,9,1103,308
58,0,3,0,0,9,1,1,24,290,-1
59,0,3,1,0,9,1,1,10,614,314
60,0,3,1,6,9,1,1,28,2468,303
61,0,4,1,2,9,1,1,29,1948,309
62,0,5,1,3,9,0,1,19,2670,328
63,0,3,1,0,9,1,1,10,652,344
65,0,5,1,4,9,1,1,19,4416,411
66,0,3,1,0,9,0,1,26,980,359
67,0,3,0,0,9,1,1,10,486,-1
69,0,3,0,0,10,1,0,26,444,-1
71,0,5,1,0,9,0,1,19,1739,462
72,0,4,1,0,9,1,1,29,1174,513
73,0,5,1,0,9,0,1,19,930,500
74,0,4,1,0,9,1,1,31,1089,500
76,0,5,1,10,9,1,1,19,4285,629
77,0,4,1,0,9,1,1,31,684,638
78,0,5,1,0,9,1,1,32,1352,658
79,0,4,1,0,9,1,1,37,1835,667
80,0,4,1,0,9,1,1,38,1192,669
81,0,5,1,0,9,0,1,19,1699,703
83,0,5,1,0,9,0,1,19,950,738
84,0,4,1,0,9,1,1,31,1438,898
85,0,4,1,0,9,1,1,31,3468,941
86,0,5,1,0,9,1,1,32,1124,944
87,0,4,1,0,9,1,1,31,1381,993
89,0,5,1,0,9,1,1,32,2597,995
91,0,4,0,0,9,1,1,31,1031,-1
93,0,5,1,0,9,1,1,32,2909,1045
94,0,5,1,0,9,1,1,32,1359,1103
96,0,4,1,1,9,1,1,38,4010,1105
97,0,4,1,0,9,1,1,37,2632,1118
98,0,5,1,0,9,1,1,32,1362,1139
100,0,4,0,0,9,1,1,31,1283,-1
101,0,4,0,0,9,1,1,37,1226,-1
102,0,4,1,0,9,1,1,38,1689,1214
103,0,4,1,0,9,1,1,38,1934,1276
104,0,4,1,0,9,1,1,38,1542,1384
106,0,4,1,0,9,1,1,41,3287,1298
108,0,4,1,2,9,1,1,37,4438,1391
110,0,4,1,0,9,1,1,41,2470,1367
111,0,4,1,0,9,1,1,46,2390,1377
113,0,4,1,0,9,1,1,41,1517,1409
115,0,4,1,0,9,1,1,37,3346,1547
118,0,4,1,0,9,1,1,38,1867,1466
120,0,4,1,0,9,1,1,38,1626,1550
121,0,4,1,0,9,1,1,41,3438,1557
122,0,4,1,9,8,1,0,41,2332,1614
124,0,5,1,5,8,1,0,122,2359,1656
126,0,4,1,0,9,1,1,41,1785,1641
127,0,5,1,1,8,1,0,122,2286,1700
128,0,6,1,43,8,1,0,124,7199,1709
129,0,5,1,0,8,1,0,122,1902,1734
130,0,6,1,1,8,1,0,124,2542,1750
131,0,5,1,0,8,1,0,122,1883,1753
133,0,4,1,0,9,1,1,60,1866,1802
134,0,5,1,0,9,1,1,61,1960,1800
135,0,4,1,0,9,1,1,60,2152,1852
136,0,5,1,0,8,1,0,122,2411,1876
137,0,4,1,0,9,1,1,60,2786,1885
139,0,6,1,0,8,1,0,124,2570,1887
140,0,5,1,2,9,1,1,61,4781,1898
141,0,5,1,8,8,1,0,122,4688,2043
142,0,6,1,0,8,1,0,124,2579,1953
143,0,6,1,0,8,1,0,127,2125,1961
145,0,6,1,0,8,1,0,124,2498,1974
146,0,5,1,0,8,1,0,122,2220,2135
147,0,4,1,3,9,1,1,60,6337,2166
148,0,5,1,1,8,1,0,122,4369,2234
150,0,5,1,0,8,1,0,122,2884,2300
151,0,4,1,0,9,1,1,60,2644,2365
152,0,6,1,0,9,1,1,62,3626,2374
153,0,4,1,1,9,1,1,60,5163,2405
154,0,4,0,0,9,1,1,60,2438,-1
156,0,7,1,0,8,1,0,128,3886,2474
158,0,7,1,0,8,1,0,130,3480,2477
159,0,6,1,0,9,0,1,62,3329,2485
160,0,6,1,3,9,0,1,62,6439,2513
161,0,7,1,0,8,1,0,128,4095,2554
162,0,7,1,0,8,1,0,128,3347,2622
163,0,6,0,0,9,0,1,62,2603,-1
164,0,6,1,0,9,1,1,65,3841,2612
165,0,6,1,0,9,1,1,76,3170,2614
167,0,6,1,0,9,1,1,65,2942,2660
168,0,7,1,0,8,1,0,128,4216,2658
169,0,7,1,0,8,1,0,128,2775,2751
170,0,7,1,0,8,1,0,128,4210,2791
172,0,6,1,0,8,1,0,141,2906,2796
174,0,7,1,0,8,1,0,128,3474,2917
176,0,6,0,0,8,1,0,141,2940,-1
177,0,6,1,0,9,1,1,65,3847,2924
178,0,6,1,0,9,1,1,65,3260,2950
179,0,6,1,0,9,1,1,76,3539,3066
180,0,7,1,7,8,1,0,128,7199,3186
181,0,6,0,0,8,1,0,141,3203,-1
182,0,7,1,0,8,1,0,128,4580,3226
183,0,6,1,0,9,1,1,76,4352,3279
