second,family,mature,births,max_generation,changed_births,late_births
0,0,3,0,0,0,0
10,0,3,0,0,0,0
20,0,3,0,0,0,0
30,0,4,1,1,1,0
40,0,4,1,1,1,0
50,0,4,1,1,1,0
60,0,4,1,1,1,0
70,0,6,3,1,3,0
80,0,6,3,1,3,0
90,0,6,3,1,3,0
100,0,6,3,1,3,0
110,0,6,3,1,3,0
120,0,8,5,1,4,0
130,0,8,5,1,4,0
140,0,8,5,1,4,0
150,0,9,6,1,4,0
160,0,11,8,2,6,0
170,0,13,10,2,8,0
180,0,13,10,2,8,0
190,0,15,12,2,9,0
200,0,17,14,2,11,0
210,0,17,14,2,11,0
220,0,18,15,2,11,0
230,0,19,17,2,12,0
240,0,19,17,2,12,0
250,0,19,17,2,12,0
260,0,20,19,3,14,0
270,0,21,20,3,15,0
280,0,21,20,3,15,0
290,0,22,21,3,16,0
300,0,21,21,3,16,0
310,0,21,21,3,16,0
320,0,22,22,3,17,0
330,0,24,24,3,18,0
340,0,23,24,3,18,0
350,0,22,24,3,18,0
360,0,25,27,3,20,0
370,0,26,28,3,21,0
380,0,25,28,3,21,0
390,0,22,28,3,21,0
400,0,22,28,3,21,0
410,0,21,28,3,21,0
420,0,24,31,4,24,0
430,0,21,31,4,24,0
440,0,21,31,4,24,0
450,0,20,31,4,24,0
460,0,21,32,4,24,0
470,0,22,34,4,26,0
480,0,22,35,4,27,0
490,0,23,37,4,29,0
500,0,22,38,4,30,0
510,0,22,38,4,30,0
520,0,24,40,4,32,0
530,0,28,44,4,36,0
540,0,26,44,4,36,0
550,0,24,44,4,36,0
560,0,23,44,4,36,0
570,0,24,45,4,37,0
580,0,22,45,4,37,0
590,0,22,45,4,37,0
600,0,21,46,4,38,0
610,0,21,46,4,38,0
620,0,23,48,4,40,0
630,0,25,50,4,41,0
640,0,26,51,4,41,0
650,0,25,51,4,41,0
660,0,25,52,4,42,0
670,0,24,52,4,42,0
680,0,24,54,5,44,0
690,0,25,57,5,46,0
700,0,24,58,5,47,0
710,0,24,58,5,47,0
720,0,25,59,5,48,0
730,0,26,60,5,49,0
740,0,24,61,5,49,0
750,0,24,62,5,50,0
760,0,26,64,5,52,0
770,0,25,64,5,52,0
780,0,25,65,5,53,0
790,0,25,65,5,53,0
800,0,25,65,5,53,0
810,0,25,65,5,53,0
820,0,27,67,5,54,0
830,0,26,67,5,54,0
840,0,25,67,5,54,0
850,0,23,67,5,54,0
860,0,23,67,5,54,0
870,0,23,67,5,54,0
880,0,22,68,5,55,0
890,0,23,69,5,56,0
900,0,24,70,5,57,0
910,0,25,71,5,58,0
920,0,24,71,5,58,0
930,0,24,71,5,58,0
940,0,23,71,5,58,0
950,0,25,73,5,60,0
960,0,24,73,5,60,0
970,0,24,73,5,60,0
980,0,24,73,5,60,0
990,0,26,77,7,64,0
1000,0,26,77,7,64,0
1010,0,22,77,7,64,0
1020,0,23,78,7,65,0
1030,0,23,78,7,65,0
1040,0,23,79,7,66,0
1050,0,23,79,7,66,0
1060,0,23,80,7,67,0
1070,0,22,80,7,67,0
1080,0,22,80,7,67,0
1090,0,23,81,7,68,0
1100,0,22,81,7,68,0
1110,0,22,81,7,68,0
1120,0,24,83,7,70,0
1130,0,24,83,7,70,0
1140,0,23,83,7,70,0
1150,0,25,85,7,72,0
1160,0,25,85,7,72,0
1170,0,24,86,7,73,0
1180,0,24,86,7,73,0
1190,0,25,88,7,75,0
1200,0,25,89,7,76,0
1210,0,27,91,7,77,0
1220,0,28,92,7,77,0
1230,0,30,95,7,79,0
1240,0,27,95,7,79,0
1250,0,28,97,7,81,0
1260,0,26,97,7,81,0
1270,0,25,97,7,81,0
1280,0,25,97,7,81,0
1290,0,25,99,7,83,0
1300,0,24,99,7,83,0
1310,0,24,100,7,84,0
1320,0,26,102,7,86,0
1330,0,26,103,7,86,0
1340,0,24,104,7,87,0
1350,0,23,104,7,87,0
1360,0,23,104,7,87,0
1370,0,22,104,7,87,0
1380,0,23,105,7,88,0
1390,0,21,106,7,89,0
1400,0,20,106,7,89,0
1410,0,21,108,7,90,0
1420,0,22,109,7,91,0
1430,0,20,109,7,91,0
1440,0,21,110,7,92,0
1450,0,22,111,7,93,0
1460,0,23,112,8,94,0
1470,0,23,112,8,94,0
1480,0,20,113,8,95,0
1490,0,21,114,8,96,0
1500,0,21,114,8,96,0
1510,0,19,114,8,96,0
1520,0,19,114,8,96,0
1530,0,21,116,8,98,0
1540,0,21,116,8,98,0
1550,0,21,116,8,98,0
1560,0,22,117,8,99,0
1570,0,21,117,8,99,0
1580,0,22,118,8,100,0
1590,0,23,119,8,101,0
1600,0,22,119,8,101,0
1610,0,23,120,8,102,0
1620,0,21,120,8,102,0
1630,0,20,120,8,102,0
1640,0,20,120,8,102,0
1650,0,21,122,8,104,0
1660,0,23,124,8,106,0
1670,0,23,124,8,106,0
1680,0,23,124,8,106,0
1690,0,24,125,8,107,0
1700,0,21,126,8,108,0
1710,0,21,126,8,108,0
1720,0,21,127,8,109,0
1730,0,20,127,8,109,0
1740,0,20,128,8,110,0
1750,0,21,129,8,111,0
1760,0,22,130,8,112,0
1770,0,23,132,8,114,0
1780,0,24,133,8,115,0
1790,0,24,134,9,116,0
1800,0,24,134,9,116,0
1810,0,24,135,9,117,0
1820,0,25,137,9,119,0
1830,0,24,138,9,120,0
1840,0,23,138,9,120,0
1850,0,25,140,9,122,0
1860,0,25,141,9,123,0
1870,0,25,141,9,123,0
1880,0,25,142,9,124,0
1890,0,25,143,9,125,0
1900,0,23,143,9,125,0
1910,0,24,145,9,127,0
1920,0,26,147,9,129,0
1930,0,26,147,9,129,0
1940,0,28,149,9,131,0
1950,0,27,149,9,131,0
1960,0,27,150,9,132,0
1970,0,26,151,9,133,0
1980,0,25,153,10,135,0
1990,0,26,154,10,136,0
2000,0,25,154,10,136,0
2010,0,25,155,10,137,0
2020,0,25,156,10,138,0
2030,0,21,156,10,138,0
