id,family,generation,mature,mature_children,cells,changed,recognizable,parent,last_seen,mature_at
0,0,0,1,0,5,0,1,4294967295,534,-1
1,0,0,1,0,5,0,1,4294967295,443,-1
2,0,0,1,2,5,0,1,4294967295,1147,-1
3,0,1,0,0,5,0,1,0,52,-1
4,0,1,0,0,5,1,1,1,80,-1
5,0,1,0,0,5,1,1,2,179,-1
8,0,1,0,0,5,1,1,1,443,-1
9,0,1,1,0,5,0,1,2,668,369
10,0,1,0,0,5,0,1,0,534,-1
11,0,1,0,0,5,0,1,2,792,-1
12,0,2,0,0,5,0,1,9,568,-1
16,0,1,1,3,5,1,1,2,1592,966
17,0,2,1,0,5,1,1,16,1412,1218
20,0,2,0,0,5,1,1,16,1265,-1
22,0,2,1,0,5,1,1,16,1344,1307
23,0,2,1,3,5,1,1,16,2546,1432
27,0,3,1,0,5,1,1,23,2067,1906
29,0,4,0,0,5,1,1,27,2067,-1
30,0,3,0,0,5,1,1,23,2082,-1
33,0,3,1,0,5,1,1,23,2225,2116
35,0,3,0,0,5,1,1,23,2441,-1
36,0,3,1,3,5,1,1,23,3185,2460
38,0,4,0,0,5,1,1,36,2666,-1
40,0,4,1,0,5,1,1,36,2835,2795
41,0,4,1,0,5,1,1,36,3224,2943
43,0,4,1,1,5,1,1,36,3900,2965
44,0,5,1,3,5,1,1,43,3972,3291
45,0,5,0,0,5,1,1,41,3224,-1
47,0,6,1,0,5,1,1,44,3350,3297
48,0,6,1,0,5,1,1,44,3408,3360
51,0,5,0,0,5,1,1,43,3469,-1
54,0,6,1,0,5,1,1,44,4610,3456
55,0,6,0,0,5,1,1,44,3633,-1
57,0,5,0,0,5,1,1,43,3590,-1
58,0,7,0,0,5,1,1,54,3587,-1
59,0,7,0,0,5,1,1,54,3682,-1
60,0,5,0,0,5,1,1,43,3900,-1
61,0,6,0,0,5,1,1,44,3972,-1
65,0,7,0,0,5,1,1,54,4375,-1
67,0,7,0,0,5,1,1,54,4610,-1
